06/06/2016 11:07:04	     1.000 MHz	 10.4 V/m	-16.8 dBm	OK
06/06/2016 11:07:08	     1.010 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:11	     1.020 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:14	     1.030 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:17	     1.041 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:20	     1.051 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:23	     1.062 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:26	     1.072 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:30	     1.083 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:33	     1.094 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:36	     1.105 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:39	     1.116 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:42	     1.127 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:45	     1.138 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:48	     1.149 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:51	     1.161 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:54	     1.173 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:07:57	     1.184 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:00	     1.196 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:04	     1.208 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:07	     1.220 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:11	     1.232 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:14	     1.245 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:18	     1.257 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:21	     1.270 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:25	     1.282 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:28	     1.295 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:32	     1.308 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:35	     1.321 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:39	     1.335 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:42	     1.348 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:45	     1.361 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:48	     1.375 MHz	 10.5 V/m	-16.2 dBm	OK
06/06/2016 11:08:51	     1.389 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:08:54	     1.403 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:08:57	     1.417 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:00	     1.431 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:03	     1.445 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:06	     1.460 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:10	     1.474 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:13	     1.489 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:17	     1.504 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:20	     1.519 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:23	     1.534 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:26	     1.549 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:29	     1.565 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:32	     1.580 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:35	     1.596 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:38	     1.612 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:41	     1.628 MHz	 10.4 V/m	-16.2 dBm	OK
06/06/2016 11:09:44	     1.645 MHz	 10.4 V/m	-16.2 dBm	OK
