02/08/2016 09:46:10	     1.000 MHz	 10.4 V/m	-21.9 dBm	OK
02/08/2016 09:46:14	     1.010 MHz	 10.5 V/m	-21.7 dBm	OK
02/08/2016 09:46:18	     1.020 MHz	 10.4 V/m	-21.7 dBm	OK
02/08/2016 09:46:21	     1.030 MHz	 10.4 V/m	-21.7 dBm	OK
02/08/2016 09:46:24	     1.041 MHz	 10.4 V/m	-21.7 dBm	OK
02/08/2016 09:46:28	     1.051 MHz	 10.4 V/m	-21.7 dBm	OK
02/08/2016 09:46:32	     1.062 MHz	 10.4 V/m	-21.7 dBm	OK
02/08/2016 09:46:38	     1.072 MHz	 10.5 V/m	-21.5 dBm	OK
02/08/2016 09:46:42	     1.083 MHz	 10.4 V/m	-21.5 dBm	OK
02/08/2016 09:46:45	     1.094 MHz	 10.4 V/m	-21.5 dBm	OK
02/08/2016 09:46:48	     1.105 MHz	 10.4 V/m	-21.5 dBm	OK
02/08/2016 09:46:51	     1.116 MHz	 10.4 V/m	-21.5 dBm	OK
02/08/2016 09:46:55	     1.127 MHz	 10.4 V/m	-21.5 dBm	OK
02/08/2016 09:47:00	     1.138 MHz	 10.5 V/m	-21.3 dBm	OK
02/08/2016 09:47:03	     1.149 MHz	 10.4 V/m	-21.3 dBm	OK
02/08/2016 09:47:06	     1.161 MHz	 10.4 V/m	-21.3 dBm	OK
02/08/2016 09:47:10	     1.173 MHz	 10.4 V/m	-21.3 dBm	OK
02/08/2016 09:47:13	     1.184 MHz	 10.4 V/m	-21.3 dBm	OK
02/08/2016 09:47:16	     1.196 MHz	 10.4 V/m	-21.3 dBm	OK
02/08/2016 09:47:20	     1.208 MHz	 10.5 V/m	-21.1 dBm	OK
02/08/2016 09:47:24	     1.220 MHz	 10.4 V/m	-21.1 dBm	OK
02/08/2016 09:47:27	     1.232 MHz	 10.4 V/m	-21.1 dBm	OK
02/08/2016 09:47:31	     1.245 MHz	 10.4 V/m	-21.1 dBm	OK
02/08/2016 09:47:34	     1.257 MHz	 10.4 V/m	-21.1 dBm	OK
02/08/2016 09:47:38	     1.270 MHz	 10.4 V/m	-21.1 dBm	OK
02/08/2016 09:47:42	     1.282 MHz	 10.5 V/m	-20.9 dBm	OK
02/08/2016 09:47:46	     1.295 MHz	 10.4 V/m	-20.9 dBm	OK
02/08/2016 09:47:49	     1.308 MHz	 10.4 V/m	-20.9 dBm	OK
02/08/2016 09:47:52	     1.321 MHz	 10.4 V/m	-20.9 dBm	OK
02/08/2016 09:47:56	     1.335 MHz	 10.4 V/m	-20.9 dBm	OK
02/08/2016 09:48:00	     1.348 MHz	 10.5 V/m	-20.7 dBm	OK
02/08/2016 09:48:04	     1.361 MHz	 10.4 V/m	-20.7 dBm	OK
02/08/2016 09:48:08	     1.375 MHz	 10.4 V/m	-20.7 dBm	OK
02/08/2016 09:48:12	     1.389 MHz	 10.4 V/m	-20.7 dBm	OK
02/08/2016 09:48:15	     1.403 MHz	 10.4 V/m	-20.7 dBm	OK
02/08/2016 09:48:19	     1.417 MHz	 10.4 V/m	-20.7 dBm	OK
02/08/2016 09:48:23	     1.431 MHz	 10.4 V/m	-20.5 dBm	OK
02/08/2016 09:48:26	     1.445 MHz	 10.4 V/m	-20.5 dBm	OK
02/08/2016 09:48:29	     1.460 MHz	 10.4 V/m	-20.5 dBm	OK
02/08/2016 09:48:33	     1.474 MHz	 10.4 V/m	-20.5 dBm	OK
02/08/2016 09:48:37	     1.489 MHz	 10.4 V/m	-20.5 dBm	OK
02/08/2016 09:48:42	     1.504 MHz	 10.7 V/m	-20.1 dBm	OK
02/08/2016 09:48:46	     1.519 MHz	 10.5 V/m	-20.1 dBm	OK
02/08/2016 09:48:49	     1.534 MHz	 10.5 V/m	-20.1 dBm	OK
02/08/2016 09:48:52	     1.549 MHz	 10.5 V/m	-20.1 dBm	OK
02/08/2016 09:48:55	     1.565 MHz	 10.5 V/m	-20.1 dBm	OK
02/08/2016 09:48:59	     1.580 MHz	 10.4 V/m	-20.1 dBm	OK
02/08/2016 09:49:02	     1.596 MHz	 10.4 V/m	-20.1 dBm	OK
02/08/2016 09:49:06	     1.612 MHz	 10.4 V/m	-20.1 dBm	OK
02/08/2016 09:49:10	     1.628 MHz	 10.4 V/m	-20.1 dBm	OK
02/08/2016 09:49:15	     1.645 MHz	 10.5 V/m	-19.9 dBm	OK
02/08/2016 09:49:19	     1.661 MHz	 10.4 V/m	-19.9 dBm	OK
02/08/2016 09:49:22	     1.678 MHz	 10.4 V/m	-19.9 dBm	OK
