12/10/2016 15:34:15	    50.000 MHz	 10.5 V/m	 -9.7 dBm	OK
12/10/2016 15:34:20	    50.250 MHz	 11.2 V/m	-10.4 dBm	OK
12/10/2016 15:34:23	    50.501 MHz	 11.4 V/m	-10.4 dBm	OK
12/10/2016 15:34:28	    50.754 MHz	 11.2 V/m	-10.7 dBm	OK
12/10/2016 15:34:31	    51.008 MHz	 11.4 V/m	-10.7 dBm	OK
12/10/2016 15:34:34	    51.263 MHz	 11.4 V/m	-10.7 dBm	OK
12/10/2016 15:34:37	    51.519 MHz	 11.4 V/m	-10.7 dBm	OK
12/10/2016 15:34:40	    51.776 MHz	 11.2 V/m	-10.7 dBm	OK
12/10/2016 15:34:43	    52.035 MHz	 11.0 V/m	-10.7 dBm	OK
12/10/2016 15:34:46	    52.296 MHz	 11.0 V/m	-10.7 dBm	OK
12/10/2016 15:34:50	    52.557 MHz	 11.0 V/m	-10.7 dBm	OK
12/10/2016 15:34:54	    52.820 MHz	 11.0 V/m	-10.7 dBm	OK
12/10/2016 15:34:57	    53.084 MHz	 11.0 V/m	-10.7 dBm	OK
12/10/2016 15:35:01	    53.349 MHz	 11.0 V/m	-10.7 dBm	OK
12/10/2016 15:35:05	    53.616 MHz	 10.7 V/m	-10.7 dBm	OK
12/10/2016 15:35:09	    53.884 MHz	 10.5 V/m	-10.7 dBm	OK
12/10/2016 15:35:13	    54.154 MHz	 10.5 V/m	-10.3 dBm	OK
12/10/2016 15:35:18	    54.424 MHz	 10.5 V/m	 -9.6 dBm	OK
12/10/2016 15:35:22	    54.696 MHz	 10.5 V/m	 -9.0 dBm	OK
12/10/2016 15:35:26	    54.970 MHz	 10.4 V/m	 -8.4 dBm	OK
12/10/2016 15:35:30	    55.245 MHz	 10.4 V/m	 -7.8 dBm	OK
12/10/2016 15:35:35	    55.521 MHz	 10.4 V/m	 -7.4 dBm	OK
12/10/2016 15:35:39	    55.799 MHz	 10.7 V/m	 -6.8 dBm	OK
12/10/2016 15:35:42	    56.078 MHz	 10.5 V/m	 -6.8 dBm	OK
12/10/2016 15:35:45	    56.358 MHz	 10.7 V/m	 -6.8 dBm	OK
12/10/2016 15:35:49	    56.640 MHz	 11.0 V/m	 -6.8 dBm	OK
12/10/2016 15:35:53	    56.923 MHz	 11.4 V/m	 -6.8 dBm	OK
12/10/2016 15:35:57	    57.208 MHz	 11.4 V/m	 -7.0 dBm	OK
12/10/2016 15:36:01	    57.494 MHz	 11.4 V/m	 -7.3 dBm	OK
12/10/2016 15:36:12	    57.781 MHz	 10.7 V/m	 -7.0 dBm	OK
12/10/2016 15:36:16	    58.070 MHz	 11.4 V/m	 -7.6 dBm	OK
12/10/2016 15:36:19	    58.360 MHz	 11.4 V/m	 -7.6 dBm	OK
12/10/2016 15:36:22	    58.652 MHz	 11.4 V/m	 -7.6 dBm	OK
12/10/2016 15:36:25	    58.945 MHz	 11.4 V/m	 -7.6 dBm	OK
12/10/2016 15:36:28	    59.240 MHz	 11.4 V/m	 -7.6 dBm	OK
12/10/2016 15:36:32	    59.536 MHz	 11.4 V/m	 -7.8 dBm	OK
12/10/2016 15:36:36	    59.834 MHz	 11.4 V/m	 -7.9 dBm	OK
12/10/2016 15:36:40	    60.133 MHz	 11.2 V/m	 -8.3 dBm	OK
12/10/2016 15:36:45	    60.434 MHz	 11.4 V/m	 -8.6 dBm	OK
12/10/2016 15:36:49	    60.736 MHz	 11.4 V/m	 -8.8 dBm	OK
12/10/2016 15:36:53	    61.040 MHz	 11.2 V/m	 -9.2 dBm	OK
12/10/2016 15:36:57	    61.345 MHz	 11.4 V/m	 -9.2 dBm	OK
12/10/2016 15:37:01	    61.652 MHz	 11.2 V/m	 -9.2 dBm	OK
12/10/2016 15:37:04	    61.960 MHz	 11.2 V/m	 -9.2 dBm	OK
12/10/2016 15:37:07	    62.270 MHz	 11.0 V/m	 -9.2 dBm	OK
12/10/2016 15:37:11	    62.581 MHz	 10.7 V/m	 -9.2 dBm	OK
12/10/2016 15:37:14	    62.894 MHz	 10.7 V/m	 -9.2 dBm	OK
12/10/2016 15:37:17	    63.208 MHz	 10.7 V/m	 -9.2 dBm	OK
