12/08/2016 11:17:25	     0.150 MHz	  6.2 V/m	-18.1 dBm	FAIL (LIMIT)
12/08/2016 11:17:30	     0.160 MHz	  8.7 V/m	-18.3 dBm	FAIL (LIMIT)
12/08/2016 11:17:33	     0.170 MHz	  9.0 V/m	-18.5 dBm	FAIL (LIMIT)
12/08/2016 11:17:37	     0.180 MHz	  9.0 V/m	-18.6 dBm	FAIL (LIMIT)
12/08/2016 11:17:42	     0.190 MHz	  9.0 V/m	-18.8 dBm	FAIL (LIMIT)
12/08/2016 11:17:45	     0.200 MHz	  9.3 V/m	-19.0 dBm	FAIL (LIMIT)
12/08/2016 11:17:48	     0.210 MHz	  9.3 V/m	-19.2 dBm	FAIL (LIMIT)
12/08/2016 11:17:51	     0.220 MHz	  9.3 V/m	-19.4 dBm	FAIL (LIMIT)
12/08/2016 11:17:54	     0.230 MHz	  9.3 V/m	-19.5 dBm	FAIL (LIMIT)
12/08/2016 11:17:58	     0.240 MHz	  9.3 V/m	-19.7 dBm	FAIL (LIMIT)
12/08/2016 11:18:01	     0.250 MHz	  9.4 V/m	-19.9 dBm	FAIL (LIMIT)
12/08/2016 11:18:05	     0.260 MHz	  9.3 V/m	-20.0 dBm	FAIL (LIMIT)
12/08/2016 11:18:08	     0.270 MHz	  9.3 V/m	-20.1 dBm	FAIL (LIMIT)
12/08/2016 11:18:12	     0.280 MHz	  9.4 V/m	-20.2 dBm	FAIL (LIMIT)
12/08/2016 11:18:15	     0.290 MHz	  9.4 V/m	-20.3 dBm	FAIL (LIMIT)
12/08/2016 11:18:20	     0.300 MHz	  9.4 V/m	-20.4 dBm	FAIL (LIMIT)
12/08/2016 11:18:23	     0.310 MHz	  9.7 V/m	-20.5 dBm	FAIL (LIMIT)
12/08/2016 11:18:27	     0.320 MHz	  9.7 V/m	-20.6 dBm	FAIL (LIMIT)
12/08/2016 11:18:31	     0.330 MHz	  9.7 V/m	-20.7 dBm	FAIL (LIMIT)
12/08/2016 11:18:34	     0.340 MHz	  9.7 V/m	-20.8 dBm	FAIL (LIMIT)
12/08/2016 11:18:37	     0.350 MHz	  9.7 V/m	-20.9 dBm	FAIL (LIMIT)
12/08/2016 11:18:40	     0.360 MHz	  9.7 V/m	-21.0 dBm	FAIL (LIMIT)
12/08/2016 11:18:44	     0.370 MHz	  9.7 V/m	-21.1 dBm	FAIL (LIMIT)
12/08/2016 11:18:48	     0.380 MHz	  9.9 V/m	-21.1 dBm	FAIL (LIMIT)
12/08/2016 11:18:51	     0.390 MHz	  9.9 V/m	-21.2 dBm	FAIL (LIMIT)
12/08/2016 11:18:54	     0.400 MHz	  9.9 V/m	-21.3 dBm	FAIL (LIMIT)
12/08/2016 11:18:57	     0.410 MHz	  9.9 V/m	-21.3 dBm	FAIL (LIMIT)
12/08/2016 11:19:00	     0.420 MHz	  9.9 V/m	-21.4 dBm	FAIL (LIMIT)
12/08/2016 11:19:03	     0.430 MHz	 10.0 V/m	-21.4 dBm	FAIL (LIMIT)
12/08/2016 11:19:06	     0.440 MHz	 10.0 V/m	-21.5 dBm	FAIL (LIMIT)
12/08/2016 11:19:09	     0.450 MHz	 10.0 V/m	-21.5 dBm	FAIL (LIMIT)
12/08/2016 11:19:13	     0.460 MHz	 10.0 V/m	-21.5 dBm	FAIL (LIMIT)
12/08/2016 11:19:20	     0.470 MHz	 10.4 V/m	-21.5 dBm	OK
12/08/2016 11:19:23	     0.480 MHz	 10.4 V/m	-21.5 dBm	OK
12/08/2016 11:19:26	     0.490 MHz	 10.5 V/m	-21.5 dBm	OK
12/08/2016 11:19:29	     0.500 MHz	 10.5 V/m	-21.5 dBm	OK
12/08/2016 11:19:32	     0.510 MHz	 10.5 V/m	-21.5 dBm	OK
12/08/2016 11:19:35	     0.520 MHz	 10.7 V/m	-21.5 dBm	OK
12/08/2016 11:19:38	     0.530 MHz	 10.7 V/m	-21.5 dBm	OK
12/08/2016 11:19:42	     0.540 MHz	 10.7 V/m	-21.5 dBm	OK
12/08/2016 11:19:46	     0.550 MHz	 11.0 V/m	-21.5 dBm	OK
12/08/2016 11:19:50	     0.560 MHz	 11.0 V/m	-21.5 dBm	OK
12/08/2016 11:19:54	     0.570 MHz	 11.0 V/m	-21.5 dBm	OK
12/08/2016 11:19:57	     0.580 MHz	 11.0 V/m	-21.5 dBm	OK
12/08/2016 11:20:00	     0.590 MHz	 11.2 V/m	-21.5 dBm	OK
12/08/2016 11:20:03	     0.600 MHz	 11.2 V/m	-21.5 dBm	OK
12/08/2016 11:20:06	     0.610 MHz	 11.2 V/m	-21.5 dBm	OK
12/08/2016 11:20:09	     0.620 MHz	 11.2 V/m	-21.5 dBm	OK
12/08/2016 11:20:12	     0.630 MHz	 11.2 V/m	-21.5 dBm	OK
12/08/2016 11:20:16	     0.640 MHz	 11.4 V/m	-21.5 dBm	OK
12/08/2016 11:20:19	     0.650 MHz	 11.4 V/m	-21.5 dBm	OK
12/08/2016 11:20:23	     0.660 MHz	 11.4 V/m	-21.5 dBm	OK
12/08/2016 11:20:26	     0.670 MHz	 11.4 V/m	-21.5 dBm	OK
12/08/2016 11:20:30	     0.680 MHz	 11.4 V/m	-21.5 dBm	OK
12/08/2016 11:20:33	     0.690 MHz	 11.4 V/m	-21.5 dBm	OK
12/08/2016 11:20:36	     0.700 MHz	 11.4 V/m	-21.5 dBm	OK
12/08/2016 11:20:36	     0.710 MHz	 11.4 V/m	-21.7 dBm	FAIL (LIMIT)
12/08/2016 11:20:42	     0.720 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:20:45	     0.730 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:20:48	     0.740 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:20:51	     0.750 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:20:54	     0.760 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:20:57	     0.770 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:01	     0.780 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:04	     0.790 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:08	     0.800 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:11	     0.810 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:14	     0.820 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:17	     0.830 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:20	     0.840 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:23	     0.850 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:26	     0.860 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:29	     0.870 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:32	     0.880 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:35	     0.890 MHz	 11.4 V/m	-21.7 dBm	OK
12/08/2016 11:21:38	     0.900 MHz	 11.4 V/m	-21.7 dBm	OK
