15/09/2016 15:10:20	    15.000 MHz	  4.7 V/m	-20.7 dBm	FAIL (LIMIT)
15/09/2016 15:10:28	    15.075 MHz	  4.7 V/m	-22.9 dBm	OK
15/09/2016 15:10:31	    15.150 MHz	  4.5 V/m	-22.9 dBm	OK
15/09/2016 15:10:34	    15.226 MHz	  4.5 V/m	-22.9 dBm	OK
15/09/2016 15:10:37	    15.302 MHz	  4.3 V/m	-22.9 dBm	OK
15/09/2016 15:10:41	    15.379 MHz	  4.3 V/m	-22.9 dBm	OK
15/09/2016 15:10:44	    15.456 MHz	  4.1 V/m	-22.9 dBm	OK
15/09/2016 15:10:48	    15.533 MHz	  4.1 V/m	-22.9 dBm	OK
15/09/2016 15:10:51	    15.611 MHz	  4.0 V/m	-22.9 dBm	OK
15/09/2016 15:10:55	    15.689 MHz	  3.9 V/m	-22.9 dBm	OK
15/09/2016 15:10:59	    15.767 MHz	  4.1 V/m	-22.5 dBm	OK
15/09/2016 15:11:02	    15.846 MHz	  4.0 V/m	-22.5 dBm	OK
15/09/2016 15:11:05	    15.925 MHz	  4.0 V/m	-22.5 dBm	OK
15/09/2016 15:11:08	    16.005 MHz	  3.9 V/m	-22.5 dBm	OK
15/09/2016 15:11:11	    16.085 MHz	  3.9 V/m	-22.5 dBm	OK
15/09/2016 15:11:15	    16.165 MHz	  4.0 V/m	-22.1 dBm	OK
15/09/2016 15:11:19	    16.246 MHz	  4.0 V/m	-22.1 dBm	OK
15/09/2016 15:11:22	    16.327 MHz	  4.0 V/m	-22.1 dBm	OK
15/09/2016 15:11:26	    16.409 MHz	  4.0 V/m	-22.1 dBm	OK
15/09/2016 15:11:29	    16.491 MHz	  4.0 V/m	-22.1 dBm	OK
15/09/2016 15:11:32	    16.573 MHz	  4.0 V/m	-22.1 dBm	OK
15/09/2016 15:11:36	    16.656 MHz	  4.0 V/m	-22.1 dBm	OK
15/09/2016 15:11:40	    16.740 MHz	  4.1 V/m	-22.1 dBm	OK
15/09/2016 15:11:43	    16.823 MHz	  4.1 V/m	-22.1 dBm	OK
15/09/2016 15:11:46	    16.907 MHz	  4.1 V/m	-22.1 dBm	OK
15/09/2016 15:11:49	    16.992 MHz	  4.1 V/m	-22.1 dBm	OK
15/09/2016 15:11:52	    17.077 MHz	  4.1 V/m	-22.1 dBm	OK
15/09/2016 15:11:56	    17.162 MHz	  4.1 V/m	-22.1 dBm	OK
15/09/2016 15:11:59	    17.248 MHz	  4.3 V/m	-22.1 dBm	OK
15/09/2016 15:12:02	    17.334 MHz	  4.3 V/m	-22.1 dBm	OK
15/09/2016 15:12:05	    17.421 MHz	  4.3 V/m	-22.1 dBm	OK
15/09/2016 15:12:08	    17.508 MHz	  4.3 V/m	-22.1 dBm	OK
15/09/2016 15:12:11	    17.596 MHz	  4.5 V/m	-22.1 dBm	OK
15/09/2016 15:12:14	    17.684 MHz	  4.5 V/m	-22.1 dBm	OK
15/09/2016 15:12:17	    17.772 MHz	  4.5 V/m	-22.1 dBm	OK
15/09/2016 15:12:20	    17.861 MHz	  4.5 V/m	-22.1 dBm	OK
