15/09/2016 14:09:19	     0.150 MHz	  4.8 V/m	-22.1 dBm	OK
15/09/2016 14:09:24	     0.160 MHz	  4.8 V/m	-23.8 dBm	OK
15/09/2016 14:09:28	     0.170 MHz	  5.0 V/m	-23.8 dBm	OK
15/09/2016 14:09:31	     0.180 MHz	  5.1 V/m	-23.8 dBm	OK
15/09/2016 14:09:35	     0.190 MHz	  4.8 V/m	-24.6 dBm	OK
15/09/2016 14:09:38	     0.200 MHz	  4.8 V/m	-24.6 dBm	OK
15/09/2016 14:09:41	     0.210 MHz	  5.0 V/m	-24.6 dBm	OK
15/09/2016 14:09:44	     0.220 MHz	  5.1 V/m	-24.6 dBm	OK
15/09/2016 14:09:48	     0.230 MHz	  5.0 V/m	-25.0 dBm	OK
15/09/2016 14:09:51	     0.240 MHz	  5.1 V/m	-25.0 dBm	OK
15/09/2016 14:09:55	     0.250 MHz	  4.8 V/m	-25.8 dBm	OK
15/09/2016 14:09:58	     0.260 MHz	  4.8 V/m	-25.8 dBm	OK
15/09/2016 14:10:02	     0.270 MHz	  5.0 V/m	-25.8 dBm	OK
15/09/2016 14:10:05	     0.280 MHz	  5.1 V/m	-25.8 dBm	OK
15/09/2016 14:10:09	     0.290 MHz	  4.8 V/m	-26.2 dBm	OK
15/09/2016 14:10:13	     0.300 MHz	  5.0 V/m	-26.2 dBm	OK
15/09/2016 14:10:16	     0.310 MHz	  5.1 V/m	-26.2 dBm	OK
15/09/2016 14:10:20	     0.320 MHz	  5.0 V/m	-26.6 dBm	OK
15/09/2016 14:10:23	     0.330 MHz	  5.0 V/m	-26.6 dBm	OK
15/09/2016 14:10:27	     0.340 MHz	  5.1 V/m	-26.6 dBm	OK
15/09/2016 14:10:31	     0.350 MHz	  5.0 V/m	-27.0 dBm	OK
15/09/2016 14:10:34	     0.360 MHz	  5.0 V/m	-27.0 dBm	OK
15/09/2016 14:10:38	     0.370 MHz	  5.1 V/m	-27.0 dBm	OK
15/09/2016 14:10:42	     0.380 MHz	  5.1 V/m	-27.0 dBm	OK
15/09/2016 14:10:46	     0.390 MHz	  4.8 V/m	-27.8 dBm	OK
15/09/2016 14:10:50	     0.400 MHz	  4.8 V/m	-27.8 dBm	OK
15/09/2016 14:10:54	     0.410 MHz	  4.8 V/m	-27.8 dBm	OK
15/09/2016 14:10:57	     0.420 MHz	  4.8 V/m	-27.8 dBm	OK
15/09/2016 14:11:01	     0.430 MHz	  5.0 V/m	-27.8 dBm	OK
15/09/2016 14:11:04	     0.440 MHz	  5.0 V/m	-27.8 dBm	OK
15/09/2016 14:11:07	     0.450 MHz	  5.1 V/m	-27.8 dBm	OK
15/09/2016 14:11:10	     0.460 MHz	  5.1 V/m	-27.8 dBm	OK
15/09/2016 14:11:14	     0.470 MHz	  5.0 V/m	-28.2 dBm	OK
15/09/2016 14:11:17	     0.480 MHz	  5.0 V/m	-28.2 dBm	OK
15/09/2016 14:11:20	     0.490 MHz	  5.0 V/m	-28.2 dBm	OK
15/09/2016 14:11:23	     0.500 MHz	  5.1 V/m	-28.2 dBm	OK
15/09/2016 14:11:26	     0.510 MHz	  5.1 V/m	-28.2 dBm	OK
15/09/2016 14:11:29	     0.520 MHz	  5.1 V/m	-28.2 dBm	OK
15/09/2016 14:11:33	     0.530 MHz	  5.0 V/m	-28.6 dBm	OK
15/09/2016 14:11:36	     0.540 MHz	  5.0 V/m	-28.6 dBm	OK
