30/09/2016 13:49:42	     7.000 MHz	  5.9 V/m	-27.6 dBm	OK
30/09/2016 13:49:46	     7.070 MHz	  6.1 V/m	-27.3 dBm	OK
30/09/2016 13:49:49	     7.141 MHz	  5.9 V/m	-27.3 dBm	OK
30/09/2016 13:49:52	     7.212 MHz	  5.9 V/m	-27.3 dBm	OK
30/09/2016 13:49:56	     7.284 MHz	  5.9 V/m	-27.0 dBm	OK
30/09/2016 13:49:59	     7.357 MHz	  5.9 V/m	-27.0 dBm	OK
30/09/2016 13:50:03	     7.431 MHz	  5.9 V/m	-27.0 dBm	OK
30/09/2016 13:50:07	     7.505 MHz	  6.1 V/m	-26.7 dBm	OK
30/09/2016 13:50:10	     7.580 MHz	  5.9 V/m	-26.7 dBm	OK
30/09/2016 13:50:14	     7.656 MHz	  6.2 V/m	-26.1 dBm	OK
30/09/2016 13:50:18	     7.732 MHz	  6.2 V/m	-26.1 dBm	OK
30/09/2016 13:50:21	     7.810 MHz	  6.2 V/m	-26.1 dBm	OK
30/09/2016 13:50:25	     7.888 MHz	  6.1 V/m	-26.1 dBm	OK
30/09/2016 13:50:28	     7.967 MHz	  6.1 V/m	-26.1 dBm	OK
30/09/2016 13:50:31	     8.046 MHz	  6.1 V/m	-26.1 dBm	OK
30/09/2016 13:50:34	     8.127 MHz	  5.9 V/m	-26.1 dBm	OK
30/09/2016 13:50:37	     8.208 MHz	  5.9 V/m	-26.1 dBm	OK
30/09/2016 13:50:40	     8.290 MHz	  5.9 V/m	-26.1 dBm	OK
