29/09/2016 11:29:45	    80.000 MHz	 13.9 V/m	-13.4 dBm	OK	IP0: 30113	(10.56 V/m)	Digital: 0XFF
29/09/2016 11:29:50	    80.400 MHz	 14.7 V/m	-12.7 dBm	OK	IP0: 30232	(11.43 V/m)	Digital: 0XFF
29/09/2016 11:29:55	    80.802 MHz	 15.0 V/m	-12.3 dBm	OK	IP0: 30194	(11.48 V/m)	Digital: 0XFF
29/09/2016 11:30:00	    81.206 MHz	 15.3 V/m	-11.9 dBm	OK	IP0: 30191	(11.56 V/m)	Digital: 0XFF
29/09/2016 11:30:05	    81.612 MHz	 15.3 V/m	-11.9 dBm	OK	IP0: 30038	(11.59 V/m)	Digital: 0XFF
29/09/2016 11:30:10	    82.020 MHz	 15.5 V/m	-11.8 dBm	OK	IP0: 29910	(11.55 V/m)	Digital: 0XFF
29/09/2016 11:30:16	    82.430 MHz	 15.8 V/m	-11.7 dBm	OK	IP0: 29911	(11.51 V/m)	Digital: 0XFF
29/09/2016 11:30:21	    82.842 MHz	 17.2 V/m	-11.1 dBm	OK	IP0: 30141	(11.45 V/m)	Digital: 0XFF
29/09/2016 11:30:28	    83.257 MHz	 15.7 V/m	-12.2 dBm	OK	IP0: 29641	(11.57 V/m)	Digital: 0XFF
29/09/2016 11:30:34	    83.673 MHz	 15.8 V/m	-12.4 dBm	OK	IP0: 29602	(11.58 V/m)	Digital: 0XFF
29/09/2016 11:30:40	    84.091 MHz	 15.5 V/m	-12.9 dBm	OK	IP0: 29423	(11.43 V/m)	Digital: 0XFF
29/09/2016 11:30:46	    84.512 MHz	 15.8 V/m	-13.1 dBm	OK	IP0: 29505	(11.58 V/m)	Digital: 0XFF
29/09/2016 11:30:52	    84.934 MHz	 15.4 V/m	-13.6 dBm	OK	IP0: 29346	(11.46 V/m)	Digital: 0XFF
29/09/2016 11:30:58	    85.359 MHz	 15.5 V/m	-13.7 dBm	OK	IP0: 29341	(11.54 V/m)	Digital: 0XFF
29/09/2016 11:31:04	    85.786 MHz	 15.4 V/m	-13.9 dBm	OK	IP0: 29267	(11.48 V/m)	Digital: 0XFF
29/09/2016 11:31:09	    86.215 MHz	 15.3 V/m	-13.8 dBm	OK	IP0: 29236	(11.46 V/m)	Digital: 0XFF
29/09/2016 11:31:14	    86.646 MHz	 15.3 V/m	-13.6 dBm	OK	IP0: 29125	(11.52 V/m)	Digital: 0XFF
29/09/2016 11:31:20	    87.079 MHz	 15.3 V/m	-13.3 dBm	OK	IP0: 29150	(11.43 V/m)	Digital: 0XFF
29/09/2016 11:31:26	    87.514 MHz	 15.2 V/m	-13.1 dBm	OK	IP0: 29057	(11.48 V/m)	Digital: 0XFF
29/09/2016 11:31:31	    87.952 MHz	 15.4 V/m	-12.6 dBm	OK	IP0: 29091	(11.58 V/m)	Digital: 0XFF
29/09/2016 11:31:37	    88.392 MHz	 15.2 V/m	-12.5 dBm	OK	IP0: 28925	(11.55 V/m)	Digital: 0XFF
29/09/2016 11:31:43	    88.834 MHz	 15.0 V/m	-12.5 dBm	OK	IP0: 28803	(11.40 V/m)	Digital: 0XFF
29/09/2016 11:31:48	    89.278 MHz	 15.2 V/m	-12.3 dBm	OK	IP0: 28883	(11.56 V/m)	Digital: 0XFF
29/09/2016 11:31:53	    89.724 MHz	 14.9 V/m	-12.6 dBm	OK	IP0: 28674	(11.43 V/m)	Digital: 0XFF
29/09/2016 11:31:59	    90.173 MHz	 15.0 V/m	-12.7 dBm	OK	IP0: 28697	(11.43 V/m)	Digital: 0XFF
29/09/2016 11:32:05	    90.624 MHz	 14.9 V/m	-13.0 dBm	OK	IP0: 28583	(11.47 V/m)	Digital: 0XFF
29/09/2016 11:32:11	    91.077 MHz	 14.9 V/m	-13.4 dBm	OK	IP0: 28534	(11.49 V/m)	Digital: 0XFF
29/09/2016 11:32:17	    91.532 MHz	 14.9 V/m	-13.7 dBm	OK	IP0: 28492	(11.46 V/m)	Digital: 0XFF
29/09/2016 11:32:23	    91.990 MHz	 14.7 V/m	-14.1 dBm	OK	IP0: 28415	(11.47 V/m)	Digital: 0XFF
29/09/2016 11:32:29	    92.450 MHz	 15.2 V/m	-14.0 dBm	OK	IP0: 28494	(11.57 V/m)	Digital: 0XFF
29/09/2016 11:32:35	    92.912 MHz	 15.4 V/m	-13.9 dBm	OK	IP0: 28544	(11.56 V/m)	Digital: 0XFF
29/09/2016 11:32:40	    93.377 MHz	 15.6 V/m	-13.7 dBm	OK	IP0: 28621	(11.50 V/m)	Digital: 0XFF
29/09/2016 11:32:45	    93.843 MHz	 15.6 V/m	-13.5 dBm	OK	IP0: 28667	(11.47 V/m)	Digital: 0XFF
29/09/2016 11:32:50	    94.313 MHz	 15.5 V/m	-13.3 dBm	OK	IP0: 28668	(11.44 V/m)	Digital: 0XFF
29/09/2016 11:32:56	    94.784 MHz	 15.7 V/m	-13.0 dBm	OK	IP0: 28724	(11.42 V/m)	Digital: 0XFF
29/09/2016 11:33:01	    95.258 MHz	 15.9 V/m	-12.7 dBm	OK	IP0: 28810	(11.45 V/m)	Digital: 0XFF
29/09/2016 11:33:07	    95.734 MHz	 16.1 V/m	-12.5 dBm	OK	IP0: 28953	(11.52 V/m)	Digital: 0XFF
29/09/2016 11:33:13	    96.213 MHz	 15.8 V/m	-12.7 dBm	OK	IP0: 28883	(11.42 V/m)	Digital: 0XFF
29/09/2016 11:33:19	    96.694 MHz	 16.2 V/m	-12.6 dBm	OK	IP0: 29078	(11.59 V/m)	Digital: 0XFF
29/09/2016 11:33:25	    97.178 MHz	 16.0 V/m	-12.8 dBm	OK	IP0: 29084	(11.46 V/m)	Digital: 0XFF
29/09/2016 11:33:31	    97.664 MHz	 15.9 V/m	-13.0 dBm	OK	IP0: 29079	(11.44 V/m)	Digital: 0XFF
29/09/2016 11:33:37	    98.152 MHz	 16.0 V/m	-13.1 dBm	OK	IP0: 29201	(11.43 V/m)	Digital: 0XFF
29/09/2016 11:33:43	    98.643 MHz	 15.8 V/m	-13.3 dBm	OK	IP0: 29178	(11.43 V/m)	Digital: 0XFF
29/09/2016 11:33:48	    99.136 MHz	 16.3 V/m	-13.1 dBm	OK	IP0: 29400	(11.56 V/m)	Digital: 0XFF
29/09/2016 11:33:53	    99.632 MHz	 16.2 V/m	-13.0 dBm	OK	IP0: 29434	(11.57 V/m)	Digital: 0XFF
29/09/2016 11:33:59	   100.130 MHz	 16.1 V/m	-13.0 dBm	OK	IP0: 29488	(11.60 V/m)	Digital: 0XFF
29/09/2016 11:34:05	   100.630 MHz	 15.3 V/m	-13.3 dBm	OK	IP0: 29305	(11.44 V/m)	Digital: 0XFF
29/09/2016 11:34:11	   101.133 MHz	 15.0 V/m	-13.4 dBm	OK	IP0: 29269	(11.50 V/m)	Digital: 0XFF
29/09/2016 11:34:17	   101.639 MHz	 14.7 V/m	-13.6 dBm	OK	IP0: 29298	(11.47 V/m)	Digital: 0XFF
