03/03/2017 11:47:20	     5.000 MHz	  3.9 V/m	-28.4 dBm	OK
03/03/2017 11:47:25	     5.050 MHz	  4.1 V/m	-27.6 dBm	OK
03/03/2017 11:47:28	     5.101 MHz	  4.1 V/m	-27.6 dBm	OK
03/03/2017 11:47:32	     5.152 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:47:35	     5.203 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:47:39	     5.255 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:47:43	     5.308 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:47:47	     5.361 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:47:51	     5.414 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:47:55	     5.468 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:47:59	     5.523 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:48:02	     5.578 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:48:06	     5.634 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:48:10	     5.690 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:48:14	     5.747 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:48:18	     5.805 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:48:21	     5.863 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:48:25	     5.922 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:48:29	     5.981 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:48:33	     6.041 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:48:36	     6.101 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:48:39	     6.162 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:48:43	     6.224 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:48:47	     6.286 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:48:51	     6.349 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:48:55	     6.412 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:48:59	     6.476 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:02	     6.541 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:06	     6.606 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:10	     6.673 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:14	     6.739 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:18	     6.807 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:21	     6.875 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:25	     6.943 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:28	     7.013 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:31	     7.083 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:34	     7.154 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:37	     7.225 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:40	     7.298 MHz	  4.7 V/m	-27.6 dBm	OK
03/03/2017 11:49:44	     7.371 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:49:47	     7.444 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:49:50	     7.519 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:49:53	     7.594 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:49:56	     7.670 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:49:59	     7.747 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:50:02	     7.824 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:50:05	     7.902 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:50:08	     7.981 MHz	  4.5 V/m	-27.6 dBm	OK
03/03/2017 11:50:12	     8.061 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:50:15	     8.142 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:50:18	     8.223 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:50:21	     8.305 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:50:24	     8.388 MHz	  4.3 V/m	-27.6 dBm	OK
03/03/2017 11:50:27	     8.472 MHz	  4.3 V/m	-27.6 dBm	OK
