30/11/2017 13:19:41	     1.000 MHz	 11.0 V/m	-15.8 dBm	OK
30/11/2017 13:19:45	     1.010 MHz	 11.0 V/m	-15.7 dBm	OK
30/11/2017 13:19:48	     1.020 MHz	 11.0 V/m	-15.7 dBm	OK
30/11/2017 13:19:51	     1.030 MHz	 11.0 V/m	-15.7 dBm	OK
30/11/2017 13:19:54	     1.041 MHz	 11.0 V/m	-15.7 dBm	OK
30/11/2017 13:19:57	     1.051 MHz	 11.0 V/m	-15.7 dBm	OK
30/11/2017 13:20:00	     1.062 MHz	 11.0 V/m	-15.7 dBm	OK
30/11/2017 13:20:03	     1.072 MHz	 11.0 V/m	-15.7 dBm	OK
30/11/2017 13:20:06	     1.083 MHz	 11.0 V/m	-15.7 dBm	OK
30/11/2017 13:20:10	     1.094 MHz	 11.2 V/m	-15.5 dBm	OK
30/11/2017 13:20:14	     1.105 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:17	     1.116 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:21	     1.127 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:24	     1.138 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:28	     1.149 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:32	     1.161 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:35	     1.173 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:38	     1.184 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:41	     1.196 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:44	     1.208 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:48	     1.220 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:51	     1.232 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:54	     1.245 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:20:57	     1.257 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:21:00	     1.270 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:21:03	     1.282 MHz	 11.0 V/m	-15.5 dBm	OK
30/11/2017 13:21:07	     1.295 MHz	 11.0 V/m	-15.4 dBm	OK
30/11/2017 13:21:10	     1.308 MHz	 11.0 V/m	-15.4 dBm	OK
30/11/2017 13:21:13	     1.321 MHz	 11.0 V/m	-15.4 dBm	OK
30/11/2017 13:21:17	     1.335 MHz	 11.0 V/m	-15.4 dBm	OK
30/11/2017 13:21:20	     1.348 MHz	 11.0 V/m	-15.4 dBm	OK
30/11/2017 13:21:23	     1.361 MHz	 11.0 V/m	-15.4 dBm	OK
30/11/2017 13:21:27	     1.375 MHz	 11.0 V/m	-15.4 dBm	OK
30/11/2017 13:21:31	     1.389 MHz	 11.0 V/m	-15.4 dBm	OK
30/11/2017 13:21:34	     1.403 MHz	 11.0 V/m	-15.4 dBm	OK
