30/11/2017 13:13:44	     0.150 MHz	 11.0 V/m	 -8.1 dBm	OK
30/11/2017 13:13:48	     0.160 MHz	 11.0 V/m	 -8.1 dBm	OK
30/11/2017 13:13:53	     0.170 MHz	 11.2 V/m	 -8.5 dBm	OK
30/11/2017 13:13:57	     0.180 MHz	 11.2 V/m	 -9.0 dBm	OK
30/11/2017 13:14:01	     0.190 MHz	 11.2 V/m	 -9.5 dBm	OK
30/11/2017 13:14:05	     0.200 MHz	 11.2 V/m	 -9.9 dBm	OK
30/11/2017 13:14:10	     0.210 MHz	 11.2 V/m	-10.3 dBm	OK
30/11/2017 13:14:15	     0.220 MHz	 11.2 V/m	-10.8 dBm	OK
30/11/2017 13:14:19	     0.230 MHz	 11.2 V/m	-11.1 dBm	OK
30/11/2017 13:14:24	     0.240 MHz	 11.0 V/m	-11.6 dBm	OK
30/11/2017 13:14:28	     0.250 MHz	 11.2 V/m	-11.8 dBm	OK
30/11/2017 13:14:32	     0.260 MHz	 11.2 V/m	-12.2 dBm	OK
30/11/2017 13:14:36	     0.270 MHz	 11.2 V/m	-12.5 dBm	OK
30/11/2017 13:14:40	     0.280 MHz	 11.2 V/m	-12.7 dBm	OK
30/11/2017 13:14:44	     0.290 MHz	 11.2 V/m	-12.8 dBm	OK
30/11/2017 13:14:48	     0.300 MHz	 11.2 V/m	-13.1 dBm	OK
30/11/2017 13:14:52	     0.310 MHz	 11.2 V/m	-13.4 dBm	OK
30/11/2017 13:14:56	     0.320 MHz	 11.2 V/m	-13.5 dBm	OK
30/11/2017 13:15:00	     0.330 MHz	 11.2 V/m	-13.8 dBm	OK
30/11/2017 13:15:03	     0.340 MHz	 11.2 V/m	-13.8 dBm	OK
30/11/2017 13:15:07	     0.350 MHz	 11.2 V/m	-14.1 dBm	OK
30/11/2017 13:15:11	     0.360 MHz	 11.2 V/m	-14.2 dBm	OK
30/11/2017 13:15:15	     0.370 MHz	 11.2 V/m	-14.4 dBm	OK
30/11/2017 13:15:19	     0.380 MHz	 11.2 V/m	-14.4 dBm	OK
30/11/2017 13:15:23	     0.390 MHz	 11.2 V/m	-14.6 dBm	OK
30/11/2017 13:15:26	     0.400 MHz	 11.2 V/m	-14.6 dBm	OK
30/11/2017 13:15:30	     0.410 MHz	 11.2 V/m	-14.8 dBm	OK
30/11/2017 13:15:33	     0.420 MHz	 11.2 V/m	-14.8 dBm	OK
30/11/2017 13:15:37	     0.430 MHz	 11.2 V/m	-15.0 dBm	OK
