28/11/2017 11:34:16	     0.150 MHz	 11.0 V/m	-16.2 dBm	OK
28/11/2017 11:34:20	     0.160 MHz	 11.2 V/m	-16.5 dBm	OK
28/11/2017 11:34:24	     0.170 MHz	 11.2 V/m	-16.7 dBm	OK
28/11/2017 11:34:28	     0.180 MHz	 11.0 V/m	-17.0 dBm	OK
28/11/2017 11:34:31	     0.190 MHz	 11.2 V/m	-17.0 dBm	OK
28/11/2017 11:34:35	     0.200 MHz	 11.2 V/m	-17.1 dBm	OK
28/11/2017 11:34:39	     0.210 MHz	 11.2 V/m	-17.3 dBm	OK
28/11/2017 11:34:43	     0.220 MHz	 11.2 V/m	-17.5 dBm	OK
28/11/2017 11:34:47	     0.230 MHz	 11.2 V/m	-17.6 dBm	OK
28/11/2017 11:34:51	     0.240 MHz	 11.2 V/m	-17.7 dBm	OK
28/11/2017 11:34:55	     0.250 MHz	 11.2 V/m	-17.9 dBm	OK
28/11/2017 11:34:59	     0.260 MHz	 11.2 V/m	-18.0 dBm	OK
28/11/2017 11:35:02	     0.270 MHz	 11.2 V/m	-18.0 dBm	OK
28/11/2017 11:35:06	     0.280 MHz	 11.2 V/m	-18.1 dBm	OK
28/11/2017 11:35:10	     0.290 MHz	 11.2 V/m	-18.2 dBm	OK
28/11/2017 11:35:14	     0.300 MHz	 11.2 V/m	-18.3 dBm	OK
28/11/2017 11:35:18	     0.310 MHz	 11.2 V/m	-18.5 dBm	OK
28/11/2017 11:35:21	     0.320 MHz	 11.2 V/m	-18.5 dBm	OK
28/11/2017 11:35:24	     0.330 MHz	 11.2 V/m	-18.5 dBm	OK
28/11/2017 11:35:28	     0.340 MHz	 11.2 V/m	-18.7 dBm	OK
28/11/2017 11:35:31	     0.350 MHz	 11.2 V/m	-18.7 dBm	OK
28/11/2017 11:35:34	     0.360 MHz	 11.2 V/m	-18.7 dBm	OK
28/11/2017 11:35:38	     0.370 MHz	 11.2 V/m	-18.8 dBm	OK
28/11/2017 11:35:42	     0.380 MHz	 11.2 V/m	-18.9 dBm	OK
28/11/2017 11:35:45	     0.390 MHz	 11.2 V/m	-18.9 dBm	OK
28/11/2017 11:35:49	     0.400 MHz	 11.2 V/m	-18.9 dBm	OK
28/11/2017 11:35:52	     0.410 MHz	 11.2 V/m	-18.9 dBm	OK
28/11/2017 11:35:56	     0.420 MHz	 11.2 V/m	-19.1 dBm	OK
28/11/2017 11:35:59	     0.430 MHz	 11.2 V/m	-19.1 dBm	OK
28/11/2017 11:36:02	     0.440 MHz	 11.2 V/m	-19.1 dBm	OK
28/11/2017 11:36:06	     0.450 MHz	 11.2 V/m	-19.1 dBm	OK
28/11/2017 11:36:09	     0.460 MHz	 11.2 V/m	-19.1 dBm	OK
28/11/2017 11:36:13	     0.470 MHz	 11.2 V/m	-19.2 dBm	OK
28/11/2017 11:36:16	     0.480 MHz	 11.2 V/m	-19.2 dBm	OK
28/11/2017 11:36:19	     0.490 MHz	 11.2 V/m	-19.2 dBm	OK
28/11/2017 11:36:22	     0.500 MHz	 11.2 V/m	-19.2 dBm	OK
28/11/2017 11:36:25	     0.510 MHz	 11.2 V/m	-19.2 dBm	OK
28/11/2017 11:36:28	     0.520 MHz	 11.2 V/m	-19.2 dBm	OK
28/11/2017 11:36:32	     0.530 MHz	 11.2 V/m	-19.3 dBm	OK
28/11/2017 11:36:35	     0.540 MHz	 11.2 V/m	-19.3 dBm	OK
28/11/2017 11:36:38	     0.550 MHz	 11.2 V/m	-19.3 dBm	OK
28/11/2017 11:36:41	     0.560 MHz	 11.2 V/m	-19.3 dBm	OK
28/11/2017 11:36:44	     0.570 MHz	 11.2 V/m	-19.3 dBm	OK
28/11/2017 11:36:47	     0.580 MHz	 11.2 V/m	-19.3 dBm	OK
28/11/2017 11:36:50	     0.590 MHz	 11.2 V/m	-19.3 dBm	OK
28/11/2017 11:36:53	     0.600 MHz	 11.0 V/m	-19.3 dBm	OK
28/11/2017 11:36:56	     0.610 MHz	 11.0 V/m	-19.3 dBm	OK
28/11/2017 11:36:59	     0.620 MHz	 11.0 V/m	-19.3 dBm	OK
28/11/2017 11:37:02	     0.630 MHz	 11.0 V/m	-19.3 dBm	OK
28/11/2017 11:37:05	     0.640 MHz	 11.0 V/m	-19.3 dBm	OK
28/11/2017 11:37:08	     0.650 MHz	 11.0 V/m	-19.3 dBm	OK
28/11/2017 11:37:11	     0.660 MHz	 11.0 V/m	-19.3 dBm	OK
28/11/2017 11:37:14	     0.670 MHz	 11.0 V/m	-19.3 dBm	OK
28/11/2017 11:37:18	     0.680 MHz	 11.0 V/m	-19.2 dBm	OK
28/11/2017 11:37:21	     0.690 MHz	 11.0 V/m	-19.2 dBm	OK
28/11/2017 11:37:25	     0.700 MHz	 11.0 V/m	-19.1 dBm	OK
28/11/2017 11:37:28	     0.710 MHz	 11.0 V/m	-19.1 dBm	OK
28/11/2017 11:37:32	     0.720 MHz	 11.0 V/m	-19.1 dBm	OK
28/11/2017 11:37:36	     0.730 MHz	 11.0 V/m	-19.0 dBm	OK
28/11/2017 11:37:39	     0.740 MHz	 11.0 V/m	-19.0 dBm	OK
28/11/2017 11:37:43	     0.750 MHz	 11.0 V/m	-18.9 dBm	OK
28/11/2017 11:37:46	     0.760 MHz	 11.0 V/m	-18.9 dBm	OK
28/11/2017 11:37:50	     0.770 MHz	 11.0 V/m	-18.7 dBm	OK
28/11/2017 11:37:54	     0.780 MHz	 11.0 V/m	-18.7 dBm	OK
28/11/2017 11:37:57	     0.790 MHz	 11.0 V/m	-18.7 dBm	OK
28/11/2017 11:38:01	     0.800 MHz	 11.0 V/m	-18.7 dBm	OK
28/11/2017 11:38:04	     0.810 MHz	 11.0 V/m	-18.7 dBm	OK
28/11/2017 11:38:08	     0.820 MHz	 11.0 V/m	-18.5 dBm	OK
28/11/2017 11:38:11	     0.830 MHz	 11.0 V/m	-18.5 dBm	OK
28/11/2017 11:38:15	     0.840 MHz	 11.0 V/m	-18.5 dBm	OK
28/11/2017 11:38:19	     0.850 MHz	 11.2 V/m	-18.3 dBm	OK
28/11/2017 11:38:22	     0.860 MHz	 11.2 V/m	-18.3 dBm	OK
28/11/2017 11:38:25	     0.870 MHz	 11.0 V/m	-18.3 dBm	OK
28/11/2017 11:38:28	     0.880 MHz	 11.0 V/m	-18.3 dBm	OK
28/11/2017 11:38:31	     0.890 MHz	 11.0 V/m	-18.3 dBm	OK
28/11/2017 11:38:35	     0.900 MHz	 11.2 V/m	-18.1 dBm	OK
28/11/2017 11:38:38	     0.910 MHz	 11.0 V/m	-18.1 dBm	OK
28/11/2017 11:38:42	     0.920 MHz	 11.0 V/m	-18.1 dBm	OK
28/11/2017 11:38:46	     0.930 MHz	 11.0 V/m	-18.0 dBm	OK
28/11/2017 11:38:49	     0.940 MHz	 11.0 V/m	-18.0 dBm	OK
28/11/2017 11:38:53	     0.950 MHz	 11.0 V/m	-17.9 dBm	OK
28/11/2017 11:38:57	     0.960 MHz	 11.0 V/m	-17.9 dBm	OK
28/11/2017 11:39:01	     0.970 MHz	 11.0 V/m	-17.8 dBm	OK
28/11/2017 11:39:04	     0.980 MHz	 11.0 V/m	-17.8 dBm	OK
