14/12/2017 11:52:29	    50.000 MHz	 10.4 V/m	 -9.4 dBm	OK
14/12/2017 11:52:33	    50.500 MHz	 11.2 V/m	 -9.8 dBm	OK
14/12/2017 11:52:36	    51.005 MHz	 11.2 V/m	 -9.8 dBm	OK
14/12/2017 11:52:40	    51.515 MHz	 10.7 V/m	 -9.8 dBm	OK
14/12/2017 11:52:43	    52.030 MHz	 10.5 V/m	 -9.8 dBm	OK
14/12/2017 11:52:46	    52.551 MHz	 10.4 V/m	 -9.8 dBm	OK
14/12/2017 11:52:50	    53.076 MHz	 10.7 V/m	 -9.4 dBm	OK
14/12/2017 11:52:53	    53.607 MHz	 10.7 V/m	 -9.4 dBm	OK
14/12/2017 11:52:56	    54.143 MHz	 10.5 V/m	 -9.4 dBm	OK
14/12/2017 11:53:00	    54.684 MHz	 10.5 V/m	 -8.8 dBm	OK
14/12/2017 11:53:04	    55.231 MHz	 10.5 V/m	 -8.2 dBm	OK
14/12/2017 11:53:08	    55.783 MHz	 10.5 V/m	 -7.8 dBm	OK
14/12/2017 11:53:11	    56.341 MHz	 10.4 V/m	 -7.8 dBm	OK
14/12/2017 11:53:15	    56.905 MHz	 10.5 V/m	 -7.4 dBm	OK
14/12/2017 11:53:18	    57.474 MHz	 10.4 V/m	 -7.4 dBm	OK
14/12/2017 11:53:22	    58.048 MHz	 10.5 V/m	 -6.8 dBm	OK
14/12/2017 11:53:25	    58.629 MHz	 10.4 V/m	 -6.8 dBm	OK
14/12/2017 11:53:30	    59.215 MHz	 10.5 V/m	 -6.0 dBm	OK
14/12/2017 11:53:35	    59.807 MHz	 10.4 V/m	 -4.9 dBm	OK
14/12/2017 11:53:40	    60.405 MHz	 10.5 V/m	 -3.5 dBm	OK
14/12/2017 11:53:44	    61.010 MHz	 10.4 V/m	 -2.9 dBm	OK
14/12/2017 11:53:48	    61.620 MHz	 10.4 V/m	 -2.9 dBm	OK
14/12/2017 11:53:52	    62.236 MHz	 10.7 V/m	 -2.9 dBm	OK
14/12/2017 11:53:56	    62.858 MHz	 11.2 V/m	 -2.9 dBm	OK
14/12/2017 11:54:00	    63.487 MHz	 11.2 V/m	 -2.9 dBm	OK
14/12/2017 11:54:03	    64.122 MHz	 11.4 V/m	 -2.9 dBm	OK
14/12/2017 11:54:07	    64.763 MHz	 11.4 V/m	 -2.9 dBm	OK
14/12/2017 11:54:11	    65.410 MHz	 10.7 V/m	 -2.9 dBm	OK
14/12/2017 11:54:15	    66.065 MHz	 10.7 V/m	 -2.9 dBm	OK
14/12/2017 11:54:19	    66.725 MHz	 11.4 V/m	 -3.7 dBm	OK
14/12/2017 11:54:24	    67.392 MHz	 11.4 V/m	 -4.8 dBm	OK
