27/11/2017 15:03:51	     0.150 MHz	 11.0 V/m	-13.7 dBm	OK
27/11/2017 15:03:55	     0.160 MHz	 11.2 V/m	-13.8 dBm	OK
27/11/2017 15:04:00	     0.170 MHz	 11.2 V/m	-14.1 dBm	OK
27/11/2017 15:04:04	     0.180 MHz	 11.2 V/m	-14.4 dBm	OK
27/11/2017 15:04:08	     0.190 MHz	 11.2 V/m	-14.6 dBm	OK
27/11/2017 15:04:12	     0.200 MHz	 11.2 V/m	-14.8 dBm	OK
27/11/2017 15:04:16	     0.210 MHz	 11.2 V/m	-15.0 dBm	OK
27/11/2017 15:04:20	     0.220 MHz	 11.2 V/m	-15.2 dBm	OK
27/11/2017 15:04:24	     0.230 MHz	 11.2 V/m	-15.4 dBm	OK
27/11/2017 15:04:28	     0.240 MHz	 11.2 V/m	-15.5 dBm	OK
27/11/2017 15:04:32	     0.250 MHz	 11.2 V/m	-15.6 dBm	OK
27/11/2017 15:04:36	     0.260 MHz	 11.2 V/m	-15.8 dBm	OK
27/11/2017 15:04:40	     0.270 MHz	 11.2 V/m	-15.8 dBm	OK
27/11/2017 15:04:44	     0.280 MHz	 11.2 V/m	-15.9 dBm	OK
27/11/2017 15:04:48	     0.290 MHz	 11.2 V/m	-16.1 dBm	OK
27/11/2017 15:04:52	     0.300 MHz	 11.2 V/m	-16.1 dBm	OK
27/11/2017 15:04:55	     0.310 MHz	 11.2 V/m	-16.1 dBm	OK
27/11/2017 15:04:59	     0.320 MHz	 11.2 V/m	-16.3 dBm	OK
27/11/2017 15:05:02	     0.330 MHz	 11.2 V/m	-16.3 dBm	OK
27/11/2017 15:05:05	     0.340 MHz	 11.2 V/m	-16.3 dBm	OK
27/11/2017 15:05:09	     0.350 MHz	 11.2 V/m	-16.5 dBm	OK
27/11/2017 15:05:12	     0.360 MHz	 11.2 V/m	-16.5 dBm	OK
27/11/2017 15:05:15	     0.370 MHz	 11.2 V/m	-16.5 dBm	OK
27/11/2017 15:05:18	     0.380 MHz	 11.2 V/m	-16.5 dBm	OK
27/11/2017 15:05:22	     0.390 MHz	 11.2 V/m	-16.5 dBm	OK
27/11/2017 15:05:25	     0.400 MHz	 11.2 V/m	-16.5 dBm	OK
27/11/2017 15:05:28	     0.410 MHz	 11.2 V/m	-16.5 dBm	OK
27/11/2017 15:05:31	     0.420 MHz	 11.2 V/m	-16.5 dBm	OK
27/11/2017 15:05:34	     0.430 MHz	 11.2 V/m	-16.5 dBm	OK
27/11/2017 15:05:37	     0.440 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:05:41	     0.450 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:05:44	     0.460 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:05:47	     0.470 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:05:50	     0.480 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:05:53	     0.490 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:05:56	     0.500 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:06:00	     0.510 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:06:03	     0.520 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:06:06	     0.530 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:06:09	     0.540 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:06:12	     0.550 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:06:15	     0.560 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:06:19	     0.570 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:06:22	     0.580 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:06:25	     0.590 MHz	 11.2 V/m	-16.6 dBm	OK
27/11/2017 15:06:28	     0.600 MHz	 11.0 V/m	-16.6 dBm	OK
27/11/2017 15:06:31	     0.610 MHz	 11.0 V/m	-16.6 dBm	OK
27/11/2017 15:06:34	     0.620 MHz	 11.0 V/m	-16.6 dBm	OK
27/11/2017 15:06:38	     0.630 MHz	 11.0 V/m	-16.6 dBm	OK
27/11/2017 15:06:41	     0.640 MHz	 11.0 V/m	-16.6 dBm	OK
27/11/2017 15:06:44	     0.650 MHz	 11.0 V/m	-16.6 dBm	OK
27/11/2017 15:06:47	     0.660 MHz	 11.0 V/m	-16.6 dBm	OK
27/11/2017 15:06:50	     0.670 MHz	 11.0 V/m	-16.6 dBm	OK
27/11/2017 15:06:53	     0.680 MHz	 11.0 V/m	-16.6 dBm	OK
27/11/2017 15:06:57	     0.690 MHz	 11.0 V/m	-16.5 dBm	OK
27/11/2017 15:07:00	     0.700 MHz	 11.0 V/m	-16.5 dBm	OK
27/11/2017 15:07:03	     0.710 MHz	 11.0 V/m	-16.5 dBm	OK
27/11/2017 15:07:06	     0.720 MHz	 11.0 V/m	-16.5 dBm	OK
27/11/2017 15:07:09	     0.730 MHz	 11.0 V/m	-16.5 dBm	OK
27/11/2017 15:07:13	     0.740 MHz	 11.2 V/m	-16.3 dBm	OK
