27/11/2017 11:36:09	    80.000 MHz	 13.2 V/m	 -8.8 dBm	OK	IP0: 30063	(10.88 V/m)	Digital: 0XFF
27/11/2017 11:36:14	    80.400 MHz	 13.7 V/m	 -8.6 dBm	OK	IP0: 30098	(11.15 V/m)	Digital: 0XFF
27/11/2017 11:36:20	    80.802 MHz	 13.5 V/m	 -8.7 dBm	OK	IP0: 30047	(11.17 V/m)	Digital: 0XFF
27/11/2017 11:36:26	    81.206 MHz	 13.4 V/m	 -8.8 dBm	OK	IP0: 29892	(11.15 V/m)	Digital: 0XFF
27/11/2017 11:36:32	    81.612 MHz	 13.5 V/m	 -8.8 dBm	OK	IP0: 29890	(11.11 V/m)	Digital: 0XFF
27/11/2017 11:36:38	    82.020 MHz	 13.5 V/m	 -9.0 dBm	OK	IP0: 29740	(11.15 V/m)	Digital: 0XFF
27/11/2017 11:36:44	    82.430 MHz	 13.5 V/m	 -9.0 dBm	OK	IP0: 29728	(11.14 V/m)	Digital: 0XFF
27/11/2017 11:36:50	    82.842 MHz	 13.4 V/m	 -9.1 dBm	OK	IP0: 29588	(11.14 V/m)	Digital: 0XFF
27/11/2017 11:36:56	    83.257 MHz	 13.4 V/m	 -9.2 dBm	OK	IP0: 29547	(11.16 V/m)	Digital: 0XFF
27/11/2017 11:37:03	    83.673 MHz	 13.4 V/m	 -9.3 dBm	OK	IP0: 29406	(11.14 V/m)	Digital: 0XFF
27/11/2017 11:37:09	    84.091 MHz	 13.5 V/m	 -9.3 dBm	OK	IP0: 29363	(11.17 V/m)	Digital: 0XFF
27/11/2017 11:37:14	    84.512 MHz	 14.1 V/m	 -9.4 dBm	OK	IP0: 29254	(11.08 V/m)	Digital: 0XFF
27/11/2017 11:37:20	    84.934 MHz	 13.9 V/m	 -9.3 dBm	OK	IP0: 29256	(11.09 V/m)	Digital: 0XFF
27/11/2017 11:37:26	    85.359 MHz	 14.0 V/m	 -9.3 dBm	OK	IP0: 29118	(11.08 V/m)	Digital: 0XFF
27/11/2017 11:37:32	    85.786 MHz	 14.3 V/m	 -9.2 dBm	OK	IP0: 29130	(11.10 V/m)	Digital: 0XFF
27/11/2017 11:37:38	    86.215 MHz	 14.5 V/m	 -9.1 dBm	OK	IP0: 29088	(11.18 V/m)	Digital: 0XFF
27/11/2017 11:37:44	    86.646 MHz	 14.6 V/m	 -9.1 dBm	OK	IP0: 28979	(11.16 V/m)	Digital: 0XFF
27/11/2017 11:37:50	    87.079 MHz	 14.8 V/m	 -9.0 dBm	OK	IP0: 28959	(11.09 V/m)	Digital: 0XFF
27/11/2017 11:37:55	    87.514 MHz	 15.7 V/m	 -9.0 dBm	OK	IP0: 28855	(11.12 V/m)	Digital: 0XFF
27/11/2017 11:37:59	    87.952 MHz	 16.2 V/m	 -8.8 dBm	OK	IP0: 28850	(11.16 V/m)	Digital: 0XFF
27/11/2017 11:38:05	    88.392 MHz	 15.6 V/m	 -8.7 dBm	OK	IP0: 28767	(11.15 V/m)	Digital: 0XFF
27/11/2017 11:38:10	    88.834 MHz	 16.1 V/m	 -8.7 dBm	OK	IP0: 28734	(11.07 V/m)	Digital: 0XFF
27/11/2017 11:38:16	    89.278 MHz	 15.6 V/m	 -8.7 dBm	OK	IP0: 28601	(11.13 V/m)	Digital: 0XFF
27/11/2017 11:38:22	    89.724 MHz	 15.6 V/m	 -8.7 dBm	OK	IP0: 28582	(11.15 V/m)	Digital: 0XFF
