05/12/2017 15:58:56	    80.000 MHz	   16.62 V/m	 -8.9 dBm	OK	IP0: 30016	(10.75 V/m)	Digital: 0XFF
05/12/2017 15:58:59	    80.400 MHz	   16.62 V/m	 -8.1 dBm	OK	IP0: 30270	(11.52 V/m)	Digital: 0XFF
05/12/2017 15:59:03	    80.802 MHz	   16.62 V/m	 -8.1 dBm	OK	IP0: 30206	(11.56 V/m)	Digital: 0XFF
05/12/2017 15:59:07	    81.206 MHz	   16.62 V/m	 -8.3 dBm	OK	IP0: 30106	(11.45 V/m)	Digital: 0XFF
05/12/2017 15:59:11	    81.612 MHz	   16.62 V/m	 -8.2 dBm	OK	IP0: 30077	(11.55 V/m)	Digital: 0XFF
05/12/2017 15:59:15	    82.020 MHz	   16.62 V/m	 -8.4 dBm	OK	IP0: 29942	(11.47 V/m)	Digital: 0XFF
05/12/2017 15:59:19	    82.430 MHz	   16.62 V/m	 -8.5 dBm	OK	IP0: 29818	(11.46 V/m)	Digital: 0XFF
05/12/2017 15:59:23	    82.842 MHz	   16.62 V/m	 -8.4 dBm	OK	IP0: 29826	(11.60 V/m)	Digital: 0XFF
05/12/2017 15:59:27	    83.257 MHz	   16.62 V/m	 -8.6 dBm	OK	IP0: 29705	(11.51 V/m)	Digital: 0XFF
05/12/2017 15:59:31	    83.673 MHz	   16.62 V/m	 -8.8 dBm	OK	IP0: 29579	(11.49 V/m)	Digital: 0XFF
05/12/2017 15:59:35	    84.091 MHz	   16.62 V/m	 -8.8 dBm	OK	IP0: 29505	(11.43 V/m)	Digital: 0XFF
05/12/2017 15:59:39	    84.512 MHz	   16.62 V/m	 -8.8 dBm	OK	IP0: 29437	(11.41 V/m)	Digital: 0XFF
05/12/2017 15:59:43	    84.934 MHz	   16.62 V/m	 -8.7 dBm	OK	IP0: 29420	(11.60 V/m)	Digital: 0XFF
05/12/2017 15:59:47	    85.359 MHz	   16.62 V/m	 -8.7 dBm	OK	IP0: 29273	(11.41 V/m)	Digital: 0XFF
05/12/2017 15:59:51	    85.786 MHz	   16.62 V/m	 -8.5 dBm	OK	IP0: 29307	(11.53 V/m)	Digital: 0XFF
05/12/2017 15:59:55	    86.215 MHz	   16.62 V/m	 -8.3 dBm	OK	IP0: 29260	(11.56 V/m)	Digital: 0XFF
05/12/2017 15:59:59	    86.646 MHz	   16.62 V/m	 -8.2 dBm	OK	IP0: 29201	(11.60 V/m)	Digital: 0XFF
