16/11/2015 16:35:13	    25.000 MHz	  4.7 V/m	-22.4 dBm	OK
16/11/2015 16:35:17	    25.125 MHz	  4.7 V/m	-22.6 dBm	OK
16/11/2015 16:35:21	    25.251 MHz	  4.7 V/m	-22.8 dBm	OK
16/11/2015 16:35:25	    25.377 MHz	  4.7 V/m	-23.0 dBm	OK
16/11/2015 16:35:29	    25.504 MHz	  4.7 V/m	-23.2 dBm	OK
16/11/2015 16:35:33	    25.631 MHz	  4.7 V/m	-23.5 dBm	OK
16/11/2015 16:35:37	    25.759 MHz	  4.7 V/m	-23.8 dBm	OK
16/11/2015 16:35:41	    25.888 MHz	  4.7 V/m	-24.1 dBm	OK
16/11/2015 16:35:45	    26.018 MHz	  4.7 V/m	-24.3 dBm	OK
16/11/2015 16:35:49	    26.148 MHz	  4.7 V/m	-24.6 dBm	OK
16/11/2015 16:35:53	    26.279 MHz	  4.7 V/m	-24.8 dBm	OK
16/11/2015 16:35:56	    26.410 MHz	  4.7 V/m	-24.8 dBm	OK
16/11/2015 16:35:59	    26.542 MHz	  4.7 V/m	-24.8 dBm	OK
16/11/2015 16:36:03	    26.675 MHz	  4.5 V/m	-24.8 dBm	OK
16/11/2015 16:36:06	    26.808 MHz	  4.5 V/m	-24.8 dBm	OK
16/11/2015 16:36:09	    26.942 MHz	  4.3 V/m	-24.8 dBm	OK
16/11/2015 16:36:13	    27.077 MHz	  4.3 V/m	-24.4 dBm	OK
16/11/2015 16:36:17	    27.212 MHz	  4.3 V/m	-24.0 dBm	OK
16/11/2015 16:36:21	    27.348 MHz	  4.3 V/m	-23.6 dBm	OK
16/11/2015 16:36:25	    27.485 MHz	  4.3 V/m	-23.2 dBm	OK
16/11/2015 16:36:29	    27.622 MHz	  4.3 V/m	-22.8 dBm	OK
16/11/2015 16:36:32	    27.761 MHz	  4.3 V/m	-22.8 dBm	OK
16/11/2015 16:36:36	    27.899 MHz	  4.3 V/m	-22.6 dBm	OK
16/11/2015 16:36:40	    28.039 MHz	  4.3 V/m	-22.2 dBm	OK
16/11/2015 16:36:43	    28.179 MHz	  4.3 V/m	-22.2 dBm	OK
16/11/2015 16:36:46	    28.320 MHz	  4.3 V/m	-22.2 dBm	OK
16/11/2015 16:36:49	    28.461 MHz	  4.3 V/m	-22.2 dBm	OK
16/11/2015 16:36:53	    28.604 MHz	  4.3 V/m	-22.2 dBm	OK
16/11/2015 16:36:56	    28.747 MHz	  4.3 V/m	-22.2 dBm	OK
16/11/2015 16:36:59	    28.891 MHz	  4.3 V/m	-22.2 dBm	OK
16/11/2015 16:37:03	    29.035 MHz	  4.5 V/m	-22.2 dBm	OK
16/11/2015 16:37:06	    29.180 MHz	  4.5 V/m	-22.2 dBm	OK
16/11/2015 16:37:10	    29.326 MHz	  4.7 V/m	-22.3 dBm	OK
16/11/2015 16:37:14	    29.473 MHz	  4.7 V/m	-22.5 dBm	OK
16/11/2015 16:37:18	    29.620 MHz	  4.7 V/m	-22.9 dBm	OK
16/11/2015 16:37:22	    29.768 MHz	  4.7 V/m	-23.0 dBm	OK
16/11/2015 16:37:26	    29.917 MHz	  4.7 V/m	-23.1 dBm	OK
16/11/2015 16:37:29	    30.067 MHz	  4.7 V/m	-23.1 dBm	OK
16/11/2015 16:37:32	    30.217 MHz	  4.7 V/m	-23.1 dBm	OK
16/11/2015 16:37:36	    30.368 MHz	  4.5 V/m	-23.1 dBm	OK
16/11/2015 16:37:39	    30.520 MHz	  4.3 V/m	-23.1 dBm	OK
16/11/2015 16:37:43	    30.672 MHz	  4.3 V/m	-22.7 dBm	OK
16/11/2015 16:37:47	    30.826 MHz	  4.3 V/m	-22.3 dBm	OK
