16/11/2015 14:43:12	    80.000 MHz	 13.9 V/m	 -8.8 dBm	OK	IP0: 30115	(10.86 V/m)	Digital: 0XFF
16/11/2015 14:43:18	    80.400 MHz	 14.1 V/m	 -8.8 dBm	OK	IP0: 30104	(11.12 V/m)	Digital: 0XFF
16/11/2015 14:43:24	    80.802 MHz	 14.0 V/m	 -8.9 dBm	OK	IP0: 29993	(11.14 V/m)	Digital: 0XFF
16/11/2015 14:43:30	    81.206 MHz	 13.9 V/m	 -9.0 dBm	OK	IP0: 29948	(11.12 V/m)	Digital: 0XFF
16/11/2015 14:43:36	    81.612 MHz	 13.7 V/m	 -9.1 dBm	OK	IP0: 29881	(11.17 V/m)	Digital: 0XFF
16/11/2015 14:43:42	    82.020 MHz	 13.5 V/m	 -9.2 dBm	OK	IP0: 29752	(11.15 V/m)	Digital: 0XFF
16/11/2015 14:43:48	    82.430 MHz	 13.4 V/m	 -9.2 dBm	OK	IP0: 29708	(11.13 V/m)	Digital: 0XFF
16/11/2015 14:43:54	    82.842 MHz	 13.3 V/m	 -9.3 dBm	OK	IP0: 29627	(11.17 V/m)	Digital: 0XFF
16/11/2015 14:44:00	    83.257 MHz	 13.2 V/m	 -9.5 dBm	OK	IP0: 29499	(11.15 V/m)	Digital: 0XFF
16/11/2015 14:44:06	    83.673 MHz	 13.2 V/m	 -9.5 dBm	OK	IP0: 29456	(11.15 V/m)	Digital: 0XFF
16/11/2015 14:44:12	    84.091 MHz	 13.0 V/m	 -9.7 dBm	OK	IP0: 29356	(11.19 V/m)	Digital: 0XFF
16/11/2015 14:44:18	    84.512 MHz	 13.0 V/m	 -9.7 dBm	OK	IP0: 29280	(11.13 V/m)	Digital: 0XFF
16/11/2015 14:44:23	    84.934 MHz	 13.4 V/m	 -9.8 dBm	OK	IP0: 29270	(11.14 V/m)	Digital: 0XFF
16/11/2015 14:44:29	    85.359 MHz	 13.1 V/m	 -9.8 dBm	OK	IP0: 29171	(11.14 V/m)	Digital: 0XFF
16/11/2015 14:44:35	    85.786 MHz	 13.1 V/m	 -9.8 dBm	OK	IP0: 29115	(11.09 V/m)	Digital: 0XFF
16/11/2015 14:44:41	    86.215 MHz	 13.1 V/m	 -9.8 dBm	OK	IP0: 29089	(11.12 V/m)	Digital: 0XFF
16/11/2015 14:44:47	    86.646 MHz	 13.1 V/m	 -9.9 dBm	OK	IP0: 28994	(11.13 V/m)	Digital: 0XFF
16/11/2015 14:44:52	    87.079 MHz	 13.5 V/m	 -9.8 dBm	OK	IP0: 28950	(11.10 V/m)	Digital: 0XFF
16/11/2015 14:44:58	    87.514 MHz	 13.2 V/m	 -9.8 dBm	OK	IP0: 28913	(11.12 V/m)	Digital: 0XFF
16/11/2015 14:45:04	    87.952 MHz	 13.2 V/m	 -9.8 dBm	OK	IP0: 28825	(11.09 V/m)	Digital: 0XFF
16/11/2015 14:45:10	    88.392 MHz	 13.3 V/m	 -9.7 dBm	OK	IP0: 28790	(11.13 V/m)	Digital: 0XFF
16/11/2015 14:45:16	    88.834 MHz	 13.3 V/m	 -9.8 dBm	OK	IP0: 28705	(11.08 V/m)	Digital: 0XFF
16/11/2015 14:45:22	    89.278 MHz	 13.4 V/m	 -9.8 dBm	OK	IP0: 28648	(11.11 V/m)	Digital: 0XFF
16/11/2015 14:45:27	    89.724 MHz	 13.8 V/m	 -9.8 dBm	OK	IP0: 28584	(11.10 V/m)	Digital: 0XFF
16/11/2015 14:45:32	    90.173 MHz	 14.2 V/m	 -9.8 dBm	OK	IP0: 28501	(11.13 V/m)	Digital: 0XFF
16/11/2015 14:45:38	    90.624 MHz	 14.1 V/m	 -9.7 dBm	OK	IP0: 28500	(11.20 V/m)	Digital: 0XFF
16/11/2015 14:45:43	    91.077 MHz	 14.8 V/m	 -9.8 dBm	OK	IP0: 28358	(11.13 V/m)	Digital: 0XFF
16/11/2015 14:45:49	    91.532 MHz	 15.1 V/m	 -9.7 dBm	OK	IP0: 28358	(11.18 V/m)	Digital: 0XFF
16/11/2015 14:45:55	    91.990 MHz	 15.5 V/m	 -9.8 dBm	OK	IP0: 28192	(11.11 V/m)	Digital: 0XFF
16/11/2015 14:46:01	    92.450 MHz	 16.5 V/m	 -9.5 dBm	OK	IP0: 28322	(11.14 V/m)	Digital: 0XFF
16/11/2015 14:46:07	    92.912 MHz	 17.0 V/m	 -9.4 dBm	OK	IP0: 28366	(11.17 V/m)	Digital: 0XFF
16/11/2015 14:46:13	    93.377 MHz	 17.0 V/m	 -9.2 dBm	OK	IP0: 28411	(11.20 V/m)	Digital: 0XFF
16/11/2015 14:46:19	    93.843 MHz	 16.7 V/m	 -9.1 dBm	OK	IP0: 28530	(11.20 V/m)	Digital: 0XFF
16/11/2015 14:46:25	    94.313 MHz	 16.1 V/m	 -9.1 dBm	OK	IP0: 28502	(11.11 V/m)	Digital: 0XFF
16/11/2015 14:46:31	    94.784 MHz	 15.8 V/m	 -9.0 dBm	OK	IP0: 28554	(11.11 V/m)	Digital: 0XFF
16/11/2015 14:46:37	    95.258 MHz	 15.7 V/m	 -8.7 dBm	OK	IP0: 28697	(11.17 V/m)	Digital: 0XFF
16/11/2015 14:46:43	    95.734 MHz	 15.4 V/m	 -8.6 dBm	OK	IP0: 28734	(11.20 V/m)	Digital: 0XFF
16/11/2015 14:46:49	    96.213 MHz	 15.1 V/m	 -8.6 dBm	OK	IP0: 28751	(11.13 V/m)	Digital: 0XFF
16/11/2015 14:46:55	    96.694 MHz	 15.1 V/m	 -8.4 dBm	OK	IP0: 28893	(11.18 V/m)	Digital: 0XFF
16/11/2015 14:47:01	    97.178 MHz	 14.7 V/m	 -8.5 dBm	OK	IP0: 28897	(11.11 V/m)	Digital: 0XFF
16/11/2015 14:47:07	    97.664 MHz	 14.5 V/m	 -8.5 dBm	OK	IP0: 28930	(11.12 V/m)	Digital: 0XFF
16/11/2015 14:47:13	    98.152 MHz	 14.4 V/m	 -8.4 dBm	OK	IP0: 29010	(11.15 V/m)	Digital: 0XFF
16/11/2015 14:47:19	    98.643 MHz	 14.3 V/m	 -8.3 dBm	OK	IP0: 29106	(11.13 V/m)	Digital: 0XFF
16/11/2015 14:47:24	    99.136 MHz	 14.6 V/m	 -8.4 dBm	OK	IP0: 29135	(11.15 V/m)	Digital: 0XFF
16/11/2015 14:47:30	    99.632 MHz	 14.0 V/m	 -8.3 dBm	OK	IP0: 29201	(11.11 V/m)	Digital: 0XFF
16/11/2015 14:47:36	   100.130 MHz	 13.7 V/m	 -8.3 dBm	OK	IP0: 29253	(11.16 V/m)	Digital: 0XFF
16/11/2015 14:47:42	   100.630 MHz	 13.3 V/m	 -8.5 dBm	OK	IP0: 29183	(11.17 V/m)	Digital: 0XFF
16/11/2015 14:47:48	   101.133 MHz	 12.8 V/m	 -8.7 dBm	OK	IP0: 29171	(11.16 V/m)	Digital: 0XFF
16/11/2015 14:47:54	   101.639 MHz	 12.2 V/m	 -8.9 dBm	OK	IP0: 29106	(11.20 V/m)	Digital: 0XFF
16/11/2015 14:48:00	   102.147 MHz	 11.8 V/m	 -9.1 dBm	OK	IP0: 29045	(11.18 V/m)	Digital: 0XFF
16/11/2015 14:48:06	   102.658 MHz	 11.2 V/m	 -9.4 dBm	OK	IP0: 28996	(11.10 V/m)	Digital: 0XFF
16/11/2015 14:48:12	   103.171 MHz	 10.8 V/m	 -9.6 dBm	OK	IP0: 28939	(11.19 V/m)	Digital: 0XFF
