27/11/2015 10:46:52	    80.000 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 30048	(10.74 V/m)	Digital: 0XFF
27/11/2015 10:46:58	    80.400 MHz	 -1.0 V/m	 -8.3 dBm	OK	IP0: 30219	(11.50 V/m)	Digital: 0XFF
27/11/2015 10:47:02	    80.802 MHz	 -1.0 V/m	 -8.2 dBm	OK	IP0: 30195	(11.59 V/m)	Digital: 0XFF
27/11/2015 10:47:06	    81.206 MHz	 -1.0 V/m	 -8.4 dBm	OK	IP0: 30079	(11.47 V/m)	Digital: 0XFF
27/11/2015 10:47:10	    81.612 MHz	 -1.0 V/m	 -8.5 dBm	OK	IP0: 30001	(11.44 V/m)	Digital: 0XFF
27/11/2015 10:47:14	    82.020 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 29915	(11.44 V/m)	Digital: 0XFF
27/11/2015 10:47:18	    82.430 MHz	 -1.0 V/m	 -8.7 dBm	OK	IP0: 29834	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:47:22	    82.842 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29740	(11.47 V/m)	Digital: 0XFF
27/11/2015 10:47:26	    83.257 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 29646	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:47:30	    83.673 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 29550	(11.46 V/m)	Digital: 0XFF
27/11/2015 10:47:34	    84.091 MHz	 -1.0 V/m	 -9.1 dBm	OK	IP0: 29466	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:47:38	    84.512 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 29470	(11.58 V/m)	Digital: 0XFF
27/11/2015 10:47:42	    84.934 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 29362	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:47:46	    85.359 MHz	 -1.0 V/m	 -8.7 dBm	OK	IP0: 29359	(11.59 V/m)	Digital: 0XFF
27/11/2015 10:47:50	    85.786 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29242	(11.44 V/m)	Digital: 0XFF
27/11/2015 10:47:54	    86.215 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 29237	(11.57 V/m)	Digital: 0XFF
27/11/2015 10:47:58	    86.646 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 29116	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:48:02	    87.079 MHz	 -1.0 V/m	 -8.4 dBm	OK	IP0: 29129	(11.60 V/m)	Digital: 0XFF
27/11/2015 10:48:06	    87.514 MHz	 -1.0 V/m	 -8.5 dBm	OK	IP0: 29031	(11.47 V/m)	Digital: 0XFF
27/11/2015 10:48:10	    87.952 MHz	 -1.0 V/m	 -8.5 dBm	OK	IP0: 28973	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:48:14	    88.392 MHz	 -1.0 V/m	 -8.5 dBm	OK	IP0: 28914	(11.44 V/m)	Digital: 0XFF
27/11/2015 10:48:18	    88.834 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 28861	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:48:22	    89.278 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 28795	(11.44 V/m)	Digital: 0XFF
27/11/2015 10:48:26	    89.724 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 28735	(11.44 V/m)	Digital: 0XFF
27/11/2015 10:48:30	    90.173 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 28666	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:48:34	    90.624 MHz	 -1.0 V/m	 -9.1 dBm	OK	IP0: 28596	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:48:38	    91.077 MHz	 -1.0 V/m	 -9.2 dBm	OK	IP0: 28519	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:48:42	    91.532 MHz	 -1.0 V/m	 -9.2 dBm	OK	IP0: 28544	(11.60 V/m)	Digital: 0XFF
27/11/2015 10:48:46	    91.990 MHz	 -1.0 V/m	 -9.5 dBm	OK	IP0: 28384	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:48:50	    92.450 MHz	 -1.0 V/m	 -9.3 dBm	OK	IP0: 28488	(11.52 V/m)	Digital: 0XFF
27/11/2015 10:48:54	    92.912 MHz	 -1.0 V/m	 -9.2 dBm	OK	IP0: 28561	(11.54 V/m)	Digital: 0XFF
27/11/2015 10:48:58	    93.377 MHz	 -1.0 V/m	 -9.1 dBm	OK	IP0: 28612	(11.54 V/m)	Digital: 0XFF
27/11/2015 10:49:02	    93.843 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 28689	(11.55 V/m)	Digital: 0XFF
27/11/2015 10:49:06	    94.313 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 28759	(11.58 V/m)	Digital: 0XFF
27/11/2015 10:49:10	    94.784 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 28834	(11.58 V/m)	Digital: 0XFF
27/11/2015 10:49:14	    95.258 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 28906	(11.59 V/m)	Digital: 0XFF
27/11/2015 10:49:18	    95.734 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 28876	(11.41 V/m)	Digital: 0XFF
27/11/2015 10:49:22	    96.213 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29005	(11.57 V/m)	Digital: 0XFF
27/11/2015 10:49:26	    96.694 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 28992	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:49:30	    97.178 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29119	(11.57 V/m)	Digital: 0XFF
27/11/2015 10:49:34	    97.664 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 29102	(11.43 V/m)	Digital: 0XFF
27/11/2015 10:49:38	    98.152 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29234	(11.57 V/m)	Digital: 0XFF
27/11/2015 10:49:42	    98.643 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 29216	(11.41 V/m)	Digital: 0XFF
27/11/2015 10:49:46	    99.136 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29354	(11.56 V/m)	Digital: 0XFF
27/11/2015 10:49:50	    99.632 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29444	(11.60 V/m)	Digital: 0XFF
27/11/2015 10:49:54	   100.130 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 29416	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:49:58	   100.630 MHz	 -1.0 V/m	 -9.2 dBm	OK	IP0: 29357	(11.46 V/m)	Digital: 0XFF
27/11/2015 10:50:02	   101.133 MHz	 -1.0 V/m	 -9.4 dBm	OK	IP0: 29300	(11.47 V/m)	Digital: 0XFF
27/11/2015 10:50:06	   101.639 MHz	 -1.0 V/m	 -9.6 dBm	OK	IP0: 29238	(11.48 V/m)	Digital: 0XFF
27/11/2015 10:50:10	   102.147 MHz	 -1.0 V/m	 -9.7 dBm	OK	IP0: 29183	(11.48 V/m)	Digital: 0XFF
27/11/2015 10:50:14	   102.658 MHz	 -1.0 V/m	 -9.9 dBm	OK	IP0: 29146	(11.47 V/m)	Digital: 0XFF
27/11/2015 10:50:18	   103.171 MHz	 -1.0 V/m	-10.1 dBm	OK	IP0: 29114	(11.51 V/m)	Digital: 0XFF
27/11/2015 10:50:22	   103.687 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 29052	(11.53 V/m)	Digital: 0XFF
27/11/2015 10:50:26	   104.206 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28993	(11.51 V/m)	Digital: 0XFF
27/11/2015 10:50:30	   104.727 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28976	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:50:34	   105.250 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28971	(11.45 V/m)	Digital: 0XFF
27/11/2015 10:50:38	   105.777 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28982	(11.44 V/m)	Digital: 0XFF
