17/11/2015 13:07:34	     0.150 MHz	 10.5 V/m	-11.8 dBm	FAIL (LIMIT)
17/11/2015 13:07:37	     0.160 MHz	  8.2 V/m	-12.0 dBm	FAIL (LIMIT)
17/11/2015 13:07:41	     0.170 MHz	  9.9 V/m	-12.1 dBm	FAIL (LIMIT)
17/11/2015 13:07:44	     0.180 MHz	 10.0 V/m	-12.3 dBm	FAIL (LIMIT)
17/11/2015 13:07:48	     0.190 MHz	 10.5 V/m	-12.4 dBm	FAIL (LIMIT)
17/11/2015 13:07:55	     0.200 MHz	 11.0 V/m	-12.4 dBm	OK
17/11/2015 13:07:55	     0.210 MHz	 11.0 V/m	-12.6 dBm	FAIL (LIMIT)
17/11/2015 13:08:02	     0.220 MHz	 11.2 V/m	-12.8 dBm	OK
17/11/2015 13:08:06	     0.230 MHz	 11.0 V/m	-13.1 dBm	OK
17/11/2015 13:08:10	     0.240 MHz	 11.2 V/m	-13.2 dBm	OK
17/11/2015 13:08:14	     0.250 MHz	 11.2 V/m	-13.4 dBm	OK
17/11/2015 13:08:18	     0.260 MHz	 11.2 V/m	-13.6 dBm	OK
17/11/2015 13:08:22	     0.270 MHz	 11.2 V/m	-13.7 dBm	OK
17/11/2015 13:08:26	     0.280 MHz	 11.2 V/m	-13.9 dBm	OK
17/11/2015 13:08:30	     0.290 MHz	 11.2 V/m	-14.0 dBm	OK
17/11/2015 13:08:34	     0.300 MHz	 11.2 V/m	-14.2 dBm	OK
17/11/2015 13:08:37	     0.310 MHz	 11.2 V/m	-14.2 dBm	OK
17/11/2015 13:08:41	     0.320 MHz	 11.2 V/m	-14.3 dBm	OK
17/11/2015 13:08:45	     0.330 MHz	 11.2 V/m	-14.5 dBm	OK
17/11/2015 13:08:48	     0.340 MHz	 11.2 V/m	-14.5 dBm	OK
17/11/2015 13:08:52	     0.350 MHz	 11.2 V/m	-14.7 dBm	OK
17/11/2015 13:08:55	     0.360 MHz	 11.2 V/m	-14.7 dBm	OK
17/11/2015 13:08:59	     0.370 MHz	 11.2 V/m	-14.9 dBm	OK
17/11/2015 13:09:02	     0.380 MHz	 11.2 V/m	-14.9 dBm	OK
