17/11/2015 11:22:28	  1000.000 MHz	  0.0 V/m	-11.2 dBm	OK	IP0: 27853	(11.00 V/m)	Digital: 0XFF
17/11/2015 11:22:32	  1005.000 MHz	  0.0 V/m	-11.3 dBm	OK	IP0: 27711	(11.10 V/m)	Digital: 0XFF
17/11/2015 11:22:36	  1010.025 MHz	  0.0 V/m	-10.9 dBm	OK	IP0: 27854	(11.10 V/m)	Digital: 0XFF
17/11/2015 11:22:40	  1015.075 MHz	  0.0 V/m	 -9.4 dBm	OK	IP0: 28889	(10.82 V/m)	Digital: 0XFF
17/11/2015 11:22:44	  1020.151 MHz	  0.0 V/m	 -8.2 dBm	OK	IP0: 29563	(10.83 V/m)	Digital: 0XFF
17/11/2015 11:22:48	  1025.251 MHz	  0.0 V/m	 -7.5 dBm	OK	IP0: 29904	(11.09 V/m)	Digital: 0XFF
17/11/2015 11:22:53	  1030.378 MHz	  0.0 V/m	 -8.8 dBm	OK	IP0: 29121	(11.20 V/m)	Digital: 0XFF
17/11/2015 11:22:58	  1035.529 MHz	  0.0 V/m	 -9.6 dBm	OK	IP0: 28604	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:23:02	  1040.707 MHz	  0.0 V/m	-10.1 dBm	OK	IP0: 28345	(11.20 V/m)	Digital: 0XFF
17/11/2015 11:23:06	  1045.911 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28323	(11.15 V/m)	Digital: 0XFF
17/11/2015 11:23:10	  1051.140 MHz	  0.0 V/m	-10.0 dBm	OK	IP0: 28498	(11.16 V/m)	Digital: 0XFF
17/11/2015 11:23:14	  1056.396 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 28794	(11.16 V/m)	Digital: 0XFF
17/11/2015 11:23:18	  1061.678 MHz	  0.0 V/m	 -8.7 dBm	OK	IP0: 29093	(11.17 V/m)	Digital: 0XFF
17/11/2015 11:23:23	  1066.986 MHz	  0.0 V/m	 -9.5 dBm	OK	IP0: 28708	(11.11 V/m)	Digital: 0XFF
17/11/2015 11:23:28	  1072.321 MHz	  0.0 V/m	-11.0 dBm	OK	IP0: 27906	(11.16 V/m)	Digital: 0XFF
17/11/2015 11:23:32	  1077.683 MHz	  0.0 V/m	 -9.6 dBm	OK	IP0: 28795	(10.85 V/m)	Digital: 0XFF
17/11/2015 11:23:36	  1083.071 MHz	  0.0 V/m	 -8.1 dBm	OK	IP0: 29561	(10.95 V/m)	Digital: 0XFF
17/11/2015 11:23:39	  1088.487 MHz	  0.0 V/m	 -7.1 dBm	OK	IP0: 30118	(10.95 V/m)	Digital: 0XFF
17/11/2015 11:23:44	  1093.929 MHz	  0.0 V/m	 -8.1 dBm	OK	IP0: 29518	(11.16 V/m)	Digital: 0XFF
17/11/2015 11:23:49	  1099.399 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 28838	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:23:54	  1104.896 MHz	  0.0 V/m	-10.1 dBm	OK	IP0: 28292	(11.14 V/m)	Digital: 0XFF
17/11/2015 11:23:58	  1110.420 MHz	  0.0 V/m	-10.2 dBm	OK	IP0: 28316	(11.16 V/m)	Digital: 0XFF
17/11/2015 11:24:02	  1115.972 MHz	  0.0 V/m	 -9.9 dBm	OK	IP0: 28579	(11.18 V/m)	Digital: 0XFF
17/11/2015 11:24:06	  1121.552 MHz	  0.0 V/m	 -9.6 dBm	OK	IP0: 28897	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:24:10	  1127.160 MHz	  0.0 V/m	 -9.0 dBm	OK	IP0: 29228	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:24:13	  1132.796 MHz	  0.0 V/m	 -8.0 dBm	OK	IP0: 29674	(10.82 V/m)	Digital: 0XFF
17/11/2015 11:24:17	  1138.460 MHz	  0.0 V/m	 -8.2 dBm	OK	IP0: 29501	(11.17 V/m)	Digital: 0XFF
