17/11/2015 10:35:53	   253.000 MHz	  0.0 V/m	-11.8 dBm	OK	IP0: 25555	(11.06 V/m)	Digital: 0XFF
17/11/2015 10:35:57	   254.265 MHz	  0.0 V/m	-12.5 dBm	OK	IP0: 24869	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:36:01	   255.536 MHz	  0.0 V/m	-12.9 dBm	OK	IP0: 24338	(11.11 V/m)	Digital: 0XFF
17/11/2015 10:36:05	   256.814 MHz	  0.0 V/m	-13.1 dBm	OK	IP0: 24179	(11.19 V/m)	Digital: 0XFF
17/11/2015 10:36:09	   258.098 MHz	  0.0 V/m	-13.6 dBm	OK	IP0: 24077	(11.10 V/m)	Digital: 0XFF
17/11/2015 10:36:13	   259.389 MHz	  0.0 V/m	-13.9 dBm	OK	IP0: 24095	(11.20 V/m)	Digital: 0XFF
17/11/2015 10:36:17	   260.686 MHz	  0.0 V/m	-14.0 dBm	OK	IP0: 23960	(11.16 V/m)	Digital: 0XFF
17/11/2015 10:36:21	   261.989 MHz	  0.0 V/m	-14.1 dBm	OK	IP0: 23764	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:36:25	   263.299 MHz	  0.0 V/m	-14.2 dBm	OK	IP0: 23588	(11.15 V/m)	Digital: 0XFF
17/11/2015 10:36:29	   264.615 MHz	  0.0 V/m	-14.5 dBm	OK	IP0: 23411	(11.20 V/m)	Digital: 0XFF
17/11/2015 10:36:33	   265.938 MHz	  0.0 V/m	-15.3 dBm	OK	IP0: 23118	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:36:37	   267.268 MHz	  0.0 V/m	-15.8 dBm	OK	IP0: 22922	(11.19 V/m)	Digital: 0XFF
17/11/2015 10:36:41	   268.604 MHz	  0.0 V/m	-15.8 dBm	OK	IP0: 22831	(11.11 V/m)	Digital: 0XFF
17/11/2015 10:36:45	   269.948 MHz	  0.0 V/m	-15.3 dBm	OK	IP0: 23072	(11.19 V/m)	Digital: 0XFF
17/11/2015 10:36:49	   271.297 MHz	  0.0 V/m	-14.9 dBm	OK	IP0: 23285	(11.17 V/m)	Digital: 0XFF
17/11/2015 10:36:53	   272.654 MHz	  0.0 V/m	-15.0 dBm	OK	IP0: 23346	(11.11 V/m)	Digital: 0XFF
17/11/2015 10:36:57	   274.017 MHz	  0.0 V/m	-15.2 dBm	OK	IP0: 23371	(11.17 V/m)	Digital: 0XFF
17/11/2015 10:37:01	   275.387 MHz	  0.0 V/m	-15.2 dBm	OK	IP0: 23363	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:37:05	   276.764 MHz	  0.0 V/m	-14.8 dBm	OK	IP0: 23532	(11.16 V/m)	Digital: 0XFF
17/11/2015 10:37:09	   278.148 MHz	  0.0 V/m	-14.3 dBm	OK	IP0: 23774	(11.15 V/m)	Digital: 0XFF
17/11/2015 10:37:13	   279.539 MHz	  0.0 V/m	-14.1 dBm	OK	IP0: 23984	(11.10 V/m)	Digital: 0XFF
17/11/2015 10:37:17	   280.936 MHz	  0.0 V/m	-14.1 dBm	OK	IP0: 24110	(11.15 V/m)	Digital: 0XFF
17/11/2015 10:37:21	   282.341 MHz	  0.0 V/m	-14.2 dBm	OK	IP0: 24103	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:37:25	   283.753 MHz	  0.0 V/m	-14.1 dBm	OK	IP0: 24089	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:37:29	   285.171 MHz	  0.0 V/m	-14.0 dBm	OK	IP0: 24089	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:37:33	   286.597 MHz	  0.0 V/m	-14.0 dBm	OK	IP0: 24102	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:37:37	   288.030 MHz	  0.0 V/m	-14.2 dBm	OK	IP0: 24122	(11.16 V/m)	Digital: 0XFF
17/11/2015 10:37:41	   289.470 MHz	  0.0 V/m	-14.4 dBm	OK	IP0: 24120	(11.16 V/m)	Digital: 0XFF
17/11/2015 10:37:45	   290.918 MHz	  0.0 V/m	-14.4 dBm	OK	IP0: 24103	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:37:49	   292.372 MHz	  0.0 V/m	-14.3 dBm	OK	IP0: 24145	(11.13 V/m)	Digital: 0XFF
17/11/2015 10:37:53	   293.834 MHz	  0.0 V/m	-13.8 dBm	OK	IP0: 24425	(11.18 V/m)	Digital: 0XFF
17/11/2015 10:37:57	   295.303 MHz	  0.0 V/m	-13.7 dBm	OK	IP0: 24640	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:38:01	   296.780 MHz	  0.0 V/m	-14.0 dBm	OK	IP0: 24625	(11.10 V/m)	Digital: 0XFF
17/11/2015 10:38:05	   298.264 MHz	  0.0 V/m	-14.3 dBm	OK	IP0: 24412	(11.10 V/m)	Digital: 0XFF
17/11/2015 10:38:09	   299.755 MHz	  0.0 V/m	-14.2 dBm	OK	IP0: 24236	(11.15 V/m)	Digital: 0XFF
17/11/2015 10:38:13	   301.254 MHz	  0.0 V/m	-13.9 dBm	OK	IP0: 24381	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:38:17	   302.760 MHz	  0.0 V/m	-13.7 dBm	OK	IP0: 24667	(11.17 V/m)	Digital: 0XFF
17/11/2015 10:38:21	   304.274 MHz	  0.0 V/m	-13.7 dBm	OK	IP0: 24834	(11.08 V/m)	Digital: 0XFF
17/11/2015 10:38:25	   305.795 MHz	  0.0 V/m	-13.4 dBm	OK	IP0: 24863	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:38:29	   307.324 MHz	  0.0 V/m	-13.1 dBm	OK	IP0: 24860	(11.15 V/m)	Digital: 0XFF
17/11/2015 10:38:33	   308.861 MHz	  0.0 V/m	-12.9 dBm	OK	IP0: 24994	(11.19 V/m)	Digital: 0XFF
17/11/2015 10:38:37	   310.405 MHz	  0.0 V/m	-12.8 dBm	OK	IP0: 25217	(11.19 V/m)	Digital: 0XFF
17/11/2015 10:38:41	   311.957 MHz	  0.0 V/m	-12.6 dBm	OK	IP0: 25401	(11.15 V/m)	Digital: 0XFF
17/11/2015 10:38:45	   313.517 MHz	  0.0 V/m	-12.7 dBm	OK	IP0: 25181	(11.19 V/m)	Digital: 0XFF
17/11/2015 10:38:49	   315.085 MHz	  0.0 V/m	-13.1 dBm	OK	IP0: 24864	(11.11 V/m)	Digital: 0XFF
17/11/2015 10:38:53	   316.660 MHz	  0.0 V/m	-13.5 dBm	OK	IP0: 24731	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:38:57	   318.243 MHz	  0.0 V/m	-13.7 dBm	OK	IP0: 24771	(11.11 V/m)	Digital: 0XFF
17/11/2015 10:39:01	   319.835 MHz	  0.0 V/m	-13.4 dBm	OK	IP0: 24849	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:39:05	   321.434 MHz	  0.0 V/m	-13.1 dBm	OK	IP0: 24796	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:39:09	   323.041 MHz	  0.0 V/m	-13.2 dBm	OK	IP0: 24772	(11.18 V/m)	Digital: 0XFF
17/11/2015 10:39:13	   324.656 MHz	  0.0 V/m	-13.3 dBm	OK	IP0: 24863	(11.19 V/m)	Digital: 0XFF
17/11/2015 10:39:17	   326.279 MHz	  0.0 V/m	-12.9 dBm	OK	IP0: 25084	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:39:21	   327.911 MHz	  0.0 V/m	-12.1 dBm	OK	IP0: 25401	(11.17 V/m)	Digital: 0XFF
17/11/2015 10:39:25	   329.550 MHz	  0.0 V/m	-11.8 dBm	OK	IP0: 25446	(11.15 V/m)	Digital: 0XFF
17/11/2015 10:39:29	   331.198 MHz	  0.0 V/m	-11.9 dBm	OK	IP0: 25509	(11.14 V/m)	Digital: 0XFF
17/11/2015 10:39:33	   332.854 MHz	  0.0 V/m	-11.7 dBm	OK	IP0: 25761	(11.10 V/m)	Digital: 0XFF
17/11/2015 10:39:36	   334.518 MHz	  0.0 V/m	-10.7 dBm	OK	IP0: 26282	(11.01 V/m)	Digital: 0XFF
17/11/2015 10:39:39	   336.191 MHz	  0.0 V/m	 -9.7 dBm	OK	IP0: 26684	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:39:43	   337.872 MHz	  0.0 V/m	-10.1 dBm	OK	IP0: 26441	(11.19 V/m)	Digital: 0XFF
17/11/2015 10:39:47	   339.561 MHz	  0.0 V/m	-10.9 dBm	OK	IP0: 26148	(11.13 V/m)	Digital: 0XFF
17/11/2015 10:39:51	   341.259 MHz	  0.0 V/m	-11.4 dBm	OK	IP0: 26068	(11.10 V/m)	Digital: 0XFF
17/11/2015 10:39:55	   342.965 MHz	  0.0 V/m	-11.1 dBm	OK	IP0: 26119	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:39:59	   344.680 MHz	  0.0 V/m	-10.5 dBm	OK	IP0: 26264	(11.11 V/m)	Digital: 0XFF
17/11/2015 10:40:03	   346.404 MHz	  0.0 V/m	-10.4 dBm	OK	IP0: 26487	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:40:07	   348.136 MHz	  0.0 V/m	-10.5 dBm	OK	IP0: 26729	(11.18 V/m)	Digital: 0XFF
17/11/2015 10:40:11	   349.876 MHz	  0.0 V/m	-10.5 dBm	OK	IP0: 26713	(11.15 V/m)	Digital: 0XFF
