17/11/2015 10:18:15	    80.000 MHz	  0.0 V/m	 -8.7 dBm	OK	IP0: 30042	(10.87 V/m)	Digital: 0XFF
17/11/2015 10:18:19	    80.400 MHz	  0.0 V/m	 -8.5 dBm	OK	IP0: 30118	(11.17 V/m)	Digital: 0XFF
17/11/2015 10:18:23	    80.802 MHz	  0.0 V/m	 -8.6 dBm	OK	IP0: 30039	(11.17 V/m)	Digital: 0XFF
17/11/2015 10:18:27	    81.206 MHz	  0.0 V/m	 -8.7 dBm	OK	IP0: 29942	(11.16 V/m)	Digital: 0XFF
17/11/2015 10:18:31	    81.612 MHz	  0.0 V/m	 -8.8 dBm	OK	IP0: 29846	(11.13 V/m)	Digital: 0XFF
17/11/2015 10:18:35	    82.020 MHz	  0.0 V/m	 -8.9 dBm	OK	IP0: 29757	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:18:39	    82.430 MHz	  0.0 V/m	 -8.9 dBm	OK	IP0: 29688	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:18:43	    82.842 MHz	  0.0 V/m	 -9.0 dBm	OK	IP0: 29636	(11.16 V/m)	Digital: 0XFF
17/11/2015 10:18:47	    83.257 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 29524	(11.16 V/m)	Digital: 0XFF
17/11/2015 10:18:51	    83.673 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 29423	(11.15 V/m)	Digital: 0XFF
17/11/2015 10:18:55	    84.091 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29338	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:18:59	    84.512 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29294	(11.12 V/m)	Digital: 0XFF
17/11/2015 10:19:03	    84.934 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29256	(11.13 V/m)	Digital: 0XFF
17/11/2015 10:19:07	    85.359 MHz	  0.0 V/m	 -9.4 dBm	OK	IP0: 29176	(11.13 V/m)	Digital: 0XFF
17/11/2015 10:19:11	    85.786 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29096	(11.10 V/m)	Digital: 0XFF
17/11/2015 10:19:15	    86.215 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29052	(11.08 V/m)	Digital: 0XFF
