17/11/2015 11:53:13	    80.000 MHz	  0.0 V/m	 -8.3 dBm	OK	IP0: 30194	(11.19 V/m)	Digital: 0XFF
17/11/2015 11:53:17	    80.400 MHz	  0.0 V/m	 -8.4 dBm	OK	IP0: 30116	(11.15 V/m)	Digital: 0XFF
17/11/2015 11:53:21	    80.802 MHz	  0.0 V/m	 -8.5 dBm	OK	IP0: 30037	(11.15 V/m)	Digital: 0XFF
17/11/2015 11:53:25	    81.206 MHz	  0.0 V/m	 -8.6 dBm	OK	IP0: 29950	(11.15 V/m)	Digital: 0XFF
17/11/2015 11:53:29	    81.612 MHz	  0.0 V/m	 -8.7 dBm	OK	IP0: 29852	(11.14 V/m)	Digital: 0XFF
17/11/2015 11:53:33	    82.020 MHz	  0.0 V/m	 -8.8 dBm	OK	IP0: 29766	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:53:37	    82.430 MHz	  0.0 V/m	 -8.9 dBm	OK	IP0: 29684	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:53:41	    82.842 MHz	  0.0 V/m	 -8.9 dBm	OK	IP0: 29622	(11.15 V/m)	Digital: 0XFF
17/11/2015 11:53:45	    83.257 MHz	  0.0 V/m	 -9.0 dBm	OK	IP0: 29544	(11.17 V/m)	Digital: 0XFF
17/11/2015 11:53:49	    83.673 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 29451	(11.18 V/m)	Digital: 0XFF
17/11/2015 11:53:53	    84.091 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29354	(11.16 V/m)	Digital: 0XFF
17/11/2015 11:53:57	    84.512 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29277	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:54:01	    84.934 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29227	(11.10 V/m)	Digital: 0XFF
17/11/2015 11:54:05	    85.359 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29187	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:54:09	    85.786 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29136	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:54:13	    86.215 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29067	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:54:17	    86.646 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 28986	(11.10 V/m)	Digital: 0XFF
17/11/2015 11:54:21	    87.079 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 28929	(11.10 V/m)	Digital: 0XFF
17/11/2015 11:54:25	    87.514 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 28880	(11.08 V/m)	Digital: 0XFF
17/11/2015 11:54:29	    87.952 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 28859	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:54:33	    88.392 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 28800	(11.15 V/m)	Digital: 0XFF
17/11/2015 11:54:37	    88.834 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 28719	(11.14 V/m)	Digital: 0XFF
17/11/2015 11:54:41	    89.278 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 28638	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:54:45	    89.724 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 28574	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:54:49	    90.173 MHz	  0.0 V/m	 -9.4 dBm	OK	IP0: 28521	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:54:53	    90.624 MHz	  0.0 V/m	 -9.5 dBm	OK	IP0: 28462	(11.14 V/m)	Digital: 0XFF
17/11/2015 11:54:57	    91.077 MHz	  0.0 V/m	 -9.6 dBm	OK	IP0: 28387	(11.15 V/m)	Digital: 0XFF
17/11/2015 11:55:01	    91.532 MHz	  0.0 V/m	 -9.8 dBm	OK	IP0: 28290	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:55:05	    91.990 MHz	  0.0 V/m	 -9.9 dBm	OK	IP0: 28221	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:55:09	    92.450 MHz	  0.0 V/m	 -9.7 dBm	OK	IP0: 28324	(11.19 V/m)	Digital: 0XFF
17/11/2015 11:55:13	    92.912 MHz	  0.0 V/m	 -9.7 dBm	OK	IP0: 28349	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:55:17	    93.377 MHz	  0.0 V/m	 -9.6 dBm	OK	IP0: 28389	(11.10 V/m)	Digital: 0XFF
17/11/2015 11:55:21	    93.843 MHz	  0.0 V/m	 -9.4 dBm	OK	IP0: 28487	(11.19 V/m)	Digital: 0XFF
17/11/2015 11:55:25	    94.313 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 28550	(11.20 V/m)	Digital: 0XFF
17/11/2015 11:55:29	    94.784 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 28582	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:55:33	    95.258 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 28662	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:55:37	    95.734 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 28722	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:55:41	    96.213 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 28769	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:55:45	    96.694 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 28810	(11.10 V/m)	Digital: 0XFF
17/11/2015 11:55:49	    97.178 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 28879	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:55:53	    97.664 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 28958	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:55:57	    98.152 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 29027	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:56:01	    98.643 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 29085	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:56:05	    99.136 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 29133	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:56:09	    99.632 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 29187	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:56:13	   100.130 MHz	  0.0 V/m	 -9.1 dBm	OK	IP0: 29216	(11.11 V/m)	Digital: 0XFF
17/11/2015 11:56:17	   100.630 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 29192	(11.16 V/m)	Digital: 0XFF
17/11/2015 11:56:21	   101.133 MHz	  0.0 V/m	 -9.3 dBm	OK	IP0: 29156	(11.17 V/m)	Digital: 0XFF
17/11/2015 11:56:25	   101.639 MHz	  0.0 V/m	 -9.5 dBm	OK	IP0: 29116	(11.18 V/m)	Digital: 0XFF
17/11/2015 11:56:29	   102.147 MHz	  0.0 V/m	 -9.7 dBm	OK	IP0: 29066	(11.18 V/m)	Digital: 0XFF
17/11/2015 11:56:33	   102.658 MHz	  0.0 V/m	 -9.9 dBm	OK	IP0: 29013	(11.17 V/m)	Digital: 0XFF
17/11/2015 11:56:37	   103.171 MHz	  0.0 V/m	-10.0 dBm	OK	IP0: 28957	(11.17 V/m)	Digital: 0XFF
17/11/2015 11:56:41	   103.687 MHz	  0.0 V/m	-10.2 dBm	OK	IP0: 28909	(11.19 V/m)	Digital: 0XFF
17/11/2015 11:56:45	   104.206 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28874	(11.17 V/m)	Digital: 0XFF
17/11/2015 11:56:49	   104.727 MHz	  0.0 V/m	-10.4 dBm	OK	IP0: 28866	(11.15 V/m)	Digital: 0XFF
17/11/2015 11:56:53	   105.250 MHz	  0.0 V/m	-10.4 dBm	OK	IP0: 28860	(11.15 V/m)	Digital: 0XFF
17/11/2015 11:56:57	   105.777 MHz	  0.0 V/m	-10.4 dBm	OK	IP0: 28862	(11.14 V/m)	Digital: 0XFF
17/11/2015 11:57:01	   106.305 MHz	  0.0 V/m	-10.4 dBm	OK	IP0: 28850	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:57:05	   106.837 MHz	  0.0 V/m	-10.4 dBm	OK	IP0: 28855	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:57:09	   107.371 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28852	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:57:13	   107.908 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28862	(11.14 V/m)	Digital: 0XFF
17/11/2015 11:57:17	   108.448 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28863	(11.14 V/m)	Digital: 0XFF
17/11/2015 11:57:21	   108.990 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28862	(11.14 V/m)	Digital: 0XFF
17/11/2015 11:57:25	   109.535 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28855	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:57:29	   110.082 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28852	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:57:33	   110.633 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28846	(11.11 V/m)	Digital: 0XFF
17/11/2015 11:57:37	   111.186 MHz	  0.0 V/m	-10.2 dBm	OK	IP0: 28835	(11.10 V/m)	Digital: 0XFF
17/11/2015 11:57:41	   111.742 MHz	  0.0 V/m	-10.0 dBm	OK	IP0: 28876	(11.19 V/m)	Digital: 0XFF
17/11/2015 11:57:45	   112.301 MHz	  0.0 V/m	-10.0 dBm	OK	IP0: 28802	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:57:49	   112.862 MHz	  0.0 V/m	-10.0 dBm	OK	IP0: 28716	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:57:53	   113.426 MHz	  0.0 V/m	-10.0 dBm	OK	IP0: 28627	(11.11 V/m)	Digital: 0XFF
17/11/2015 11:57:57	   113.994 MHz	  0.0 V/m	-10.1 dBm	OK	IP0: 28538	(11.11 V/m)	Digital: 0XFF
17/11/2015 11:58:01	   114.564 MHz	  0.0 V/m	-10.1 dBm	OK	IP0: 28443	(11.10 V/m)	Digital: 0XFF
17/11/2015 11:58:05	   115.136 MHz	  0.0 V/m	-10.1 dBm	OK	IP0: 28362	(11.11 V/m)	Digital: 0XFF
17/11/2015 11:58:09	   115.712 MHz	  0.0 V/m	-10.1 dBm	OK	IP0: 28318	(11.19 V/m)	Digital: 0XFF
17/11/2015 11:58:13	   116.291 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28153	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:58:17	   116.872 MHz	  0.0 V/m	-10.3 dBm	OK	IP0: 28035	(11.20 V/m)	Digital: 0XFF
17/11/2015 11:58:21	   117.456 MHz	  0.0 V/m	-10.6 dBm	OK	IP0: 27814	(11.11 V/m)	Digital: 0XFF
17/11/2015 11:58:25	   118.044 MHz	  0.0 V/m	-10.5 dBm	OK	IP0: 27696	(11.19 V/m)	Digital: 0XFF
17/11/2015 11:58:29	   118.634 MHz	  0.0 V/m	-10.5 dBm	OK	IP0: 27526	(11.19 V/m)	Digital: 0XFF
17/11/2015 11:58:33	   119.227 MHz	  0.0 V/m	-10.5 dBm	OK	IP0: 27352	(11.17 V/m)	Digital: 0XFF
17/11/2015 11:58:37	   119.823 MHz	  0.0 V/m	-10.5 dBm	OK	IP0: 27197	(11.18 V/m)	Digital: 0XFF
17/11/2015 11:58:41	   120.422 MHz	  0.0 V/m	-10.4 dBm	OK	IP0: 27026	(11.17 V/m)	Digital: 0XFF
17/11/2015 11:58:45	   121.024 MHz	  0.0 V/m	-10.5 dBm	OK	IP0: 26853	(11.18 V/m)	Digital: 0XFF
17/11/2015 11:58:50	   121.630 MHz	  0.0 V/m	-10.7 dBm	OK	IP0: 26630	(11.10 V/m)	Digital: 0XFF
17/11/2015 11:58:54	   122.238 MHz	  0.0 V/m	-10.7 dBm	OK	IP0: 26503	(11.18 V/m)	Digital: 0XFF
17/11/2015 11:58:58	   122.849 MHz	  0.0 V/m	-10.9 dBm	OK	IP0: 26340	(11.19 V/m)	Digital: 0XFF
17/11/2015 11:59:02	   123.463 MHz	  0.0 V/m	-11.2 dBm	OK	IP0: 26158	(11.20 V/m)	Digital: 0XFF
17/11/2015 11:59:06	   124.080 MHz	  0.0 V/m	-11.4 dBm	OK	IP0: 25987	(11.18 V/m)	Digital: 0XFF
17/11/2015 11:59:10	   124.701 MHz	  0.0 V/m	-11.2 dBm	OK	IP0: 26068	(11.11 V/m)	Digital: 0XFF
17/11/2015 11:59:14	   125.324 MHz	  0.0 V/m	-11.0 dBm	OK	IP0: 26198	(11.11 V/m)	Digital: 0XFF
17/11/2015 11:59:18	   125.951 MHz	  0.0 V/m	-10.7 dBm	OK	IP0: 26301	(11.12 V/m)	Digital: 0XFF
17/11/2015 11:59:22	   126.581 MHz	  0.0 V/m	-10.5 dBm	OK	IP0: 26399	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:59:26	   127.214 MHz	  0.0 V/m	-10.2 dBm	OK	IP0: 26516	(11.14 V/m)	Digital: 0XFF
17/11/2015 11:59:30	   127.850 MHz	  0.0 V/m	-10.0 dBm	OK	IP0: 26647	(11.16 V/m)	Digital: 0XFF
17/11/2015 11:59:34	   128.489 MHz	  0.0 V/m	 -9.6 dBm	OK	IP0: 26919	(11.13 V/m)	Digital: 0XFF
17/11/2015 11:59:38	   129.131 MHz	  0.0 V/m	 -9.2 dBm	OK	IP0: 27252	(11.10 V/m)	Digital: 0XFF
