20/11/2015 10:17:22	    50.000 MHz	 11.2 V/m	 -9.0 dBm	OK
20/11/2015 10:17:26	    50.250 MHz	 12.7 V/m	 -9.0 dBm	OK
20/11/2015 10:17:29	    50.501 MHz	 12.3 V/m	 -9.0 dBm	OK
20/11/2015 10:17:32	    50.754 MHz	 12.7 V/m	 -9.0 dBm	OK
20/11/2015 10:17:36	    51.008 MHz	 12.7 V/m	 -9.5 dBm	OK
20/11/2015 10:17:40	    51.263 MHz	 12.5 V/m	 -9.5 dBm	OK
20/11/2015 10:17:44	    51.519 MHz	 12.7 V/m	 -9.7 dBm	OK
20/11/2015 10:17:48	    51.776 MHz	 12.7 V/m	-10.2 dBm	OK
20/11/2015 10:17:54	    52.035 MHz	 12.7 V/m	-11.0 dBm	OK
20/11/2015 10:17:57	    52.296 MHz	 12.7 V/m	-11.0 dBm	OK
20/11/2015 10:18:01	    52.557 MHz	 11.2 V/m	-10.4 dBm	OK
20/11/2015 10:18:05	    52.820 MHz	 11.2 V/m	-10.1 dBm	OK
20/11/2015 10:18:09	    53.084 MHz	 12.3 V/m	-10.1 dBm	OK
20/11/2015 10:18:13	    53.349 MHz	 12.5 V/m	-10.5 dBm	OK
20/11/2015 10:18:18	    53.616 MHz	 11.2 V/m	 -8.4 dBm	OK
20/11/2015 10:18:21	    53.884 MHz	 11.2 V/m	 -8.4 dBm	OK
20/11/2015 10:18:27	    54.154 MHz	 11.4 V/m	-10.3 dBm	OK
20/11/2015 10:18:32	    54.424 MHz	 11.9 V/m	 -7.9 dBm	OK
20/11/2015 10:18:37	    54.696 MHz	 11.2 V/m	 -9.5 dBm	OK
20/11/2015 10:18:46	    54.970 MHz	 11.7 V/m	-11.0 dBm	OK
20/11/2015 10:18:57	    55.245 MHz	 12.7 V/m	 -8.2 dBm	OK
20/11/2015 10:19:01	    55.521 MHz	 11.0 V/m	 -8.2 dBm	OK
20/11/2015 10:19:15	    55.799 MHz	 11.7 V/m	-11.2 dBm	OK
20/11/2015 10:19:26	    56.078 MHz	 12.5 V/m	 -7.9 dBm	OK
20/11/2015 10:19:30	    56.358 MHz	 12.7 V/m	 -7.9 dBm	OK
20/11/2015 10:19:46	    56.640 MHz	 12.5 V/m	-10.0 dBm	OK
20/11/2015 10:19:52	    56.923 MHz	 12.3 V/m	 -5.9 dBm	OK
20/11/2015 10:19:56	    57.208 MHz	 12.3 V/m	 -5.4 dBm	FAIL (LIMIT)
20/11/2015 10:20:05	    57.494 MHz	  9.4 V/m	 -5.2 dBm	FAIL (LIMIT)
20/11/2015 10:20:17	    57.781 MHz	  9.0 V/m	 -5.1 dBm	FAIL (LIMIT)
20/11/2015 10:20:38	    58.070 MHz	 11.2 V/m	-10.0 dBm	OK
20/11/2015 10:20:44	    58.360 MHz	 11.0 V/m	 -6.7 dBm	OK
20/11/2015 10:20:58	    58.652 MHz	 12.3 V/m	 -5.9 dBm	OK
20/11/2015 10:21:05	    58.945 MHz	 12.3 V/m	-11.3 dBm	OK
20/11/2015 10:21:11	    59.240 MHz	 12.7 V/m	 -9.3 dBm	OK
20/11/2015 10:21:19	    59.536 MHz	 11.4 V/m	 -9.1 dBm	OK
20/11/2015 10:21:26	    59.834 MHz	 12.5 V/m	-12.7 dBm	OK
20/11/2015 10:21:32	    60.133 MHz	 11.0 V/m	-11.1 dBm	OK
20/11/2015 10:21:37	    60.434 MHz	 12.3 V/m	-12.3 dBm	OK
20/11/2015 10:21:41	    60.736 MHz	 11.2 V/m	-11.5 dBm	OK
20/11/2015 10:21:46	    61.040 MHz	 12.3 V/m	-13.0 dBm	OK
20/11/2015 10:21:50	    61.345 MHz	 11.0 V/m	-13.0 dBm	OK
20/11/2015 10:21:53	    61.652 MHz	 12.5 V/m	-13.0 dBm	OK
20/11/2015 10:21:56	    61.960 MHz	 12.5 V/m	-13.0 dBm	OK
20/11/2015 10:21:59	    62.270 MHz	 12.7 V/m	-13.0 dBm	OK
20/11/2015 10:22:03	    62.581 MHz	 12.5 V/m	-13.4 dBm	OK
20/11/2015 10:22:06	    62.894 MHz	 12.7 V/m	-13.4 dBm	OK
20/11/2015 10:22:10	    63.208 MHz	 12.5 V/m	-13.8 dBm	OK
20/11/2015 10:22:13	    63.524 MHz	 12.7 V/m	-13.8 dBm	OK
20/11/2015 10:22:16	    63.842 MHz	 12.5 V/m	-13.8 dBm	OK
20/11/2015 10:22:20	    64.161 MHz	 12.3 V/m	-13.8 dBm	OK
20/11/2015 10:22:24	    64.482 MHz	 11.9 V/m	-13.8 dBm	OK
20/11/2015 10:22:28	    64.805 MHz	 11.2 V/m	-13.8 dBm	OK
20/11/2015 10:22:32	    65.129 MHz	 11.2 V/m	-13.5 dBm	OK
20/11/2015 10:22:35	    65.454 MHz	 11.2 V/m	-13.5 dBm	OK
20/11/2015 10:22:39	    65.781 MHz	 11.2 V/m	-13.2 dBm	OK
20/11/2015 10:22:42	    66.110 MHz	 11.9 V/m	-13.2 dBm	OK
20/11/2015 10:22:45	    66.441 MHz	 12.3 V/m	-13.2 dBm	OK
20/11/2015 10:22:49	    66.773 MHz	 12.3 V/m	-13.2 dBm	OK
20/11/2015 10:22:52	    67.107 MHz	 12.7 V/m	-13.2 dBm	OK
20/11/2015 10:22:55	    67.443 MHz	 12.5 V/m	-13.2 dBm	OK
20/11/2015 10:22:58	    67.780 MHz	 11.7 V/m	-13.2 dBm	OK
20/11/2015 10:23:01	    68.119 MHz	 11.2 V/m	-13.2 dBm	OK
20/11/2015 10:23:05	    68.459 MHz	 11.0 V/m	-12.9 dBm	OK
20/11/2015 10:23:09	    68.802 MHz	 11.0 V/m	-12.6 dBm	OK
