19/11/2015 15:14:53	    80.000 MHz	 17.5 V/m	 -8.6 dBm	OK	IP0: 30116	(10.89 V/m)	Digital: 0XFF
19/11/2015 15:14:58	    80.400 MHz	 18.0 V/m	 -8.4 dBm	OK	IP0: 30121	(11.18 V/m)	Digital: 0XFF
19/11/2015 15:15:03	    80.802 MHz	 18.3 V/m	 -8.6 dBm	OK	IP0: 30027	(11.15 V/m)	Digital: 0XFF
19/11/2015 15:15:09	    81.206 MHz	 17.7 V/m	 -8.6 dBm	OK	IP0: 29940	(11.14 V/m)	Digital: 0XFF
19/11/2015 15:15:15	    81.612 MHz	 17.7 V/m	 -8.7 dBm	OK	IP0: 29879	(11.14 V/m)	Digital: 0XFF
19/11/2015 15:15:21	    82.020 MHz	 17.7 V/m	 -8.9 dBm	OK	IP0: 29790	(11.15 V/m)	Digital: 0XFF
19/11/2015 15:15:27	    82.430 MHz	 17.7 V/m	 -9.0 dBm	OK	IP0: 29698	(11.16 V/m)	Digital: 0XFF
19/11/2015 15:15:33	    82.842 MHz	 17.9 V/m	 -9.1 dBm	OK	IP0: 29599	(11.15 V/m)	Digital: 0XFF
19/11/2015 15:15:40	    83.257 MHz	 18.2 V/m	 -9.2 dBm	OK	IP0: 29509	(11.13 V/m)	Digital: 0XFF
19/11/2015 15:15:46	    83.673 MHz	 18.5 V/m	 -9.2 dBm	OK	IP0: 29429	(11.15 V/m)	Digital: 0XFF
19/11/2015 15:15:51	    84.091 MHz	 19.4 V/m	 -9.3 dBm	OK	IP0: 29367	(11.15 V/m)	Digital: 0XFF
19/11/2015 15:15:57	    84.512 MHz	 18.6 V/m	 -9.4 dBm	OK	IP0: 29309	(11.14 V/m)	Digital: 0XFF
19/11/2015 15:16:03	    84.934 MHz	 18.3 V/m	 -9.4 dBm	OK	IP0: 29236	(11.13 V/m)	Digital: 0XFF
19/11/2015 15:16:18	    85.359 MHz	 25.3 V/m	 -7.1 dBm	OK	IP0: 30327	(10.86 V/m)	Digital: 0XFF
19/11/2015 15:16:23	    85.786 MHz	 22.9 V/m	 -7.1 dBm	OK	IP0: 30252	(11.05 V/m)	Digital: 0XFF
19/11/2015 15:16:28	    86.215 MHz	 22.6 V/m	 -7.1 dBm	OK	IP0: 30143	(10.98 V/m)	Digital: 0XFF
19/11/2015 15:16:33	    86.646 MHz	 22.4 V/m	 -7.1 dBm	OK	IP0: 30069	(10.81 V/m)	Digital: 0XFF
19/11/2015 15:16:39	    87.079 MHz	 17.2 V/m	 -9.3 dBm	OK	IP0: 28974	(11.13 V/m)	Digital: 0XFF
19/11/2015 15:16:45	    87.514 MHz	 17.0 V/m	 -9.4 dBm	OK	IP0: 28888	(11.13 V/m)	Digital: 0XFF
19/11/2015 15:16:51	    87.952 MHz	 16.8 V/m	 -9.3 dBm	OK	IP0: 28840	(11.10 V/m)	Digital: 0XFF
19/11/2015 15:16:57	    88.392 MHz	 16.6 V/m	 -9.4 dBm	OK	IP0: 28819	(11.14 V/m)	Digital: 0XFF
19/11/2015 15:17:03	    88.834 MHz	 16.3 V/m	 -9.5 dBm	OK	IP0: 28711	(11.15 V/m)	Digital: 0XFF
19/11/2015 15:17:09	    89.278 MHz	 16.1 V/m	 -9.5 dBm	OK	IP0: 28654	(11.12 V/m)	Digital: 0XFF
19/11/2015 15:17:15	    89.724 MHz	 16.0 V/m	 -9.6 dBm	OK	IP0: 28614	(11.14 V/m)	Digital: 0XFF
19/11/2015 15:17:21	    90.173 MHz	 15.7 V/m	 -9.7 dBm	OK	IP0: 28502	(11.15 V/m)	Digital: 0XFF
19/11/2015 15:17:28	    90.624 MHz	 15.7 V/m	 -9.8 dBm	OK	IP0: 28473	(11.13 V/m)	Digital: 0XFF
19/11/2015 15:17:34	    91.077 MHz	 15.5 V/m	-10.0 dBm	OK	IP0: 28377	(11.14 V/m)	Digital: 0XFF
