19/11/2015 12:20:32	    80.000 MHz	 19.8 V/m	 -8.8 dBm	OK	IP0: 30090	(10.91 V/m)	Digital: 0XFF
19/11/2015 12:20:45	    80.400 MHz	 19.9 V/m	 -8.7 dBm	OK	IP0: 30085	(11.14 V/m)	Digital: 0XFF
19/11/2015 12:20:51	    80.802 MHz	 19.6 V/m	 -8.8 dBm	OK	IP0: 30004	(11.13 V/m)	Digital: 0XFF
19/11/2015 12:20:56	    81.206 MHz	 20.1 V/m	 -8.8 dBm	OK	IP0: 29928	(11.14 V/m)	Digital: 0XFF
19/11/2015 12:21:02	    81.612 MHz	 19.4 V/m	 -8.9 dBm	OK	IP0: 29843	(11.12 V/m)	Digital: 0XFF
19/11/2015 12:21:08	    82.020 MHz	 19.5 V/m	 -9.0 dBm	OK	IP0: 29753	(11.10 V/m)	Digital: 0XFF
19/11/2015 12:21:14	    82.430 MHz	 19.5 V/m	 -9.0 dBm	OK	IP0: 29682	(11.12 V/m)	Digital: 0XFF
19/11/2015 12:21:20	    82.842 MHz	 19.4 V/m	 -9.1 dBm	OK	IP0: 29616	(11.15 V/m)	Digital: 0XFF
19/11/2015 12:21:26	    83.257 MHz	 19.3 V/m	 -9.2 dBm	OK	IP0: 29536	(11.15 V/m)	Digital: 0XFF
19/11/2015 12:21:31	    83.673 MHz	 19.9 V/m	 -9.3 dBm	OK	IP0: 29442	(11.16 V/m)	Digital: 0XFF
19/11/2015 12:21:36	    84.091 MHz	 20.3 V/m	 -9.4 dBm	OK	IP0: 29346	(11.14 V/m)	Digital: 0XFF
19/11/2015 12:21:42	    84.512 MHz	 20.2 V/m	 -9.4 dBm	OK	IP0: 29271	(11.10 V/m)	Digital: 0XFF
19/11/2015 12:21:47	    84.934 MHz	 21.5 V/m	 -9.2 dBm	OK	IP0: 29247	(11.20 V/m)	Digital: 0XFF
19/11/2015 12:21:52	    85.359 MHz	 22.6 V/m	 -9.2 dBm	OK	IP0: 29159	(11.07 V/m)	Digital: 0XFF
19/11/2015 12:21:58	    85.786 MHz	 22.4 V/m	 -9.0 dBm	OK	IP0: 29161	(11.20 V/m)	Digital: 0XFF
19/11/2015 12:22:03	    86.215 MHz	 22.9 V/m	 -9.0 dBm	OK	IP0: 29074	(11.12 V/m)	Digital: 0XFF
19/11/2015 12:22:08	    86.646 MHz	 22.9 V/m	 -9.0 dBm	OK	IP0: 28998	(11.11 V/m)	Digital: 0XFF
19/11/2015 12:22:14	    87.079 MHz	 21.9 V/m	 -9.0 dBm	OK	IP0: 28936	(11.11 V/m)	Digital: 0XFF
19/11/2015 12:22:20	    87.514 MHz	 21.5 V/m	 -9.0 dBm	OK	IP0: 28891	(11.13 V/m)	Digital: 0XFF
19/11/2015 12:22:26	    87.952 MHz	 21.1 V/m	 -9.0 dBm	OK	IP0: 28857	(11.15 V/m)	Digital: 0XFF
19/11/2015 12:22:32	    88.392 MHz	 20.5 V/m	 -9.0 dBm	OK	IP0: 28790	(11.15 V/m)	Digital: 0XFF
19/11/2015 12:22:38	    88.834 MHz	 20.0 V/m	 -9.1 dBm	OK	IP0: 28720	(11.14 V/m)	Digital: 0XFF
19/11/2015 12:22:44	    89.278 MHz	 19.6 V/m	 -9.2 dBm	OK	IP0: 28658	(11.14 V/m)	Digital: 0XFF
19/11/2015 12:22:50	    89.724 MHz	 19.2 V/m	 -9.3 dBm	OK	IP0: 28590	(11.14 V/m)	Digital: 0XFF
19/11/2015 12:22:56	    90.173 MHz	 18.8 V/m	 -9.4 dBm	OK	IP0: 28523	(11.14 V/m)	Digital: 0XFF
19/11/2015 12:23:02	    90.624 MHz	 18.4 V/m	 -9.6 dBm	OK	IP0: 28466	(11.16 V/m)	Digital: 0XFF
19/11/2015 12:23:08	    91.077 MHz	 18.0 V/m	 -9.8 dBm	OK	IP0: 28379	(11.14 V/m)	Digital: 0XFF
19/11/2015 12:23:14	    91.532 MHz	 17.7 V/m	 -9.9 dBm	OK	IP0: 28297	(11.13 V/m)	Digital: 0XFF
19/11/2015 12:23:20	    91.990 MHz	 17.4 V/m	-10.0 dBm	OK	IP0: 28226	(11.11 V/m)	Digital: 0XFF
19/11/2015 12:23:26	    92.450 MHz	 17.7 V/m	 -9.8 dBm	OK	IP0: 28331	(11.19 V/m)	Digital: 0XFF
19/11/2015 12:23:32	    92.912 MHz	 17.7 V/m	 -9.8 dBm	OK	IP0: 28347	(11.12 V/m)	Digital: 0XFF
19/11/2015 12:23:38	    93.377 MHz	 17.9 V/m	 -9.7 dBm	OK	IP0: 28451	(11.20 V/m)	Digital: 0XFF
19/11/2015 12:23:44	    93.843 MHz	 17.7 V/m	 -9.7 dBm	OK	IP0: 28453	(11.13 V/m)	Digital: 0XFF
19/11/2015 12:23:50	    94.313 MHz	 17.9 V/m	 -9.5 dBm	OK	IP0: 28536	(11.20 V/m)	Digital: 0XFF
19/11/2015 12:23:56	    94.784 MHz	 18.0 V/m	 -9.4 dBm	OK	IP0: 28657	(11.19 V/m)	Digital: 0XFF
19/11/2015 12:24:02	    95.258 MHz	 17.8 V/m	 -9.4 dBm	OK	IP0: 28644	(11.13 V/m)	Digital: 0XFF
19/11/2015 12:24:08	    95.734 MHz	 18.0 V/m	 -9.3 dBm	OK	IP0: 28727	(11.17 V/m)	Digital: 0XFF
19/11/2015 12:24:14	    96.213 MHz	 18.0 V/m	 -9.2 dBm	OK	IP0: 28796	(11.10 V/m)	Digital: 0XFF
19/11/2015 12:24:20	    96.694 MHz	 17.9 V/m	 -9.2 dBm	OK	IP0: 28832	(11.12 V/m)	Digital: 0XFF
19/11/2015 12:24:26	    97.178 MHz	 17.8 V/m	 -9.2 dBm	OK	IP0: 28874	(11.11 V/m)	Digital: 0XFF
19/11/2015 12:24:31	    97.664 MHz	 18.2 V/m	 -9.0 dBm	OK	IP0: 28972	(11.18 V/m)	Digital: 0XFF
19/11/2015 12:24:37	    98.152 MHz	 17.8 V/m	 -9.0 dBm	OK	IP0: 29027	(11.11 V/m)	Digital: 0XFF
19/11/2015 12:24:43	    98.643 MHz	 17.6 V/m	 -9.0 dBm	OK	IP0: 29085	(11.13 V/m)	Digital: 0XFF
19/11/2015 12:24:49	    99.136 MHz	 17.6 V/m	 -8.9 dBm	OK	IP0: 29152	(11.20 V/m)	Digital: 0XFF
19/11/2015 12:24:55	    99.632 MHz	 17.4 V/m	 -8.8 dBm	OK	IP0: 29223	(11.12 V/m)	Digital: 0XFF
19/11/2015 12:25:00	   100.130 MHz	 17.7 V/m	 -8.8 dBm	OK	IP0: 29225	(11.12 V/m)	Digital: 0XFF
19/11/2015 12:25:06	   100.630 MHz	 16.6 V/m	 -8.9 dBm	OK	IP0: 29179	(11.12 V/m)	Digital: 0XFF
