23/11/2015 16:07:17	    80.000 MHz	 14.2 V/m	 -9.1 dBm	OK	IP0: 29911	(10.25 V/m)	Digital: 0XFF
23/11/2015 16:07:23	    80.400 MHz	 15.7 V/m	 -8.2 dBm	OK	IP0: 30224	(11.44 V/m)	Digital: 0XFF
23/11/2015 16:07:28	    80.802 MHz	 16.3 V/m	 -7.9 dBm	OK	IP0: 30343	(11.80 V/m)	Digital: 0XFF
23/11/2015 16:07:34	    81.206 MHz	 16.1 V/m	 -8.1 dBm	OK	IP0: 30223	(11.73 V/m)	Digital: 0XFF
23/11/2015 16:07:39	    81.612 MHz	 16.4 V/m	 -8.0 dBm	OK	IP0: 30208	(11.97 V/m)	Digital: 0XFF
23/11/2015 16:07:45	    82.020 MHz	 16.1 V/m	 -8.2 dBm	OK	IP0: 30069	(11.82 V/m)	Digital: 0XFF
23/11/2015 16:07:51	    82.430 MHz	 16.0 V/m	 -8.3 dBm	OK	IP0: 29973	(11.76 V/m)	Digital: 0XFF
23/11/2015 16:07:57	    82.842 MHz	 15.9 V/m	 -8.4 dBm	OK	IP0: 29896	(11.73 V/m)	Digital: 0XFF
23/11/2015 16:08:03	    83.257 MHz	 16.0 V/m	 -8.6 dBm	OK	IP0: 29807	(11.74 V/m)	Digital: 0XFF
23/11/2015 16:08:09	    83.673 MHz	 15.9 V/m	 -8.7 dBm	OK	IP0: 29676	(11.76 V/m)	Digital: 0XFF
23/11/2015 16:08:15	    84.091 MHz	 15.9 V/m	 -8.8 dBm	OK	IP0: 29587	(11.78 V/m)	Digital: 0XFF
23/11/2015 16:08:21	    84.512 MHz	 15.8 V/m	 -8.8 dBm	OK	IP0: 29520	(11.76 V/m)	Digital: 0XFF
23/11/2015 16:08:27	    84.934 MHz	 15.7 V/m	 -8.8 dBm	OK	IP0: 29472	(11.74 V/m)	Digital: 0XFF
23/11/2015 16:08:33	    85.359 MHz	 15.5 V/m	 -8.8 dBm	OK	IP0: 29460	(11.73 V/m)	Digital: 0XFF
23/11/2015 16:08:39	    85.786 MHz	 15.3 V/m	 -8.9 dBm	OK	IP0: 29366	(11.74 V/m)	Digital: 0XFF
23/11/2015 16:08:45	    86.215 MHz	 15.1 V/m	 -8.9 dBm	OK	IP0: 29288	(11.73 V/m)	Digital: 0XFF
23/11/2015 16:08:50	    86.646 MHz	 15.5 V/m	 -8.6 dBm	OK	IP0: 29386	(11.98 V/m)	Digital: 0XFF
23/11/2015 16:08:55	    87.079 MHz	 15.1 V/m	 -8.8 dBm	OK	IP0: 29193	(11.80 V/m)	Digital: 0XFF
23/11/2015 16:09:01	    87.514 MHz	 15.1 V/m	 -8.8 dBm	OK	IP0: 29139	(11.72 V/m)	Digital: 0XFF
23/11/2015 16:09:06	    87.952 MHz	 15.6 V/m	 -8.5 dBm	OK	IP0: 29234	(11.97 V/m)	Digital: 0XFF
