01/12/2015 15:11:49	    80.000 MHz	  0.0 V/m	 -3.0 dBm	OK	IP0: 31851	(20.41 V/m)	Digital: 0XFF
01/12/2015 15:11:52	    80.800 MHz	  0.0 V/m	 -2.1 dBm	OK	IP0: 32018	(20.99 V/m)	Digital: 0XFF
01/12/2015 15:11:57	    81.608 MHz	  0.0 V/m	 -2.4 dBm	OK	IP0: 32017	(21.60 V/m)	Digital: 0XFF
01/12/2015 15:12:02	    82.424 MHz	  0.0 V/m	 -2.9 dBm	OK	IP0: 32026	(21.44 V/m)	Digital: 0XFF
01/12/2015 15:12:06	    83.248 MHz	  0.0 V/m	 -3.0 dBm	OK	IP0: 32089	(21.46 V/m)	Digital: 0XFF
01/12/2015 15:12:10	    84.081 MHz	  0.0 V/m	 -3.0 dBm	OK	IP0: 32050	(21.46 V/m)	Digital: 0XFF
01/12/2015 15:12:14	    84.922 MHz	  0.0 V/m	 -2.8 dBm	OK	IP0: 31859	(21.55 V/m)	Digital: 0XFF
01/12/2015 15:12:17	    85.771 MHz	  0.0 V/m	 -2.2 dBm	OK	IP0: 31669	(21.42 V/m)	Digital: 0XFF
01/12/2015 15:13:32	    86.629 MHz	  0.0 V/m	  8.1 dBm	OK	IP0: 32713	(20.42 V/m)	Digital: 0XFF
01/12/2015 15:13:35	    87.495 MHz	  0.0 V/m	  8.1 dBm	OK	IP0: 32554	(20.78 V/m)	Digital: 0XFF
01/12/2015 15:13:38	    88.370 MHz	  0.0 V/m	  8.1 dBm	OK	IP0: 32633	(20.60 V/m)	Digital: 0XFF
01/12/2015 15:13:48	    89.253 MHz	  0.0 V/m	 -2.3 dBm	OK	IP0: 31243	(21.51 V/m)	Digital: 0XFF
01/12/2015 15:13:53	    90.146 MHz	  0.0 V/m	 -2.8 dBm	OK	IP0: 31183	(21.46 V/m)	Digital: 0XFF
01/12/2015 15:13:57	    91.047 MHz	  0.0 V/m	 -3.2 dBm	OK	IP0: 31041	(21.58 V/m)	Digital: 0XFF
