02/08/2017 10:57:18	     0.150 MHz	  4.1 V/m	-22.9 dBm	OK
02/08/2017 10:57:22	     0.160 MHz	  4.9 V/m	-23.3 dBm	OK
02/08/2017 10:57:26	     0.170 MHz	  5.0 V/m	-23.3 dBm	OK
02/08/2017 10:57:30	     0.180 MHz	  4.9 V/m	-23.7 dBm	OK
02/08/2017 10:57:33	     0.190 MHz	  5.0 V/m	-23.7 dBm	OK
02/08/2017 10:57:37	     0.200 MHz	  4.9 V/m	-24.1 dBm	OK
02/08/2017 10:57:40	     0.210 MHz	  5.0 V/m	-24.1 dBm	OK
02/08/2017 10:57:45	     0.220 MHz	  4.5 V/m	-24.9 dBm	OK
02/08/2017 10:57:49	     0.230 MHz	  4.7 V/m	-24.9 dBm	OK
02/08/2017 10:57:53	     0.240 MHz	  4.8 V/m	-24.9 dBm	OK
02/08/2017 10:57:56	     0.250 MHz	  4.9 V/m	-24.9 dBm	OK
02/08/2017 10:58:00	     0.260 MHz	  5.0 V/m	-24.9 dBm	OK
02/08/2017 10:58:04	     0.270 MHz	  4.7 V/m	-25.7 dBm	OK
02/08/2017 10:58:08	     0.280 MHz	  4.8 V/m	-25.7 dBm	OK
02/08/2017 10:58:11	     0.290 MHz	  4.8 V/m	-25.7 dBm	OK
02/08/2017 10:58:14	     0.300 MHz	  4.9 V/m	-25.7 dBm	OK
02/08/2017 10:58:18	     0.310 MHz	  5.0 V/m	-25.7 dBm	OK
02/08/2017 10:58:22	     0.320 MHz	  4.9 V/m	-26.1 dBm	OK
02/08/2017 10:58:26	     0.330 MHz	  4.9 V/m	-26.1 dBm	OK
02/08/2017 10:58:29	     0.340 MHz	  5.0 V/m	-26.1 dBm	OK
02/08/2017 10:58:33	     0.350 MHz	  5.0 V/m	-26.1 dBm	OK
02/08/2017 10:58:37	     0.360 MHz	  4.7 V/m	-26.9 dBm	OK
02/08/2017 10:58:41	     0.370 MHz	  4.7 V/m	-26.9 dBm	OK
02/08/2017 10:58:45	     0.380 MHz	  4.8 V/m	-26.9 dBm	OK
02/08/2017 10:58:48	     0.390 MHz	  4.9 V/m	-26.9 dBm	OK
02/08/2017 10:58:52	     0.400 MHz	  4.9 V/m	-26.9 dBm	OK
02/08/2017 10:58:55	     0.410 MHz	  5.0 V/m	-26.9 dBm	OK
02/08/2017 10:58:58	     0.420 MHz	  5.0 V/m	-26.9 dBm	OK
02/08/2017 10:59:02	     0.430 MHz	  4.8 V/m	-27.3 dBm	OK
02/08/2017 10:59:06	     0.440 MHz	  4.9 V/m	-27.3 dBm	OK
02/08/2017 10:59:09	     0.450 MHz	  4.9 V/m	-27.3 dBm	OK
02/08/2017 10:59:13	     0.460 MHz	  5.0 V/m	-27.3 dBm	OK
02/08/2017 10:59:17	     0.470 MHz	  5.0 V/m	-27.3 dBm	OK
02/08/2017 10:59:21	     0.480 MHz	  4.5 V/m	-28.1 dBm	OK
02/08/2017 10:59:25	     0.490 MHz	  4.7 V/m	-28.1 dBm	OK
02/08/2017 10:59:28	     0.500 MHz	  4.7 V/m	-28.1 dBm	OK
02/08/2017 10:59:32	     0.510 MHz	  4.8 V/m	-28.1 dBm	OK
02/08/2017 10:59:36	     0.520 MHz	  4.8 V/m	-28.1 dBm	OK
02/08/2017 10:59:40	     0.530 MHz	  4.8 V/m	-28.1 dBm	OK
02/08/2017 10:59:44	     0.540 MHz	  4.8 V/m	-28.1 dBm	OK
02/08/2017 10:59:48	     0.550 MHz	  4.9 V/m	-28.1 dBm	OK
