27/03/2018 10:33:45	     0.150 MHz	 11.0 V/m	-14.8 dBm	OK
27/03/2018 10:33:50	     0.160 MHz	 11.2 V/m	-15.0 dBm	OK
27/03/2018 10:33:54	     0.170 MHz	 11.2 V/m	-15.3 dBm	OK
27/03/2018 10:33:58	     0.180 MHz	 11.2 V/m	-15.5 dBm	OK
27/03/2018 10:34:02	     0.190 MHz	 11.2 V/m	-15.7 dBm	OK
27/03/2018 10:34:06	     0.200 MHz	 11.2 V/m	-15.8 dBm	OK
27/03/2018 10:34:10	     0.210 MHz	 11.2 V/m	-16.0 dBm	OK
27/03/2018 10:34:14	     0.220 MHz	 11.2 V/m	-16.2 dBm	OK
27/03/2018 10:34:18	     0.230 MHz	 11.2 V/m	-16.4 dBm	OK
27/03/2018 10:34:22	     0.240 MHz	 11.2 V/m	-16.6 dBm	OK
27/03/2018 10:34:26	     0.250 MHz	 11.2 V/m	-16.8 dBm	OK
27/03/2018 10:34:29	     0.260 MHz	 11.2 V/m	-16.9 dBm	OK
27/03/2018 10:34:33	     0.270 MHz	 11.2 V/m	-17.1 dBm	OK
27/03/2018 10:34:37	     0.280 MHz	 11.2 V/m	-17.3 dBm	OK
27/03/2018 10:34:41	     0.290 MHz	 11.2 V/m	-17.4 dBm	OK
27/03/2018 10:34:45	     0.300 MHz	 11.2 V/m	-17.5 dBm	OK
27/03/2018 10:34:49	     0.310 MHz	 11.2 V/m	-17.6 dBm	OK
27/03/2018 10:35:39	     0.320 MHz	 11.0 V/m	-17.1 dBm	OK
27/03/2018 10:35:43	     0.330 MHz	 11.2 V/m	-17.8 dBm	OK
27/03/2018 10:35:47	     0.340 MHz	 11.2 V/m	-17.9 dBm	OK
27/03/2018 10:35:51	     0.350 MHz	 11.2 V/m	-18.0 dBm	OK
27/03/2018 10:35:55	     0.360 MHz	 11.2 V/m	-18.1 dBm	OK
27/03/2018 10:35:59	     0.370 MHz	 11.2 V/m	-18.2 dBm	OK
27/03/2018 10:36:03	     0.380 MHz	 11.2 V/m	-18.3 dBm	OK
27/03/2018 10:36:07	     0.390 MHz	 11.2 V/m	-18.5 dBm	OK
27/03/2018 10:36:10	     0.400 MHz	 11.2 V/m	-18.5 dBm	OK
27/03/2018 10:36:14	     0.410 MHz	 11.2 V/m	-18.6 dBm	OK
27/03/2018 10:36:17	     0.420 MHz	 11.2 V/m	-18.6 dBm	OK
27/03/2018 10:36:21	     0.430 MHz	 11.2 V/m	-18.7 dBm	OK
27/03/2018 10:36:24	     0.440 MHz	 11.2 V/m	-18.7 dBm	OK
27/03/2018 10:36:27	     0.450 MHz	 11.2 V/m	-18.8 dBm	OK
27/03/2018 10:36:31	     0.460 MHz	 11.0 V/m	-19.0 dBm	OK
27/03/2018 10:36:34	     0.470 MHz	 11.2 V/m	-19.0 dBm	OK
27/03/2018 10:36:37	     0.480 MHz	 11.2 V/m	-19.0 dBm	OK
27/03/2018 10:36:40	     0.490 MHz	 11.2 V/m	-19.0 dBm	OK
27/03/2018 10:36:43	     0.500 MHz	 11.2 V/m	-19.0 dBm	OK
27/03/2018 10:36:46	     0.510 MHz	 11.2 V/m	-19.0 dBm	OK
27/03/2018 10:36:49	     0.520 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:36:53	     0.530 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:36:56	     0.540 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:36:59	     0.550 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:02	     0.560 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:06	     0.570 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:09	     0.580 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:12	     0.590 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:15	     0.600 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:18	     0.610 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:21	     0.620 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:24	     0.630 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:27	     0.640 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:30	     0.650 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:33	     0.660 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:36	     0.670 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:39	     0.680 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:43	     0.690 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:46	     0.700 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:49	     0.710 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:52	     0.720 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:55	     0.730 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:37:58	     0.740 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:02	     0.750 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:05	     0.760 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:08	     0.770 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:11	     0.780 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:14	     0.790 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:17	     0.800 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:20	     0.810 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:23	     0.820 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:26	     0.830 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:29	     0.840 MHz	 11.2 V/m	-19.1 dBm	OK
27/03/2018 10:38:32	     0.850 MHz	 11.0 V/m	-19.1 dBm	OK
27/03/2018 10:38:35	     0.860 MHz	 11.0 V/m	-19.1 dBm	OK
27/03/2018 10:38:38	     0.870 MHz	 11.0 V/m	-19.1 dBm	OK
27/03/2018 10:38:41	     0.880 MHz	 11.0 V/m	-19.1 dBm	OK
27/03/2018 10:38:44	     0.890 MHz	 11.0 V/m	-19.1 dBm	OK
27/03/2018 10:38:47	     0.900 MHz	 11.0 V/m	-19.1 dBm	OK
27/03/2018 10:38:51	     0.910 MHz	 11.0 V/m	-19.0 dBm	OK
27/03/2018 10:38:54	     0.920 MHz	 11.0 V/m	-19.0 dBm	OK
27/03/2018 10:38:58	     0.930 MHz	 11.0 V/m	-18.9 dBm	OK
27/03/2018 10:39:01	     0.940 MHz	 11.0 V/m	-18.9 dBm	OK
27/03/2018 10:39:05	     0.950 MHz	 11.0 V/m	-18.8 dBm	OK
27/03/2018 10:39:09	     0.960 MHz	 11.0 V/m	-18.8 dBm	OK
27/03/2018 10:39:13	     0.970 MHz	 11.0 V/m	-18.7 dBm	OK
27/03/2018 10:39:16	     0.980 MHz	 11.0 V/m	-18.7 dBm	OK
27/03/2018 10:39:20	     0.990 MHz	 11.0 V/m	-18.7 dBm	OK
27/03/2018 10:39:24	     1.000 MHz	 11.0 V/m	-18.6 dBm	OK
