13/10/2017 15:07:57	     0.150 MHz	 11.2 V/m	-15.9 dBm	OK
13/10/2017 15:08:01	     0.160 MHz	 11.2 V/m	-16.1 dBm	OK
13/10/2017 15:08:06	     0.170 MHz	 11.0 V/m	-16.5 dBm	OK
13/10/2017 15:08:10	     0.180 MHz	 11.2 V/m	-16.6 dBm	OK
13/10/2017 15:08:14	     0.190 MHz	 11.2 V/m	-16.9 dBm	OK
13/10/2017 15:08:17	     0.200 MHz	 11.2 V/m	-16.9 dBm	OK
13/10/2017 15:08:21	     0.210 MHz	 11.2 V/m	-17.2 dBm	OK
13/10/2017 15:08:25	     0.220 MHz	 11.2 V/m	-17.4 dBm	OK
13/10/2017 15:08:29	     0.230 MHz	 11.2 V/m	-17.6 dBm	OK
13/10/2017 15:08:33	     0.240 MHz	 11.0 V/m	-17.8 dBm	OK
13/10/2017 15:08:37	     0.250 MHz	 11.2 V/m	-18.0 dBm	OK
13/10/2017 15:08:41	     0.260 MHz	 11.2 V/m	-18.0 dBm	OK
13/10/2017 15:08:45	     0.270 MHz	 11.2 V/m	-18.2 dBm	OK
13/10/2017 15:08:48	     0.280 MHz	 11.2 V/m	-18.3 dBm	OK
13/10/2017 15:08:52	     0.290 MHz	 11.2 V/m	-18.5 dBm	OK
13/10/2017 15:08:56	     0.300 MHz	 11.2 V/m	-18.6 dBm	OK
13/10/2017 15:09:00	     0.310 MHz	 11.2 V/m	-18.8 dBm	OK
13/10/2017 15:09:03	     0.320 MHz	 11.2 V/m	-18.8 dBm	OK
13/10/2017 15:09:07	     0.330 MHz	 11.2 V/m	-19.0 dBm	OK
13/10/2017 15:09:11	     0.340 MHz	 11.2 V/m	-19.0 dBm	OK
13/10/2017 15:09:15	     0.350 MHz	 11.2 V/m	-19.3 dBm	OK
13/10/2017 15:09:19	     0.360 MHz	 11.2 V/m	-19.3 dBm	OK
13/10/2017 15:09:23	     0.370 MHz	 11.0 V/m	-19.5 dBm	OK
13/10/2017 15:09:26	     0.380 MHz	 11.2 V/m	-19.5 dBm	OK
13/10/2017 15:09:29	     0.390 MHz	 11.2 V/m	-19.6 dBm	OK
13/10/2017 15:09:33	     0.400 MHz	 11.2 V/m	-19.7 dBm	OK
13/10/2017 15:09:36	     0.410 MHz	 11.2 V/m	-19.7 dBm	OK
13/10/2017 15:09:39	     0.420 MHz	 11.2 V/m	-19.8 dBm	OK
13/10/2017 15:09:43	     0.430 MHz	 11.2 V/m	-19.9 dBm	OK
13/10/2017 15:09:47	     0.440 MHz	 11.2 V/m	-20.0 dBm	OK
