13/10/2017 14:58:30	    25.000 MHz	 11.0 V/m	 -8.9 dBm	OK
13/10/2017 14:58:34	    25.250 MHz	 11.0 V/m	 -8.8 dBm	OK
13/10/2017 14:58:38	    25.503 MHz	 11.0 V/m	 -8.5 dBm	OK
13/10/2017 14:58:43	    25.758 MHz	 11.0 V/m	 -8.2 dBm	OK
13/10/2017 14:58:46	    26.015 MHz	 11.0 V/m	 -8.0 dBm	FAIL (LIMIT)
13/10/2017 14:58:54	    26.275 MHz	 11.2 V/m	 -7.6 dBm	OK
13/10/2017 14:58:57	    26.538 MHz	 11.0 V/m	 -7.6 dBm	OK
13/10/2017 14:59:01	    26.803 MHz	 11.2 V/m	 -7.9 dBm	OK
13/10/2017 14:59:05	    27.071 MHz	 11.2 V/m	 -8.4 dBm	OK
13/10/2017 14:59:09	    27.342 MHz	 11.2 V/m	 -9.0 dBm	OK
13/10/2017 14:59:15	    27.616 MHz	 11.2 V/m	 -9.9 dBm	OK
13/10/2017 14:59:20	    27.892 MHz	 11.2 V/m	-10.1 dBm	OK
13/10/2017 14:59:24	    28.171 MHz	 11.2 V/m	-10.3 dBm	OK
13/10/2017 14:59:28	    28.452 MHz	 11.2 V/m	-10.3 dBm	OK
13/10/2017 14:59:32	    28.737 MHz	 11.0 V/m	-10.1 dBm	OK
13/10/2017 14:59:36	    29.024 MHz	 11.0 V/m	 -9.9 dBm	OK
13/10/2017 14:59:41	    29.314 MHz	 11.2 V/m	 -9.7 dBm	OK
13/10/2017 14:59:44	    29.608 MHz	 11.2 V/m	 -9.7 dBm	OK
13/10/2017 14:59:48	    29.904 MHz	 11.2 V/m	 -9.7 dBm	OK
13/10/2017 14:59:52	    30.203 MHz	 11.2 V/m	 -9.9 dBm	OK
13/10/2017 14:59:56	    30.505 MHz	 11.2 V/m	-10.2 dBm	OK
13/10/2017 15:00:01	    30.810 MHz	 11.2 V/m	-10.6 dBm	OK
13/10/2017 15:00:05	    31.118 MHz	 11.2 V/m	-10.9 dBm	OK
13/10/2017 15:00:10	    31.429 MHz	 11.2 V/m	-11.2 dBm	OK
13/10/2017 15:00:13	    31.743 MHz	 11.2 V/m	-11.3 dBm	OK
13/10/2017 15:00:17	    32.061 MHz	 11.0 V/m	-11.3 dBm	OK
13/10/2017 15:00:21	    32.381 MHz	 11.0 V/m	-10.9 dBm	OK
13/10/2017 15:00:25	    32.705 MHz	 11.2 V/m	-10.8 dBm	OK
