17/10/2017 10:33:51	     1.000 MHz	  4.7 V/m	-12.0 dBm	FAIL (LIMIT)
17/10/2017 10:34:02	     1.010 MHz	  4.7 V/m	-29.0 dBm	OK
17/10/2017 10:34:05	     1.020 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:08	     1.030 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:11	     1.041 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:14	     1.051 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:18	     1.062 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:21	     1.072 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:24	     1.083 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:27	     1.094 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:30	     1.105 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:33	     1.116 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:36	     1.127 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:39	     1.138 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:42	     1.149 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:45	     1.161 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:48	     1.173 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:51	     1.184 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:54	     1.196 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:34:57	     1.208 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:35:00	     1.220 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:35:03	     1.232 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:35:06	     1.245 MHz	  4.7 V/m	-29.1 dBm	OK
17/10/2017 10:35:09	     1.257 MHz	  4.7 V/m	-29.1 dBm	OK
