19/09/2017 10:13:38	     1.000 MHz	  3.9 V/m	-25.2 dBm	OK
19/09/2017 10:13:42	     1.010 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:13:45	     1.020 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:13:48	     1.030 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:13:51	     1.041 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:13:54	     1.051 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:13:57	     1.062 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:00	     1.072 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:03	     1.083 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:06	     1.094 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:09	     1.105 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:12	     1.116 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:15	     1.127 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:18	     1.138 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:21	     1.149 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:24	     1.161 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:27	     1.173 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:30	     1.184 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:33	     1.196 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:36	     1.208 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:39	     1.220 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:42	     1.232 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:45	     1.245 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:48	     1.257 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:51	     1.270 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:54	     1.282 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:14:57	     1.295 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:00	     1.308 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:03	     1.321 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:06	     1.335 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:09	     1.348 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:12	     1.361 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:15	     1.375 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:18	     1.389 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:21	     1.403 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:24	     1.417 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:27	     1.431 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:30	     1.445 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:33	     1.460 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:36	     1.474 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:39	     1.489 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:42	     1.504 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:45	     1.519 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:48	     1.534 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:51	     1.549 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:54	     1.565 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:15:57	     1.580 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:00	     1.596 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:03	     1.612 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:06	     1.628 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:09	     1.645 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:12	     1.661 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:15	     1.678 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:18	     1.694 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:21	     1.711 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:24	     1.729 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:27	     1.746 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:30	     1.763 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:33	     1.781 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:36	     1.799 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:39	     1.817 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:42	     1.835 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:45	     1.853 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:48	     1.872 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:51	     1.890 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:54	     1.909 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:16:57	     1.928 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:00	     1.948 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:03	     1.967 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:06	     1.987 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:09	     2.007 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:12	     2.027 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:15	     2.047 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:18	     2.068 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:21	     2.088 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:24	     2.109 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:27	     2.130 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:30	     2.152 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:33	     2.173 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:36	     2.195 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:39	     2.217 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:42	     2.239 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:45	     2.261 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:48	     2.284 MHz	  4.0 V/m	-24.4 dBm	OK
19/09/2017 10:17:51	     2.307 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:17:54	     2.330 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:17:57	     2.353 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:00	     2.377 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:03	     2.400 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:06	     2.424 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:09	     2.449 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:12	     2.473 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:15	     2.498 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:18	     2.523 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:21	     2.548 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:24	     2.574 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:27	     2.599 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:30	     2.625 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:33	     2.652 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:36	     2.678 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:39	     2.705 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:42	     2.732 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:18:45	     2.759 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:18:49	     2.787 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:18:52	     2.815 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:18:55	     2.843 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:18:58	     2.871 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:01	     2.900 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:04	     2.929 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:07	     2.958 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:10	     2.988 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:13	     3.018 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:16	     3.048 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:19	     3.078 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:22	     3.109 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:25	     3.140 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:28	     3.172 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:31	     3.203 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:34	     3.235 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:37	     3.268 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:40	     3.300 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:43	     3.333 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:46	     3.367 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:49	     3.400 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:52	     3.434 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:55	     3.469 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:19:58	     3.503 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:20:02	     3.538 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:20:05	     3.574 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:20:08	     3.610 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:20:11	     3.646 MHz	  4.3 V/m	-24.4 dBm	OK
19/09/2017 10:20:14	     3.682 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:20:17	     3.719 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:20:20	     3.756 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:20:23	     3.794 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:20:26	     3.832 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:20:29	     3.870 MHz	  4.1 V/m	-24.4 dBm	OK
19/09/2017 10:20:32	     3.909 MHz	  4.1 V/m	-24.4 dBm	OK
