17/10/2017 11:41:28	     0.150 MHz	 11.2 V/m	-12.7 dBm	OK
17/10/2017 11:41:33	     0.160 MHz	 11.0 V/m	-13.1 dBm	OK
17/10/2017 11:41:37	     0.170 MHz	 11.0 V/m	-13.4 dBm	OK
17/10/2017 11:41:41	     0.180 MHz	 11.2 V/m	-13.7 dBm	OK
17/10/2017 11:41:45	     0.190 MHz	 11.2 V/m	-13.8 dBm	OK
17/10/2017 11:41:49	     0.200 MHz	 11.2 V/m	-14.1 dBm	OK
17/10/2017 11:41:53	     0.210 MHz	 11.2 V/m	-14.3 dBm	OK
17/10/2017 11:41:57	     0.220 MHz	 11.0 V/m	-14.6 dBm	OK
17/10/2017 11:42:00	     0.230 MHz	 11.2 V/m	-14.6 dBm	OK
17/10/2017 11:42:04	     0.240 MHz	 11.2 V/m	-14.9 dBm	OK
17/10/2017 11:42:07	     0.250 MHz	 11.2 V/m	-14.9 dBm	OK
17/10/2017 11:42:11	     0.260 MHz	 11.2 V/m	-15.2 dBm	OK
17/10/2017 11:42:14	     0.270 MHz	 11.2 V/m	-15.2 dBm	OK
17/10/2017 11:42:18	     0.280 MHz	 11.2 V/m	-15.4 dBm	OK
17/10/2017 11:42:22	     0.290 MHz	 11.2 V/m	-15.4 dBm	OK
17/10/2017 11:42:26	     0.300 MHz	 11.2 V/m	-15.6 dBm	OK
17/10/2017 11:42:29	     0.310 MHz	 11.2 V/m	-15.6 dBm	OK
17/10/2017 11:42:32	     0.320 MHz	 11.2 V/m	-15.6 dBm	OK
17/10/2017 11:42:36	     0.330 MHz	 11.0 V/m	-15.8 dBm	OK
17/10/2017 11:42:39	     0.340 MHz	 11.2 V/m	-15.8 dBm	OK
17/10/2017 11:42:42	     0.350 MHz	 11.2 V/m	-15.8 dBm	OK
17/10/2017 11:42:45	     0.360 MHz	 11.2 V/m	-15.8 dBm	OK
17/10/2017 11:42:49	     0.370 MHz	 11.2 V/m	-16.0 dBm	OK
17/10/2017 11:42:52	     0.380 MHz	 11.2 V/m	-16.0 dBm	OK
17/10/2017 11:42:55	     0.390 MHz	 11.2 V/m	-16.0 dBm	OK
17/10/2017 11:42:58	     0.400 MHz	 11.2 V/m	-16.0 dBm	OK
17/10/2017 11:43:01	     0.410 MHz	 11.2 V/m	-16.0 dBm	OK
17/10/2017 11:43:04	     0.420 MHz	 11.2 V/m	-16.0 dBm	OK
17/10/2017 11:43:08	     0.430 MHz	 11.2 V/m	-16.0 dBm	OK
17/10/2017 11:43:12	     0.440 MHz	 11.2 V/m	-16.0 dBm	OK
17/10/2017 11:43:15	     0.450 MHz	 11.2 V/m	-16.0 dBm	OK
17/10/2017 11:43:19	     0.460 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:22	     0.470 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:25	     0.480 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:28	     0.490 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:31	     0.500 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:34	     0.510 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:37	     0.520 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:40	     0.530 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:43	     0.540 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:46	     0.550 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:49	     0.560 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:52	     0.570 MHz	 11.2 V/m	-16.1 dBm	OK
17/10/2017 11:43:55	     0.580 MHz	 11.2 V/m	-16.1 dBm	OK
