19/10/2017 11:11:36	     1.000 MHz	 11.4 V/m	 -6.0 dBm	OK
19/10/2017 11:11:39	     1.010 MHz	 11.4 V/m	 -6.0 dBm	OK
19/10/2017 11:11:42	     1.020 MHz	 11.4 V/m	 -6.0 dBm	OK
19/10/2017 11:11:46	     1.030 MHz	 11.7 V/m	 -6.0 dBm	OK
19/10/2017 11:11:49	     1.041 MHz	 11.7 V/m	 -6.0 dBm	OK
19/10/2017 11:11:53	     1.051 MHz	 11.7 V/m	 -6.2 dBm	OK
19/10/2017 11:11:56	     1.062 MHz	 11.7 V/m	 -6.2 dBm	OK
19/10/2017 11:12:00	     1.072 MHz	 11.7 V/m	 -6.3 dBm	OK
19/10/2017 11:12:04	     1.083 MHz	 11.7 V/m	 -6.4 dBm	OK
19/10/2017 11:12:07	     1.094 MHz	 11.7 V/m	 -6.4 dBm	OK
19/10/2017 11:12:10	     1.105 MHz	 11.7 V/m	 -6.5 dBm	OK
19/10/2017 11:12:14	     1.116 MHz	 11.7 V/m	 -6.6 dBm	OK
19/10/2017 11:12:18	     1.127 MHz	 11.7 V/m	 -6.7 dBm	OK
19/10/2017 11:12:22	     1.138 MHz	 11.7 V/m	 -6.9 dBm	OK
19/10/2017 11:12:25	     1.149 MHz	 11.7 V/m	 -6.9 dBm	OK
19/10/2017 11:12:28	     1.161 MHz	 11.7 V/m	 -6.9 dBm	OK
19/10/2017 11:12:32	     1.173 MHz	 11.7 V/m	 -7.0 dBm	OK
19/10/2017 11:12:36	     1.184 MHz	 11.7 V/m	 -7.2 dBm	OK
19/10/2017 11:12:39	     1.196 MHz	 11.7 V/m	 -7.2 dBm	OK
19/10/2017 11:12:42	     1.208 MHz	 11.7 V/m	 -7.2 dBm	OK
19/10/2017 11:12:46	     1.220 MHz	 11.7 V/m	 -7.3 dBm	OK
19/10/2017 11:12:49	     1.232 MHz	 11.7 V/m	 -7.4 dBm	OK
19/10/2017 11:12:53	     1.245 MHz	 11.7 V/m	 -7.5 dBm	OK
19/10/2017 11:12:56	     1.257 MHz	 11.7 V/m	 -7.5 dBm	OK
19/10/2017 11:13:00	     1.270 MHz	 11.7 V/m	 -7.7 dBm	OK
19/10/2017 11:13:03	     1.282 MHz	 11.7 V/m	 -7.7 dBm	OK
19/10/2017 11:13:06	     1.295 MHz	 11.7 V/m	 -7.7 dBm	OK
19/10/2017 11:13:10	     1.308 MHz	 11.7 V/m	 -7.9 dBm	OK
19/10/2017 11:13:13	     1.321 MHz	 11.7 V/m	 -7.9 dBm	OK
19/10/2017 11:13:16	     1.335 MHz	 11.7 V/m	 -7.9 dBm	OK
19/10/2017 11:13:20	     1.348 MHz	 11.7 V/m	 -8.0 dBm	OK
19/10/2017 11:13:23	     1.361 MHz	 11.7 V/m	 -8.0 dBm	OK
19/10/2017 11:13:27	     1.375 MHz	 11.7 V/m	 -8.1 dBm	OK
19/10/2017 11:13:31	     1.389 MHz	 11.7 V/m	 -8.1 dBm	OK
19/10/2017 11:13:35	     1.403 MHz	 11.7 V/m	 -8.2 dBm	OK
19/10/2017 11:13:38	     1.417 MHz	 11.7 V/m	 -8.2 dBm	OK
19/10/2017 11:13:42	     1.431 MHz	 11.7 V/m	 -8.3 dBm	OK
19/10/2017 11:13:45	     1.445 MHz	 11.7 V/m	 -8.3 dBm	OK
19/10/2017 11:13:49	     1.460 MHz	 11.7 V/m	 -8.5 dBm	OK
19/10/2017 11:13:52	     1.474 MHz	 11.7 V/m	 -8.5 dBm	OK
19/10/2017 11:13:55	     1.489 MHz	 11.7 V/m	 -8.5 dBm	OK
19/10/2017 11:13:58	     1.504 MHz	 11.7 V/m	 -8.5 dBm	OK
