20/11/2017 09:54:22	    80.000 MHz	 13.3 V/m	 -8.6 dBm	OK	IP0: 30064	(10.80 V/m)	Digital: 0XFF
20/11/2017 09:54:29	    80.400 MHz	 13.9 V/m	 -8.4 dBm	OK	IP0: 30066	(11.16 V/m)	Digital: 0XFF
20/11/2017 09:54:36	    80.802 MHz	 14.0 V/m	 -8.5 dBm	OK	IP0: 30053	(11.13 V/m)	Digital: 0XFF
20/11/2017 09:54:44	    81.206 MHz	 13.5 V/m	 -8.6 dBm	OK	IP0: 29911	(11.17 V/m)	Digital: 0XFF
20/11/2017 09:54:52	    81.612 MHz	 13.6 V/m	 -8.7 dBm	OK	IP0: 29849	(11.11 V/m)	Digital: 0XFF
20/11/2017 09:55:00	    82.020 MHz	 13.5 V/m	 -8.8 dBm	OK	IP0: 29808	(11.18 V/m)	Digital: 0XFF
20/11/2017 09:55:08	    82.430 MHz	 13.5 V/m	 -8.9 dBm	OK	IP0: 29656	(11.15 V/m)	Digital: 0XFF
20/11/2017 09:55:16	    82.842 MHz	 13.6 V/m	 -8.9 dBm	OK	IP0: 29613	(11.12 V/m)	Digital: 0XFF
20/11/2017 09:55:24	    83.257 MHz	 13.6 V/m	 -9.0 dBm	OK	IP0: 29547	(11.18 V/m)	Digital: 0XFF
20/11/2017 09:55:32	    83.673 MHz	 13.5 V/m	 -9.2 dBm	OK	IP0: 29414	(11.17 V/m)	Digital: 0XFF
20/11/2017 09:55:40	    84.091 MHz	 13.5 V/m	 -9.3 dBm	OK	IP0: 29329	(11.15 V/m)	Digital: 0XFF
20/11/2017 09:55:48	    84.512 MHz	 13.6 V/m	 -9.3 dBm	OK	IP0: 29285	(11.13 V/m)	Digital: 0XFF
20/11/2017 09:55:56	    84.934 MHz	 13.7 V/m	 -9.3 dBm	OK	IP0: 29215	(11.12 V/m)	Digital: 0XFF
20/11/2017 09:56:04	    85.359 MHz	 13.8 V/m	 -9.2 dBm	OK	IP0: 29152	(11.09 V/m)	Digital: 0XFF
20/11/2017 09:56:12	    85.786 MHz	 13.9 V/m	 -9.2 dBm	OK	IP0: 29122	(11.11 V/m)	Digital: 0XFF
20/11/2017 09:56:20	    86.215 MHz	 14.0 V/m	 -9.1 dBm	OK	IP0: 29075	(11.13 V/m)	Digital: 0XFF
20/11/2017 09:56:28	    86.646 MHz	 14.1 V/m	 -9.1 dBm	OK	IP0: 29009	(11.12 V/m)	Digital: 0XFF
