23/11/2017 13:14:55	    80.000 MHz	 11.6 V/m	 -8.4 dBm	OK	IP0: 30064	(10.89 V/m)	Digital: 0XFF
23/11/2017 13:15:01	    80.400 MHz	 11.6 V/m	 -8.5 dBm	OK	IP0: 30064	(11.15 V/m)	Digital: 0XFF
23/11/2017 13:15:08	    80.802 MHz	 11.6 V/m	 -8.7 dBm	OK	IP0: 29978	(11.13 V/m)	Digital: 0XFF
23/11/2017 13:15:14	    81.206 MHz	 11.7 V/m	 -8.8 dBm	OK	IP0: 29993	(11.17 V/m)	Digital: 0XFF
23/11/2017 13:15:20	    81.612 MHz	 11.6 V/m	 -9.0 dBm	OK	IP0: 29836	(11.18 V/m)	Digital: 0XFF
23/11/2017 13:15:26	    82.020 MHz	 11.3 V/m	 -9.3 dBm	OK	IP0: 29736	(10.99 V/m)	Digital: 0XFF
23/11/2017 13:15:32	    82.430 MHz	 11.3 V/m	 -9.3 dBm	OK	IP0: 29734	(11.19 V/m)	Digital: 0XFF
23/11/2017 13:15:38	    82.842 MHz	 10.9 V/m	 -9.7 dBm	OK	IP0: 29528	(11.02 V/m)	Digital: 0XFF
23/11/2017 13:15:43	    83.257 MHz	 11.2 V/m	 -9.7 dBm	OK	IP0: 29547	(11.08 V/m)	Digital: 0XFF
23/11/2017 13:15:49	    83.673 MHz	 11.0 V/m	 -9.8 dBm	OK	IP0: 29443	(11.11 V/m)	Digital: 0XFF
23/11/2017 13:15:55	    84.091 MHz	 11.1 V/m	-10.0 dBm	OK	IP0: 29369	(11.18 V/m)	Digital: 0XFF
23/11/2017 13:16:00	    84.512 MHz	 11.9 V/m	-10.0 dBm	OK	IP0: 29293	(11.14 V/m)	Digital: 0XFF
23/11/2017 13:16:06	    84.934 MHz	 12.0 V/m	-10.1 dBm	OK	IP0: 29289	(11.16 V/m)	Digital: 0XFF
23/11/2017 13:16:12	    85.359 MHz	 12.7 V/m	-10.0 dBm	OK	IP0: 29247	(11.18 V/m)	Digital: 0XFF
23/11/2017 13:16:18	    85.786 MHz	 12.7 V/m	-10.1 dBm	OK	IP0: 29101	(11.15 V/m)	Digital: 0XFF
23/11/2017 13:16:24	    86.215 MHz	 12.5 V/m	-10.1 dBm	OK	IP0: 29029	(11.14 V/m)	Digital: 0XFF
23/11/2017 13:16:46	    86.646 MHz	 12.4 V/m	-10.1 dBm	OK	IP0: 28977	(11.07 V/m)	Digital: 0XFF
23/11/2017 13:16:52	    87.079 MHz	 12.4 V/m	-10.2 dBm	OK	IP0: 28902	(11.09 V/m)	Digital: 0XFF
23/11/2017 13:16:57	    87.514 MHz	 13.0 V/m	-10.1 dBm	OK	IP0: 28874	(11.00 V/m)	Digital: 0XFF
23/11/2017 13:17:02	    87.952 MHz	 13.2 V/m	-10.1 dBm	OK	IP0: 28792	(11.16 V/m)	Digital: 0XFF
23/11/2017 13:17:08	    88.392 MHz	 12.4 V/m	-10.0 dBm	OK	IP0: 28753	(11.02 V/m)	Digital: 0XFF
23/11/2017 13:17:14	    88.834 MHz	 12.3 V/m	-10.0 dBm	OK	IP0: 28716	(11.09 V/m)	Digital: 0XFF
23/11/2017 13:17:20	    89.278 MHz	 12.2 V/m	-10.0 dBm	OK	IP0: 28668	(11.20 V/m)	Digital: 0XFF
23/11/2017 13:17:26	    89.724 MHz	 12.0 V/m	-10.1 dBm	OK	IP0: 28556	(11.13 V/m)	Digital: 0XFF
23/11/2017 13:17:32	    90.173 MHz	 12.0 V/m	-10.0 dBm	OK	IP0: 28563	(11.12 V/m)	Digital: 0XFF
23/11/2017 13:17:38	    90.624 MHz	 11.8 V/m	-10.2 dBm	OK	IP0: 28415	(11.20 V/m)	Digital: 0XFF
23/11/2017 13:17:44	    91.077 MHz	 11.5 V/m	-10.3 dBm	OK	IP0: 28333	(11.07 V/m)	Digital: 0XFF
23/11/2017 13:17:50	    91.532 MHz	 11.4 V/m	-10.4 dBm	OK	IP0: 28270	(11.05 V/m)	Digital: 0XFF
23/11/2017 13:17:56	    91.990 MHz	 11.4 V/m	-10.5 dBm	OK	IP0: 28198	(11.10 V/m)	Digital: 0XFF
23/11/2017 13:18:01	    92.450 MHz	 11.9 V/m	-10.2 dBm	OK	IP0: 28296	(11.12 V/m)	Digital: 0XFF
23/11/2017 13:18:07	    92.912 MHz	 11.9 V/m	-10.0 dBm	OK	IP0: 28346	(11.19 V/m)	Digital: 0XFF
23/11/2017 13:18:13	    93.377 MHz	 12.4 V/m	 -9.8 dBm	OK	IP0: 28349	(11.13 V/m)	Digital: 0XFF
23/11/2017 13:18:18	    93.843 MHz	 13.6 V/m	 -9.2 dBm	OK	IP0: 28465	(11.07 V/m)	Digital: 0XFF
23/11/2017 13:18:22	    94.313 MHz	 15.1 V/m	 -8.7 dBm	OK	IP0: 28489	(11.12 V/m)	Digital: 0XFF
23/11/2017 13:18:26	    94.784 MHz	 16.1 V/m	 -8.4 dBm	OK	IP0: 28573	(11.19 V/m)	Digital: 0XFF
23/11/2017 13:18:32	    95.258 MHz	 15.5 V/m	 -8.3 dBm	OK	IP0: 28648	(11.14 V/m)	Digital: 0XFF
23/11/2017 13:18:38	    95.734 MHz	 15.2 V/m	 -8.3 dBm	OK	IP0: 28655	(11.13 V/m)	Digital: 0XFF
23/11/2017 13:18:44	    96.213 MHz	 15.2 V/m	 -8.1 dBm	OK	IP0: 28794	(11.19 V/m)	Digital: 0XFF
23/11/2017 13:18:50	    96.694 MHz	 15.0 V/m	 -7.9 dBm	OK	IP0: 28834	(11.12 V/m)	Digital: 0XFF
23/11/2017 13:18:56	    97.178 MHz	 15.3 V/m	 -7.7 dBm	OK	IP0: 28884	(11.15 V/m)	Digital: 0XFF
23/11/2017 13:19:02	    97.664 MHz	 15.9 V/m	 -7.5 dBm	OK	IP0: 28901	(11.10 V/m)	Digital: 0XFF
23/11/2017 13:19:08	    98.152 MHz	 16.6 V/m	 -7.4 dBm	OK	IP0: 28958	(11.08 V/m)	Digital: 0XFF
23/11/2017 13:19:14	    98.643 MHz	 16.4 V/m	 -7.3 dBm	OK	IP0: 29091	(11.20 V/m)	Digital: 0XFF
23/11/2017 13:19:20	    99.136 MHz	 15.5 V/m	 -7.4 dBm	OK	IP0: 29126	(11.03 V/m)	Digital: 0XFF
23/11/2017 13:19:25	    99.632 MHz	 15.9 V/m	 -7.2 dBm	OK	IP0: 29191	(11.16 V/m)	Digital: 0XFF
23/11/2017 13:19:30	   100.130 MHz	 16.8 V/m	 -7.2 dBm	OK	IP0: 29189	(11.07 V/m)	Digital: 0XFF
23/11/2017 13:19:36	   100.630 MHz	 17.2 V/m	 -7.3 dBm	OK	IP0: 29114	(11.15 V/m)	Digital: 0XFF
23/11/2017 13:19:42	   101.133 MHz	 18.5 V/m	 -7.6 dBm	OK	IP0: 29109	(11.15 V/m)	Digital: 0XFF
23/11/2017 13:19:48	   101.639 MHz	 19.8 V/m	 -7.9 dBm	OK	IP0: 29099	(11.18 V/m)	Digital: 0XFF
23/11/2017 13:19:54	   102.147 MHz	 20.6 V/m	 -8.3 dBm	OK	IP0: 29027	(11.18 V/m)	Digital: 0XFF
23/11/2017 13:20:01	   102.658 MHz	 20.6 V/m	 -8.9 dBm	OK	IP0: 28943	(10.96 V/m)	Digital: 0XFF
23/11/2017 13:20:07	   103.171 MHz	 20.8 V/m	 -9.3 dBm	OK	IP0: 28918	(11.19 V/m)	Digital: 0XFF
23/11/2017 13:20:14	   103.687 MHz	 20.3 V/m	 -9.6 dBm	OK	IP0: 28855	(11.11 V/m)	Digital: 0XFF
23/11/2017 13:20:20	   104.206 MHz	 19.3 V/m	 -9.7 dBm	OK	IP0: 28892	(11.14 V/m)	Digital: 0XFF
23/11/2017 13:20:26	   104.727 MHz	 16.8 V/m	 -9.7 dBm	OK	IP0: 28834	(11.11 V/m)	Digital: 0XFF
23/11/2017 13:20:32	   105.250 MHz	 13.0 V/m	 -9.8 dBm	OK	IP0: 28846	(11.05 V/m)	Digital: 0XFF
23/11/2017 13:20:38	   105.777 MHz	  9.3 V/m	-10.0 dBm	OK	IP0: 28789	(11.09 V/m)	Digital: 0XFF
23/11/2017 13:20:44	   106.305 MHz	  7.0 V/m	-10.2 dBm	OK	IP0: 28852	(11.01 V/m)	Digital: 0XFF
23/11/2017 13:20:50	   106.837 MHz	  6.1 V/m	-10.5 dBm	OK	IP0: 28794	(10.92 V/m)	Digital: 0XFF
23/11/2017 13:20:56	   107.371 MHz	  6.3 V/m	-10.5 dBm	OK	IP0: 28886	(11.13 V/m)	Digital: 0XFF
23/11/2017 13:21:01	   107.908 MHz	  7.0 V/m	-10.6 dBm	OK	IP0: 28866	(11.09 V/m)	Digital: 0XFF
23/11/2017 13:21:07	   108.448 MHz	  7.1 V/m	-10.9 dBm	OK	IP0: 28790	(10.85 V/m)	Digital: 0XFF
23/11/2017 13:21:13	   108.990 MHz	  7.7 V/m	-10.8 dBm	OK	IP0: 28892	(11.13 V/m)	Digital: 0XFF
23/11/2017 13:21:18	   109.535 MHz	  8.3 V/m	-10.9 dBm	OK	IP0: 28812	(11.13 V/m)	Digital: 0XFF
23/11/2017 13:21:22	   110.082 MHz	  8.8 V/m	-10.8 dBm	OK	IP0: 28929	(11.18 V/m)	Digital: 0XFF
23/11/2017 13:21:28	   110.633 MHz	  8.6 V/m	-10.8 dBm	OK	IP0: 28900	(11.14 V/m)	Digital: 0XFF
23/11/2017 13:21:34	   111.186 MHz	  8.8 V/m	-10.8 dBm	OK	IP0: 28865	(11.14 V/m)	Digital: 0XFF
