23/11/2017 15:30:38	    80.000 MHz	 12.5 V/m	 -8.8 dBm	OK	IP0: 30069	(10.88 V/m)	Digital: 0XFF
23/11/2017 15:30:44	    80.400 MHz	 11.8 V/m	 -8.6 dBm	OK	IP0: 30109	(11.18 V/m)	Digital: 0XFF
23/11/2017 15:30:50	    80.802 MHz	 11.3 V/m	 -8.7 dBm	OK	IP0: 30039	(11.18 V/m)	Digital: 0XFF
23/11/2017 15:30:56	    81.206 MHz	 11.1 V/m	 -8.9 dBm	OK	IP0: 29873	(11.08 V/m)	Digital: 0XFF
23/11/2017 15:31:02	    81.612 MHz	 11.3 V/m	 -8.9 dBm	OK	IP0: 29829	(11.14 V/m)	Digital: 0XFF
23/11/2017 15:31:08	    82.020 MHz	 11.7 V/m	 -9.0 dBm	OK	IP0: 29788	(11.10 V/m)	Digital: 0XFF
23/11/2017 15:31:13	    82.430 MHz	 12.3 V/m	 -9.0 dBm	OK	IP0: 29759	(11.19 V/m)	Digital: 0XFF
23/11/2017 15:31:19	    82.842 MHz	 12.0 V/m	 -9.4 dBm	OK	IP0: 29500	(11.01 V/m)	Digital: 0XFF
23/11/2017 15:31:25	    83.257 MHz	 12.5 V/m	 -9.3 dBm	OK	IP0: 29516	(11.18 V/m)	Digital: 0XFF
23/11/2017 15:31:31	    83.673 MHz	 12.4 V/m	 -9.5 dBm	OK	IP0: 29369	(10.92 V/m)	Digital: 0XFF
23/11/2017 15:31:36	    84.091 MHz	 12.7 V/m	 -9.5 dBm	OK	IP0: 29336	(11.12 V/m)	Digital: 0XFF
23/11/2017 15:31:41	    84.512 MHz	 12.8 V/m	 -9.5 dBm	OK	IP0: 29310	(11.17 V/m)	Digital: 0XFF
23/11/2017 15:31:47	    84.934 MHz	 13.1 V/m	 -9.4 dBm	OK	IP0: 29303	(11.16 V/m)	Digital: 0XFF
23/11/2017 15:31:54	    85.359 MHz	 13.3 V/m	 -9.5 dBm	OK	IP0: 29155	(11.04 V/m)	Digital: 0XFF
23/11/2017 15:32:00	    85.786 MHz	 13.2 V/m	 -9.6 dBm	OK	IP0: 29026	(11.13 V/m)	Digital: 0XFF
23/11/2017 15:32:05	    86.215 MHz	 13.7 V/m	 -9.5 dBm	OK	IP0: 29067	(11.12 V/m)	Digital: 0XFF
23/11/2017 15:32:11	    86.646 MHz	 13.3 V/m	 -9.5 dBm	OK	IP0: 28958	(11.02 V/m)	Digital: 0XFF
23/11/2017 15:32:17	    87.079 MHz	 13.4 V/m	 -9.4 dBm	OK	IP0: 28926	(11.02 V/m)	Digital: 0XFF
23/11/2017 15:32:23	    87.514 MHz	 13.1 V/m	 -9.4 dBm	OK	IP0: 28853	(10.98 V/m)	Digital: 0XFF
23/11/2017 15:32:29	    87.952 MHz	 13.2 V/m	 -9.2 dBm	OK	IP0: 28870	(11.16 V/m)	Digital: 0XFF
23/11/2017 15:32:34	    88.392 MHz	 13.8 V/m	 -9.3 dBm	OK	IP0: 28795	(11.13 V/m)	Digital: 0XFF
23/11/2017 15:32:41	    88.834 MHz	 12.7 V/m	 -9.4 dBm	OK	IP0: 28676	(11.05 V/m)	Digital: 0XFF
23/11/2017 15:32:47	    89.278 MHz	 12.6 V/m	 -9.3 dBm	OK	IP0: 28647	(11.15 V/m)	Digital: 0XFF
23/11/2017 15:32:53	    89.724 MHz	 12.2 V/m	 -9.3 dBm	OK	IP0: 28572	(11.15 V/m)	Digital: 0XFF
23/11/2017 15:32:59	    90.173 MHz	 11.9 V/m	 -9.3 dBm	OK	IP0: 28499	(11.20 V/m)	Digital: 0XFF
23/11/2017 15:33:05	    90.624 MHz	 12.0 V/m	 -9.3 dBm	OK	IP0: 28464	(11.20 V/m)	Digital: 0XFF
23/11/2017 15:33:10	    91.077 MHz	 12.8 V/m	 -9.5 dBm	OK	IP0: 28394	(11.14 V/m)	Digital: 0XFF
23/11/2017 15:33:14	    91.532 MHz	 13.8 V/m	 -9.5 dBm	OK	IP0: 28336	(11.19 V/m)	Digital: 0XFF
23/11/2017 15:33:20	    91.990 MHz	 13.4 V/m	 -9.6 dBm	OK	IP0: 28199	(11.19 V/m)	Digital: 0XFF
