29/04/2015 09:46:50	    80.000 MHz	 V/m	 -6.7 dBm	OK	IP0: 27920	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:46:54	    80.400 MHz	 V/m	 -6.8 dBm	OK	IP0: 27898	(11.10 V/m)	Digital: 0XFF
29/04/2015 09:46:58	    80.802 MHz	 V/m	 -6.8 dBm	OK	IP0: 27854	(11.19 V/m)	Digital: 0XFF
29/04/2015 09:47:02	    81.206 MHz	 V/m	 -6.9 dBm	OK	IP0: 27821	(11.09 V/m)	Digital: 0XFF
29/04/2015 09:47:06	    81.612 MHz	 V/m	 -6.9 dBm	OK	IP0: 27764	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:47:10	    82.020 MHz	 V/m	 -7.0 dBm	OK	IP0: 27670	(11.07 V/m)	Digital: 0XFF
29/04/2015 09:47:14	    82.430 MHz	 V/m	 -7.0 dBm	OK	IP0: 27629	(11.16 V/m)	Digital: 0XFF
29/04/2015 09:47:18	    82.842 MHz	 V/m	 -7.0 dBm	OK	IP0: 27575	(11.07 V/m)	Digital: 0XFF
29/04/2015 09:47:22	    83.257 MHz	 V/m	 -7.0 dBm	OK	IP0: 27518	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:47:26	    83.673 MHz	 V/m	 -6.9 dBm	OK	IP0: 27524	(11.17 V/m)	Digital: 0XFF
29/04/2015 09:47:30	    84.091 MHz	 V/m	 -6.9 dBm	OK	IP0: 27436	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:47:34	    84.512 MHz	 V/m	 -6.9 dBm	OK	IP0: 27382	(11.18 V/m)	Digital: 0XFF
29/04/2015 09:47:38	    84.934 MHz	 V/m	 -6.9 dBm	OK	IP0: 27390	(11.17 V/m)	Digital: 0XFF
29/04/2015 09:47:42	    85.359 MHz	 V/m	 -6.9 dBm	OK	IP0: 27334	(11.14 V/m)	Digital: 0XFF
29/04/2015 09:47:46	    85.786 MHz	 V/m	 -6.9 dBm	OK	IP0: 27368	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:47:50	    86.215 MHz	 V/m	 -6.8 dBm	OK	IP0: 27333	(11.19 V/m)	Digital: 0XFF
29/04/2015 09:47:54	    86.646 MHz	 V/m	 -6.8 dBm	OK	IP0: 27220	(11.19 V/m)	Digital: 0XFF
29/04/2015 09:47:58	    87.079 MHz	 V/m	 -6.9 dBm	OK	IP0: 27103	(11.12 V/m)	Digital: 0XFF
29/04/2015 09:48:02	    87.514 MHz	 V/m	 -6.8 dBm	OK	IP0: 27208	(11.20 V/m)	Digital: 0XFF
29/04/2015 09:48:06	    87.952 MHz	 V/m	 -6.8 dBm	OK	IP0: 27141	(11.18 V/m)	Digital: 0XFF
29/04/2015 09:48:10	    88.392 MHz	 V/m	 -6.9 dBm	OK	IP0: 27088	(11.19 V/m)	Digital: 0XFF
29/04/2015 09:48:14	    88.834 MHz	 V/m	 -6.9 dBm	OK	IP0: 27036	(11.19 V/m)	Digital: 0XFF
