26/03/2018 16:18:02	    90.000 MHz	 15.1 V/m	 -9.5 dBm	OK	IP0: 28391	(10.82 V/m)	Digital: 0XFF
26/03/2018 16:18:08	    90.450 MHz	 15.6 V/m	 -9.3 dBm	OK	IP0: 28482	(11.09 V/m)	Digital: 0XFF
26/03/2018 16:18:13	    90.902 MHz	 16.1 V/m	 -9.3 dBm	OK	IP0: 28369	(11.19 V/m)	Digital: 0XFF
26/03/2018 16:18:19	    91.357 MHz	 15.8 V/m	 -9.3 dBm	OK	IP0: 28365	(11.15 V/m)	Digital: 0XFF
26/03/2018 16:18:26	    91.814 MHz	 15.7 V/m	 -9.3 dBm	OK	IP0: 28293	(11.16 V/m)	Digital: 0XFF
26/03/2018 16:18:32	    92.273 MHz	 15.7 V/m	 -9.3 dBm	OK	IP0: 28266	(11.20 V/m)	Digital: 0XFF
26/03/2018 16:18:37	    92.734 MHz	 16.3 V/m	 -9.1 dBm	OK	IP0: 28325	(11.19 V/m)	Digital: 0XFF
26/03/2018 16:18:43	    93.198 MHz	 16.1 V/m	 -9.0 dBm	OK	IP0: 28343	(11.09 V/m)	Digital: 0XFF
26/03/2018 16:18:48	    93.664 MHz	 17.0 V/m	 -8.7 dBm	OK	IP0: 28486	(11.18 V/m)	Digital: 0XFF
26/03/2018 16:18:54	    94.132 MHz	 16.4 V/m	 -8.7 dBm	OK	IP0: 28457	(11.13 V/m)	Digital: 0XFF
26/03/2018 16:19:02	    94.603 MHz	 16.5 V/m	 -8.5 dBm	OK	IP0: 28556	(11.16 V/m)	Digital: 0XFF
26/03/2018 16:19:07	    95.076 MHz	 17.3 V/m	 -8.3 dBm	OK	IP0: 28662	(11.14 V/m)	Digital: 0XFF
26/03/2018 16:19:13	    95.551 MHz	 16.7 V/m	 -8.3 dBm	OK	IP0: 28656	(11.08 V/m)	Digital: 0XFF
26/03/2018 16:19:19	    96.029 MHz	 16.8 V/m	 -8.2 dBm	OK	IP0: 28735	(11.19 V/m)	Digital: 0XFF
26/03/2018 16:19:25	    96.509 MHz	 16.7 V/m	 -8.2 dBm	OK	IP0: 28781	(11.07 V/m)	Digital: 0XFF
26/03/2018 16:19:31	    96.991 MHz	 16.6 V/m	 -8.2 dBm	OK	IP0: 28859	(11.09 V/m)	Digital: 0XFF
26/03/2018 16:19:38	    97.476 MHz	 16.4 V/m	 -8.4 dBm	OK	IP0: 28885	(10.98 V/m)	Digital: 0XFF
26/03/2018 16:19:44	    97.964 MHz	 16.4 V/m	 -8.3 dBm	OK	IP0: 28964	(11.10 V/m)	Digital: 0XFF
26/03/2018 16:19:49	    98.454 MHz	 17.2 V/m	 -8.3 dBm	OK	IP0: 29075	(11.17 V/m)	Digital: 0XFF
26/03/2018 16:19:55	    98.946 MHz	 16.4 V/m	 -8.4 dBm	OK	IP0: 29140	(11.19 V/m)	Digital: 0XFF
26/03/2018 16:20:01	    99.441 MHz	 16.1 V/m	 -8.6 dBm	OK	IP0: 29177	(11.07 V/m)	Digital: 0XFF
26/03/2018 16:20:07	    99.938 MHz	 16.0 V/m	 -8.6 dBm	OK	IP0: 29231	(11.15 V/m)	Digital: 0XFF
26/03/2018 16:20:14	   100.437 MHz	 15.6 V/m	 -8.9 dBm	OK	IP0: 29199	(11.06 V/m)	Digital: 0XFF
26/03/2018 16:20:20	   100.940 MHz	 15.2 V/m	 -9.1 dBm	OK	IP0: 29151	(11.11 V/m)	Digital: 0XFF
26/03/2018 16:20:26	   101.444 MHz	 14.7 V/m	 -9.3 dBm	OK	IP0: 29135	(11.17 V/m)	Digital: 0XFF
26/03/2018 16:20:32	   101.952 MHz	 14.2 V/m	 -9.6 dBm	OK	IP0: 29064	(11.18 V/m)	Digital: 0XFF
26/03/2018 16:20:38	   102.461 MHz	 13.8 V/m	 -9.8 dBm	OK	IP0: 29024	(11.14 V/m)	Digital: 0XFF
26/03/2018 16:20:45	   102.974 MHz	 13.2 V/m	-10.2 dBm	OK	IP0: 28944	(11.06 V/m)	Digital: 0XFF
26/03/2018 16:20:51	   103.489 MHz	 12.9 V/m	-10.5 dBm	OK	IP0: 28903	(11.04 V/m)	Digital: 0XFF
26/03/2018 16:20:58	   104.006 MHz	 12.6 V/m	-10.7 dBm	OK	IP0: 28861	(11.18 V/m)	Digital: 0XFF
26/03/2018 16:21:04	   104.526 MHz	 12.5 V/m	-10.8 dBm	OK	IP0: 28881	(11.11 V/m)	Digital: 0XFF
26/03/2018 16:21:10	   105.049 MHz	 12.4 V/m	-11.0 dBm	OK	IP0: 28868	(11.10 V/m)	Digital: 0XFF
26/03/2018 16:21:16	   105.574 MHz	 12.3 V/m	-11.0 dBm	OK	IP0: 28855	(11.17 V/m)	Digital: 0XFF
26/03/2018 16:21:22	   106.102 MHz	 12.4 V/m	-11.0 dBm	OK	IP0: 28883	(11.20 V/m)	Digital: 0XFF
26/03/2018 16:21:28	   106.632 MHz	 12.4 V/m	-11.0 dBm	OK	IP0: 28832	(11.06 V/m)	Digital: 0XFF
26/03/2018 16:21:33	   107.165 MHz	 12.7 V/m	-11.0 dBm	OK	IP0: 28856	(11.18 V/m)	Digital: 0XFF
