09/08/2017 12:03:28	    80.000 MHz	 14.5 V/m	 -8.9 dBm	OK	IP0: 30998	(10.52 V/m)	Digital: 0XFF
09/08/2017 12:03:32	    80.500 MHz	 14.7 V/m	 -8.9 dBm	OK	IP0: 30949	(10.58 V/m)	Digital: 0XFF
09/08/2017 12:03:36	    81.000 MHz	 15.0 V/m	 -8.9 dBm	OK	IP0: 30859	(10.69 V/m)	Digital: 0XFF
09/08/2017 12:03:40	    81.500 MHz	 15.2 V/m	 -8.9 dBm	OK	IP0: 30850	(10.69 V/m)	Digital: 0XFF
09/08/2017 12:03:44	    82.000 MHz	 15.3 V/m	 -8.9 dBm	OK	IP0: 30789	(10.90 V/m)	Digital: 0XFF
09/08/2017 12:03:48	    82.500 MHz	 15.5 V/m	 -8.9 dBm	OK	IP0: 30695	(10.99 V/m)	Digital: 0XFF
09/08/2017 12:03:52	    83.000 MHz	 15.6 V/m	 -8.9 dBm	OK	IP0: 30672	(10.99 V/m)	Digital: 0XFF
09/08/2017 12:03:57	    83.500 MHz	 15.5 V/m	 -8.9 dBm	OK	IP0: 30595	(11.18 V/m)	Digital: 0XFF
09/08/2017 12:04:01	    84.000 MHz	 15.5 V/m	 -8.9 dBm	OK	IP0: 30533	(11.24 V/m)	Digital: 0XFF
09/08/2017 12:04:06	    84.500 MHz	 15.4 V/m	 -8.9 dBm	OK	IP0: 30483	(11.22 V/m)	Digital: 0XFF
09/08/2017 12:04:11	    85.000 MHz	 15.3 V/m	 -8.9 dBm	OK	IP0: 30418	(11.23 V/m)	Digital: 0XFF
09/08/2017 12:04:16	    85.500 MHz	 15.1 V/m	 -8.9 dBm	OK	IP0: 30327	(11.21 V/m)	Digital: 0XFF
09/08/2017 12:04:21	    86.000 MHz	 14.9 V/m	 -8.9 dBm	OK	IP0: 30249	(11.11 V/m)	Digital: 0XFF
09/08/2017 12:04:26	    86.500 MHz	 14.7 V/m	 -8.9 dBm	OK	IP0: 30159	(11.05 V/m)	Digital: 0XFF
09/08/2017 12:04:31	    87.000 MHz	 14.6 V/m	 -8.9 dBm	OK	IP0: 30075	(10.96 V/m)	Digital: 0XFF
09/08/2017 12:04:36	    87.500 MHz	 14.4 V/m	 -8.9 dBm	OK	IP0: 29964	(10.89 V/m)	Digital: 0XFF
09/08/2017 12:04:41	    88.000 MHz	 14.4 V/m	 -8.9 dBm	OK	IP0: 29931	(10.74 V/m)	Digital: 0XFF
09/08/2017 12:04:45	    88.500 MHz	 14.4 V/m	 -8.9 dBm	OK	IP0: 29826	(10.85 V/m)	Digital: 0XFF
09/08/2017 12:04:49	    89.000 MHz	 14.5 V/m	 -8.9 dBm	OK	IP0: 29790	(10.77 V/m)	Digital: 0XFF
09/08/2017 12:04:53	    89.500 MHz	 14.6 V/m	 -8.9 dBm	OK	IP0: 29736	(10.86 V/m)	Digital: 0XFF
09/08/2017 12:04:57	    90.000 MHz	 14.7 V/m	 -8.9 dBm	OK	IP0: 29695	(10.91 V/m)	Digital: 0XFF
09/08/2017 12:05:01	    90.500 MHz	 14.8 V/m	 -8.9 dBm	OK	IP0: 29648	(10.98 V/m)	Digital: 0XFF
09/08/2017 12:05:05	    91.000 MHz	 14.9 V/m	 -8.9 dBm	OK	IP0: 29676	(11.03 V/m)	Digital: 0XFF
09/08/2017 12:05:09	    91.500 MHz	 15.0 V/m	 -8.9 dBm	OK	IP0: 29651	(11.23 V/m)	Digital: 0XFF
09/08/2017 12:05:13	    92.000 MHz	 15.1 V/m	 -8.9 dBm	OK	IP0: 29620	(11.32 V/m)	Digital: 0XFF
09/08/2017 12:05:17	    92.500 MHz	 15.2 V/m	 -8.9 dBm	OK	IP0: 29653	(11.14 V/m)	Digital: 0XFF
09/08/2017 12:05:21	    93.000 MHz	 15.3 V/m	 -8.9 dBm	OK	IP0: 29621	(11.09 V/m)	Digital: 0XFF
09/08/2017 12:05:25	    93.500 MHz	 15.4 V/m	 -8.9 dBm	OK	IP0: 29590	(10.91 V/m)	Digital: 0XFF
09/08/2017 12:05:29	    94.000 MHz	 15.4 V/m	 -8.9 dBm	OK	IP0: 29640	(10.72 V/m)	Digital: 0XFF
09/08/2017 12:05:33	    94.500 MHz	 15.5 V/m	 -8.9 dBm	OK	IP0: 29632	(10.71 V/m)	Digital: 0XFF
09/08/2017 12:05:37	    95.000 MHz	 15.5 V/m	 -8.9 dBm	OK	IP0: 29670	(10.57 V/m)	Digital: 0XFF
09/08/2017 12:05:41	    95.500 MHz	 15.5 V/m	 -8.9 dBm	OK	IP0: 29765	(10.52 V/m)	Digital: 0XFF
09/08/2017 12:05:45	    96.000 MHz	 15.5 V/m	 -8.9 dBm	OK	IP0: 29785	(10.60 V/m)	Digital: 0XFF
09/08/2017 12:05:49	    96.500 MHz	 15.5 V/m	 -8.9 dBm	OK	IP0: 29855	(10.52 V/m)	Digital: 0XFF
09/08/2017 12:05:53	    97.000 MHz	 15.6 V/m	 -8.9 dBm	OK	IP0: 29972	(10.55 V/m)	Digital: 0XFF
09/08/2017 12:05:57	    97.500 MHz	 15.7 V/m	 -8.9 dBm	OK	IP0: 30057	(10.67 V/m)	Digital: 0XFF
09/08/2017 12:06:01	    98.000 MHz	 15.7 V/m	 -8.9 dBm	OK	IP0: 30113	(10.73 V/m)	Digital: 0XFF
09/08/2017 12:06:05	    98.500 MHz	 15.7 V/m	 -8.9 dBm	OK	IP0: 30164	(10.73 V/m)	Digital: 0XFF
09/08/2017 12:06:09	    99.000 MHz	 15.6 V/m	 -8.9 dBm	OK	IP0: 30215	(10.72 V/m)	Digital: 0XFF
09/08/2017 12:06:14	    99.500 MHz	 15.5 V/m	 -8.9 dBm	OK	IP0: 30284	(10.71 V/m)	Digital: 0XFF
09/08/2017 12:06:19	   100.000 MHz	 15.3 V/m	 -8.9 dBm	OK	IP0: 30362	(10.73 V/m)	Digital: 0XFF
09/08/2017 12:06:24	   100.500 MHz	 15.2 V/m	 -8.9 dBm	OK	IP0: 30415	(10.99 V/m)	Digital: 0XFF
09/08/2017 12:06:29	   101.000 MHz	 15.1 V/m	 -8.9 dBm	OK	IP0: 30445	(11.21 V/m)	Digital: 0XFF
09/08/2017 12:06:34	   101.500 MHz	 15.0 V/m	 -8.9 dBm	OK	IP0: 30469	(11.38 V/m)	Digital: 0XFF
09/08/2017 12:06:39	   102.000 MHz	 14.8 V/m	 -8.9 dBm	OK	IP0: 30512	(11.55 V/m)	Digital: 0XFF
