04/09/2017 11:06:20	    80.000 MHz	 15.9 V/m	 -8.6 dBm	OK	IP0: 30979	(10.61 V/m)	Digital: 0XFF
04/09/2017 11:06:24	    80.400 MHz	 15.9 V/m	 -8.6 dBm	OK	IP0: 30918	(10.50 V/m)	Digital: 0XFF
04/09/2017 11:06:28	    80.802 MHz	 15.9 V/m	 -8.6 dBm	OK	IP0: 30935	(10.53 V/m)	Digital: 0XFF
04/09/2017 11:06:32	    81.206 MHz	 16.0 V/m	 -8.6 dBm	OK	IP0: 30857	(10.74 V/m)	Digital: 0XFF
04/09/2017 11:06:36	    81.612 MHz	 16.1 V/m	 -8.6 dBm	OK	IP0: 30866	(10.74 V/m)	Digital: 0XFF
04/09/2017 11:06:40	    82.020 MHz	 16.2 V/m	 -8.6 dBm	OK	IP0: 30807	(10.95 V/m)	Digital: 0XFF
04/09/2017 11:06:44	    82.430 MHz	 16.2 V/m	 -8.6 dBm	OK	IP0: 30767	(11.00 V/m)	Digital: 0XFF
04/09/2017 11:06:48	    82.842 MHz	 16.4 V/m	 -8.6 dBm	OK	IP0: 30742	(11.10 V/m)	Digital: 0XFF
04/09/2017 11:06:52	    83.257 MHz	 16.5 V/m	 -8.6 dBm	OK	IP0: 30713	(11.24 V/m)	Digital: 0XFF
04/09/2017 11:06:57	    83.673 MHz	 16.7 V/m	 -8.6 dBm	OK	IP0: 30708	(11.38 V/m)	Digital: 0XFF
04/09/2017 11:07:02	    84.091 MHz	 16.8 V/m	 -8.6 dBm	OK	IP0: 30687	(11.57 V/m)	Digital: 0XFF
04/09/2017 11:07:07	    84.512 MHz	 16.4 V/m	 -8.9 dBm	OK	IP0: 30465	(11.32 V/m)	Digital: 0XFF
04/09/2017 11:07:11	    84.934 MHz	 16.6 V/m	 -8.9 dBm	OK	IP0: 30408	(11.16 V/m)	Digital: 0XFF
04/09/2017 11:07:15	    85.359 MHz	 16.7 V/m	 -8.9 dBm	OK	IP0: 30363	(11.14 V/m)	Digital: 0XFF
04/09/2017 11:07:19	    85.786 MHz	 16.8 V/m	 -8.9 dBm	OK	IP0: 30292	(11.14 V/m)	Digital: 0XFF
04/09/2017 11:07:23	    86.215 MHz	 16.8 V/m	 -8.9 dBm	OK	IP0: 30242	(11.08 V/m)	Digital: 0XFF
04/09/2017 11:07:27	    86.646 MHz	 16.8 V/m	 -8.9 dBm	OK	IP0: 30136	(11.08 V/m)	Digital: 0XFF
04/09/2017 11:07:31	    87.079 MHz	 16.8 V/m	 -8.9 dBm	OK	IP0: 30124	(10.92 V/m)	Digital: 0XFF
04/09/2017 11:07:36	    87.514 MHz	 16.7 V/m	 -8.9 dBm	OK	IP0: 30020	(11.02 V/m)	Digital: 0XFF
04/09/2017 11:07:40	    87.952 MHz	 16.7 V/m	 -8.9 dBm	OK	IP0: 29965	(10.88 V/m)	Digital: 0XFF
04/09/2017 11:07:44	    88.392 MHz	 16.7 V/m	 -8.9 dBm	OK	IP0: 29931	(10.89 V/m)	Digital: 0XFF
04/09/2017 11:07:48	    88.834 MHz	 16.7 V/m	 -8.9 dBm	OK	IP0: 29913	(10.97 V/m)	Digital: 0XFF
04/09/2017 11:07:52	    89.278 MHz	 16.8 V/m	 -8.9 dBm	OK	IP0: 29864	(11.08 V/m)	Digital: 0XFF
04/09/2017 11:07:57	    89.724 MHz	 16.9 V/m	 -8.9 dBm	OK	IP0: 29839	(11.11 V/m)	Digital: 0XFF
04/09/2017 11:08:02	    90.173 MHz	 17.0 V/m	 -8.9 dBm	OK	IP0: 29845	(11.20 V/m)	Digital: 0XFF
04/09/2017 11:08:06	    90.624 MHz	 17.1 V/m	 -8.9 dBm	OK	IP0: 29832	(11.34 V/m)	Digital: 0XFF
04/09/2017 11:08:10	    91.077 MHz	 17.3 V/m	 -8.9 dBm	OK	IP0: 29805	(11.44 V/m)	Digital: 0XFF
04/09/2017 11:08:14	    91.532 MHz	 17.4 V/m	 -8.9 dBm	OK	IP0: 29850	(11.51 V/m)	Digital: 0XFF
04/09/2017 11:08:19	    91.990 MHz	 16.5 V/m	 -9.4 dBm	OK	IP0: 29627	(11.43 V/m)	Digital: 0XFF
04/09/2017 11:08:23	    92.450 MHz	 16.5 V/m	 -9.4 dBm	OK	IP0: 29601	(11.17 V/m)	Digital: 0XFF
04/09/2017 11:08:28	    92.912 MHz	 16.4 V/m	 -9.4 dBm	OK	IP0: 29627	(11.01 V/m)	Digital: 0XFF
04/09/2017 11:08:33	    93.377 MHz	 16.3 V/m	 -9.4 dBm	OK	IP0: 29660	(10.95 V/m)	Digital: 0XFF
04/09/2017 11:08:38	    93.843 MHz	 16.1 V/m	 -9.4 dBm	OK	IP0: 29616	(10.91 V/m)	Digital: 0XFF
04/09/2017 11:08:43	    94.313 MHz	 15.9 V/m	 -9.4 dBm	OK	IP0: 29627	(10.70 V/m)	Digital: 0XFF
04/09/2017 11:08:48	    94.784 MHz	 15.7 V/m	 -9.4 dBm	OK	IP0: 29641	(10.61 V/m)	Digital: 0XFF
04/09/2017 11:15:44	    95.258 MHz	 17.0 V/m	 -8.6 dBm	OK	IP0: 30009	(11.53 V/m)	Digital: 0XFF
04/09/2017 11:15:49	    95.734 MHz	 16.9 V/m	 -8.6 dBm	OK	IP0: 30027	(11.17 V/m)	Digital: 0XFF
