14/09/2017 15:56:37	    28.000 MHz	 10.4 V/m	 -6.7 dBm	OK
14/09/2017 15:56:40	    28.140 MHz	 10.4 V/m	 -6.7 dBm	OK
14/09/2017 15:56:43	    28.281 MHz	 10.5 V/m	 -6.7 dBm	OK
14/09/2017 15:56:46	    28.422 MHz	 10.7 V/m	 -6.7 dBm	OK
14/09/2017 15:56:49	    28.564 MHz	 10.7 V/m	 -6.7 dBm	OK
14/09/2017 15:56:52	    28.707 MHz	 11.0 V/m	 -6.7 dBm	OK
14/09/2017 15:56:55	    28.851 MHz	 11.2 V/m	 -6.7 dBm	OK
14/09/2017 15:56:59	    28.995 MHz	 11.4 V/m	 -6.8 dBm	OK
14/09/2017 15:57:03	    29.140 MHz	 11.4 V/m	 -7.1 dBm	OK
14/09/2017 15:57:07	    29.285 MHz	 11.4 V/m	 -7.2 dBm	OK
14/09/2017 15:57:10	    29.432 MHz	 11.4 V/m	 -7.2 dBm	OK
14/09/2017 15:57:14	    29.579 MHz	 11.4 V/m	 -7.2 dBm	OK
14/09/2017 15:57:17	    29.727 MHz	 11.4 V/m	 -7.2 dBm	OK
14/09/2017 15:57:20	    29.876 MHz	 11.0 V/m	 -7.2 dBm	OK
14/09/2017 15:57:24	    30.025 MHz	 10.7 V/m	 -7.2 dBm	OK
14/09/2017 15:57:27	    30.175 MHz	 10.4 V/m	 -7.2 dBm	OK
14/09/2017 15:57:31	    30.326 MHz	 10.4 V/m	 -7.0 dBm	OK
14/09/2017 15:57:35	    30.478 MHz	 10.5 V/m	 -6.4 dBm	OK
14/09/2017 15:57:39	    30.630 MHz	 10.5 V/m	 -6.0 dBm	OK
14/09/2017 15:57:43	    30.783 MHz	 10.4 V/m	 -5.8 dBm	OK
14/09/2017 15:57:47	    30.937 MHz	 10.5 V/m	 -5.2 dBm	OK
14/09/2017 15:57:51	    31.092 MHz	 10.4 V/m	 -5.0 dBm	OK
14/09/2017 15:57:55	    31.247 MHz	 10.4 V/m	 -4.8 dBm	OK
14/09/2017 15:57:58	    31.403 MHz	 10.4 V/m	 -4.8 dBm	OK
14/09/2017 15:58:02	    31.560 MHz	 10.4 V/m	 -4.6 dBm	OK
14/09/2017 16:04:32	    31.718 MHz	 10.5 V/m	 -4.6 dBm	OK
14/09/2017 16:04:35	    31.877 MHz	 10.5 V/m	 -4.6 dBm	OK
14/09/2017 16:04:38	    32.036 MHz	 10.5 V/m	 -4.6 dBm	OK
14/09/2017 16:04:41	    32.196 MHz	 10.7 V/m	 -4.6 dBm	OK
14/09/2017 16:04:44	    32.357 MHz	 10.7 V/m	 -4.6 dBm	OK
14/09/2017 16:04:48	    32.519 MHz	 10.7 V/m	 -4.6 dBm	OK
14/09/2017 16:04:51	    32.682 MHz	 11.2 V/m	 -4.6 dBm	OK
14/09/2017 16:04:54	    32.845 MHz	 11.2 V/m	 -4.6 dBm	OK
14/09/2017 16:04:57	    33.009 MHz	 11.2 V/m	 -4.6 dBm	OK
14/09/2017 16:05:00	    33.174 MHz	 11.2 V/m	 -4.6 dBm	OK
14/09/2017 16:05:03	    33.340 MHz	 11.0 V/m	 -4.6 dBm	OK
14/09/2017 16:05:07	    33.507 MHz	 11.0 V/m	 -4.6 dBm	OK
14/09/2017 16:05:10	    33.675 MHz	 10.5 V/m	 -4.6 dBm	OK
14/09/2017 16:05:14	    33.843 MHz	 10.5 V/m	 -4.6 dBm	OK
14/09/2017 16:05:18	    34.012 MHz	 10.4 V/m	 -4.4 dBm	OK
14/09/2017 16:05:22	    34.182 MHz	 10.4 V/m	 -4.2 dBm	OK
14/09/2017 16:05:26	    34.353 MHz	 10.4 V/m	 -4.0 dBm	OK
14/09/2017 16:05:30	    34.525 MHz	 10.4 V/m	 -3.8 dBm	OK
14/09/2017 16:05:33	    34.698 MHz	 10.4 V/m	 -3.8 dBm	OK
14/09/2017 16:05:36	    34.871 MHz	 10.4 V/m	 -3.8 dBm	OK
14/09/2017 16:05:39	    35.045 MHz	 10.4 V/m	 -3.8 dBm	OK
14/09/2017 16:05:42	    35.221 MHz	 10.5 V/m	 -3.8 dBm	OK
14/09/2017 16:05:45	    35.397 MHz	 10.7 V/m	 -3.8 dBm	OK
14/09/2017 16:05:48	    35.574 MHz	 11.2 V/m	 -3.8 dBm	OK
14/09/2017 16:05:52	    35.752 MHz	 11.4 V/m	 -4.0 dBm	OK
14/09/2017 16:05:57	    35.930 MHz	 11.4 V/m	 -4.5 dBm	OK
14/09/2017 16:06:01	    36.110 MHz	 11.2 V/m	 -5.0 dBm	OK
14/09/2017 16:06:05	    36.291 MHz	 11.4 V/m	 -5.2 dBm	OK
14/09/2017 16:06:10	    36.472 MHz	 11.4 V/m	 -5.7 dBm	OK
14/09/2017 16:06:14	    36.654 MHz	 11.4 V/m	 -5.9 dBm	OK
14/09/2017 16:06:18	    36.838 MHz	 11.4 V/m	 -6.1 dBm	OK
14/09/2017 16:06:21	    37.022 MHz	 11.4 V/m	 -6.1 dBm	OK
14/09/2017 16:06:24	    37.207 MHz	 11.4 V/m	 -6.1 dBm	OK
