14/09/2017 12:41:34	    80.000 MHz	 13.2 V/m	 -9.1 dBm	OK	IP0: 30947	(10.43 V/m)	Digital: 0XFF
14/09/2017 12:41:38	    80.400 MHz	 13.4 V/m	 -9.1 dBm	OK	IP0: 30880	(10.42 V/m)	Digital: 0XFF
14/09/2017 12:41:42	    80.802 MHz	 13.5 V/m	 -9.1 dBm	OK	IP0: 30918	(10.44 V/m)	Digital: 0XFF
14/09/2017 12:41:46	    81.206 MHz	 13.6 V/m	 -9.1 dBm	OK	IP0: 30855	(10.70 V/m)	Digital: 0XFF
14/09/2017 12:41:50	    81.612 MHz	 13.7 V/m	 -9.1 dBm	OK	IP0: 30824	(10.73 V/m)	Digital: 0XFF
14/09/2017 12:41:54	    82.020 MHz	 13.8 V/m	 -9.1 dBm	OK	IP0: 30835	(10.85 V/m)	Digital: 0XFF
14/09/2017 12:41:58	    82.430 MHz	 13.8 V/m	 -9.1 dBm	OK	IP0: 30789	(11.07 V/m)	Digital: 0XFF
14/09/2017 12:42:03	    82.842 MHz	 13.7 V/m	 -9.1 dBm	OK	IP0: 30759	(11.15 V/m)	Digital: 0XFF
14/09/2017 12:42:08	    83.257 MHz	 13.6 V/m	 -9.1 dBm	OK	IP0: 30727	(11.28 V/m)	Digital: 0XFF
14/09/2017 12:42:13	    83.673 MHz	 13.5 V/m	 -9.1 dBm	OK	IP0: 30699	(11.42 V/m)	Digital: 0XFF
14/09/2017 12:42:18	    84.091 MHz	 13.5 V/m	 -9.1 dBm	OK	IP0: 30613	(11.54 V/m)	Digital: 0XFF
14/09/2017 12:42:22	    84.512 MHz	 13.5 V/m	 -9.1 dBm	OK	IP0: 30586	(11.44 V/m)	Digital: 0XFF
14/09/2017 12:42:26	    84.934 MHz	 13.5 V/m	 -9.1 dBm	OK	IP0: 30570	(11.49 V/m)	Digital: 0XFF
14/09/2017 12:42:30	    85.359 MHz	 13.5 V/m	 -9.1 dBm	OK	IP0: 30517	(11.57 V/m)	Digital: 0XFF
14/09/2017 12:42:34	    85.786 MHz	 13.5 V/m	 -9.1 dBm	OK	IP0: 30424	(11.56 V/m)	Digital: 0XFF
14/09/2017 12:42:39	    86.215 MHz	 13.4 V/m	 -9.1 dBm	OK	IP0: 30386	(11.43 V/m)	Digital: 0XFF
14/09/2017 12:42:44	    86.646 MHz	 13.3 V/m	 -9.1 dBm	OK	IP0: 30253	(11.46 V/m)	Digital: 0XFF
14/09/2017 12:42:49	    87.079 MHz	 13.2 V/m	 -9.1 dBm	OK	IP0: 30230	(11.23 V/m)	Digital: 0XFF
14/09/2017 12:42:54	    87.514 MHz	 13.1 V/m	 -9.1 dBm	OK	IP0: 30113	(11.30 V/m)	Digital: 0XFF
14/09/2017 12:42:59	    87.952 MHz	 13.0 V/m	 -9.1 dBm	OK	IP0: 30055	(11.12 V/m)	Digital: 0XFF
14/09/2017 12:43:04	    88.392 MHz	 12.9 V/m	 -9.1 dBm	OK	IP0: 29975	(11.12 V/m)	Digital: 0XFF
14/09/2017 12:43:08	    88.834 MHz	 12.9 V/m	 -9.1 dBm	OK	IP0: 29894	(11.08 V/m)	Digital: 0XFF
14/09/2017 12:43:12	    89.278 MHz	 13.0 V/m	 -9.1 dBm	OK	IP0: 29775	(11.03 V/m)	Digital: 0XFF
14/09/2017 12:43:16	    89.724 MHz	 13.1 V/m	 -9.1 dBm	OK	IP0: 29748	(10.91 V/m)	Digital: 0XFF
14/09/2017 12:43:21	    90.173 MHz	 13.3 V/m	 -9.1 dBm	OK	IP0: 29721	(10.99 V/m)	Digital: 0XFF
14/09/2017 12:43:26	    90.624 MHz	 13.2 V/m	 -9.1 dBm	OK	IP0: 29631	(11.07 V/m)	Digital: 0XFF
14/09/2017 12:43:30	    91.077 MHz	 13.2 V/m	 -9.1 dBm	OK	IP0: 29643	(11.02 V/m)	Digital: 0XFF
14/09/2017 12:43:34	    91.532 MHz	 13.3 V/m	 -9.1 dBm	OK	IP0: 29601	(11.18 V/m)	Digital: 0XFF
14/09/2017 12:43:38	    91.990 MHz	 13.4 V/m	 -9.1 dBm	OK	IP0: 29543	(11.22 V/m)	Digital: 0XFF
14/09/2017 12:43:42	    92.450 MHz	 13.4 V/m	 -9.1 dBm	OK	IP0: 29472	(11.00 V/m)	Digital: 0XFF
14/09/2017 12:43:46	    92.912 MHz	 13.5 V/m	 -9.1 dBm	OK	IP0: 29349	(10.75 V/m)	Digital: 0XFF
14/09/2017 12:43:50	    93.377 MHz	 13.8 V/m	 -8.9 dBm	OK	IP0: 29367	(10.76 V/m)	Digital: 0XFF
14/09/2017 12:43:54	    93.843 MHz	 14.2 V/m	 -8.6 dBm	OK	IP0: 29467	(10.66 V/m)	Digital: 0XFF
14/09/2017 12:43:58	    94.313 MHz	 14.4 V/m	 -8.4 dBm	OK	IP0: 29508	(10.67 V/m)	Digital: 0XFF
