23/10/2017 15:29:04	    80.000 MHz	  7.0 V/m	-16.8 dBm	OK	IP0: 25430	(4.32 V/m)	Digital: 0XFF
23/10/2017 15:29:09	    80.400 MHz	  7.6 V/m	-16.3 dBm	OK	IP0: 25663	(4.67 V/m)	Digital: 0XFF
23/10/2017 15:29:13	    80.802 MHz	  8.4 V/m	-16.4 dBm	OK	IP0: 25548	(4.67 V/m)	Digital: 0XFF
23/10/2017 15:29:19	    81.206 MHz	  7.7 V/m	-16.4 dBm	OK	IP0: 25436	(4.66 V/m)	Digital: 0XFF
23/10/2017 15:29:25	    81.612 MHz	  7.6 V/m	-16.5 dBm	OK	IP0: 25312	(4.65 V/m)	Digital: 0XFF
23/10/2017 15:29:31	    82.020 MHz	  7.4 V/m	-16.5 dBm	OK	IP0: 25221	(4.65 V/m)	Digital: 0XFF
23/10/2017 15:29:37	    82.430 MHz	  7.2 V/m	-16.6 dBm	OK	IP0: 25109	(4.64 V/m)	Digital: 0XFF
23/10/2017 15:29:43	    82.842 MHz	  7.0 V/m	-16.8 dBm	OK	IP0: 24995	(4.64 V/m)	Digital: 0XFF
23/10/2017 15:29:49	    83.257 MHz	  6.7 V/m	-16.9 dBm	OK	IP0: 24874	(4.63 V/m)	Digital: 0XFF
23/10/2017 15:29:55	    83.673 MHz	  6.5 V/m	-17.0 dBm	OK	IP0: 24752	(4.62 V/m)	Digital: 0XFF
23/10/2017 15:30:01	    84.091 MHz	  6.3 V/m	-17.1 dBm	OK	IP0: 24658	(4.62 V/m)	Digital: 0XFF
23/10/2017 15:30:07	    84.512 MHz	  6.2 V/m	-17.2 dBm	OK	IP0: 24609	(4.62 V/m)	Digital: 0XFF
23/10/2017 15:30:12	    84.934 MHz	  6.1 V/m	-17.3 dBm	OK	IP0: 24524	(4.61 V/m)	Digital: 0XFF
23/10/2017 15:30:18	    85.359 MHz	  6.1 V/m	-17.2 dBm	OK	IP0: 24540	(4.70 V/m)	Digital: 0XFF
23/10/2017 15:30:23	    85.786 MHz	  6.0 V/m	-17.3 dBm	OK	IP0: 24357	(4.61 V/m)	Digital: 0XFF
23/10/2017 15:30:28	    86.215 MHz	  6.2 V/m	-17.2 dBm	OK	IP0: 24366	(4.68 V/m)	Digital: 0XFF
23/10/2017 15:30:34	    86.646 MHz	  6.3 V/m	-17.1 dBm	OK	IP0: 24325	(4.69 V/m)	Digital: 0XFF
23/10/2017 15:30:39	    87.079 MHz	  6.3 V/m	-17.2 dBm	OK	IP0: 24157	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:30:50	    87.514 MHz	  6.6 V/m	-17.1 dBm	OK	IP0: 24140	(4.68 V/m)	Digital: 0XFF
23/10/2017 15:30:55	    87.952 MHz	  7.4 V/m	-17.0 dBm	OK	IP0: 24101	(4.68 V/m)	Digital: 0XFF
23/10/2017 15:31:01	    88.392 MHz	  7.0 V/m	-17.1 dBm	OK	IP0: 23927	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:31:07	    88.834 MHz	  7.0 V/m	-17.1 dBm	OK	IP0: 23935	(4.69 V/m)	Digital: 0XFF
23/10/2017 15:31:13	    89.278 MHz	  6.7 V/m	-17.4 dBm	OK	IP0: 23723	(4.61 V/m)	Digital: 0XFF
23/10/2017 15:31:19	    89.724 MHz	  6.8 V/m	-17.3 dBm	OK	IP0: 23682	(4.68 V/m)	Digital: 0XFF
23/10/2017 15:31:25	    90.173 MHz	  6.7 V/m	-17.6 dBm	OK	IP0: 23531	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:31:31	    90.624 MHz	  6.6 V/m	-17.8 dBm	OK	IP0: 23432	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:31:36	    91.077 MHz	  6.6 V/m	-17.8 dBm	OK	IP0: 23409	(4.70 V/m)	Digital: 0XFF
23/10/2017 15:31:42	    91.532 MHz	  6.4 V/m	-18.0 dBm	OK	IP0: 23316	(4.70 V/m)	Digital: 0XFF
23/10/2017 15:31:47	    91.990 MHz	  6.1 V/m	-18.3 dBm	OK	IP0: 23107	(4.59 V/m)	Digital: 0XFF
23/10/2017 15:31:52	    92.450 MHz	  6.2 V/m	-18.1 dBm	OK	IP0: 23255	(4.65 V/m)	Digital: 0XFF
23/10/2017 15:31:58	    92.912 MHz	  6.2 V/m	-18.0 dBm	OK	IP0: 23332	(4.65 V/m)	Digital: 0XFF
23/10/2017 15:32:04	    93.377 MHz	  6.2 V/m	-17.9 dBm	OK	IP0: 23437	(4.67 V/m)	Digital: 0XFF
23/10/2017 15:32:10	    93.843 MHz	  6.2 V/m	-17.8 dBm	OK	IP0: 23516	(4.68 V/m)	Digital: 0XFF
23/10/2017 15:32:16	    94.313 MHz	  6.2 V/m	-17.7 dBm	OK	IP0: 23583	(4.68 V/m)	Digital: 0XFF
23/10/2017 15:32:22	    94.784 MHz	  6.3 V/m	-17.6 dBm	OK	IP0: 23661	(4.69 V/m)	Digital: 0XFF
23/10/2017 15:32:27	    95.258 MHz	  6.2 V/m	-17.7 dBm	OK	IP0: 23638	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:32:32	    95.734 MHz	  6.3 V/m	-17.5 dBm	OK	IP0: 23791	(4.66 V/m)	Digital: 0XFF
23/10/2017 15:32:38	    96.213 MHz	  6.4 V/m	-17.4 dBm	OK	IP0: 23906	(4.69 V/m)	Digital: 0XFF
23/10/2017 15:32:43	    96.694 MHz	  6.3 V/m	-17.5 dBm	OK	IP0: 23893	(4.61 V/m)	Digital: 0XFF
23/10/2017 15:32:48	    97.178 MHz	  6.5 V/m	-17.3 dBm	OK	IP0: 24065	(4.68 V/m)	Digital: 0XFF
23/10/2017 15:32:54	    97.664 MHz	  6.5 V/m	-17.4 dBm	OK	IP0: 24062	(4.62 V/m)	Digital: 0XFF
23/10/2017 15:32:59	    98.152 MHz	  6.6 V/m	-17.4 dBm	OK	IP0: 24132	(4.61 V/m)	Digital: 0XFF
23/10/2017 15:33:04	    98.643 MHz	  6.7 V/m	-17.2 dBm	OK	IP0: 24308	(4.70 V/m)	Digital: 0XFF
23/10/2017 15:34:06	    99.136 MHz	  6.7 V/m	-17.2 dBm	OK	IP0: 24347	(4.67 V/m)	Digital: 0XFF
23/10/2017 15:34:12	    99.632 MHz	  6.7 V/m	-17.2 dBm	OK	IP0: 24414	(4.62 V/m)	Digital: 0XFF
23/10/2017 15:34:18	   100.130 MHz	  6.7 V/m	-17.2 dBm	OK	IP0: 24393	(4.62 V/m)	Digital: 0XFF
23/10/2017 15:34:24	   100.630 MHz	  6.7 V/m	-17.3 dBm	OK	IP0: 24390	(4.62 V/m)	Digital: 0XFF
23/10/2017 15:34:30	   101.133 MHz	  6.6 V/m	-17.5 dBm	OK	IP0: 24335	(4.64 V/m)	Digital: 0XFF
23/10/2017 15:34:36	   101.639 MHz	  6.5 V/m	-17.6 dBm	OK	IP0: 24238	(4.62 V/m)	Digital: 0XFF
23/10/2017 15:34:42	   102.147 MHz	  6.4 V/m	-17.7 dBm	OK	IP0: 24227	(4.61 V/m)	Digital: 0XFF
23/10/2017 15:34:48	   102.658 MHz	  6.3 V/m	-17.9 dBm	OK	IP0: 24165	(4.61 V/m)	Digital: 0XFF
23/10/2017 15:34:54	   103.171 MHz	  6.2 V/m	-18.0 dBm	OK	IP0: 24051	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:35:00	   103.687 MHz	  6.3 V/m	-17.9 dBm	OK	IP0: 24122	(4.70 V/m)	Digital: 0XFF
23/10/2017 15:35:06	   104.206 MHz	  6.2 V/m	-18.1 dBm	OK	IP0: 24019	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:35:12	   104.727 MHz	  6.2 V/m	-18.0 dBm	OK	IP0: 24112	(4.69 V/m)	Digital: 0XFF
23/10/2017 15:35:17	   105.250 MHz	  6.2 V/m	-17.9 dBm	OK	IP0: 24094	(4.70 V/m)	Digital: 0XFF
23/10/2017 15:35:22	   105.777 MHz	  6.2 V/m	-17.9 dBm	OK	IP0: 24104	(4.70 V/m)	Digital: 0XFF
23/10/2017 15:35:28	   106.305 MHz	  6.1 V/m	-18.0 dBm	OK	IP0: 24014	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:35:34	   106.837 MHz	  6.1 V/m	-17.9 dBm	OK	IP0: 24117	(4.68 V/m)	Digital: 0XFF
23/10/2017 15:35:40	   107.371 MHz	  5.9 V/m	-18.1 dBm	OK	IP0: 24005	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:35:46	   107.908 MHz	  5.9 V/m	-18.0 dBm	OK	IP0: 24072	(4.68 V/m)	Digital: 0XFF
23/10/2017 15:35:52	   108.448 MHz	  5.8 V/m	-18.0 dBm	OK	IP0: 24096	(4.69 V/m)	Digital: 0XFF
23/10/2017 15:35:58	   108.990 MHz	  5.5 V/m	-18.2 dBm	OK	IP0: 24011	(4.61 V/m)	Digital: 0XFF
23/10/2017 15:36:04	   109.535 MHz	  5.3 V/m	-18.3 dBm	OK	IP0: 24024	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:36:10	   110.082 MHz	  5.0 V/m	-18.5 dBm	OK	IP0: 23987	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:36:16	   110.633 MHz	  4.9 V/m	-18.4 dBm	OK	IP0: 24093	(4.70 V/m)	Digital: 0XFF
23/10/2017 15:36:22	   111.186 MHz	  4.5 V/m	-18.6 dBm	OK	IP0: 24003	(4.61 V/m)	Digital: 0XFF
23/10/2017 15:36:28	   111.742 MHz	  4.3 V/m	-18.5 dBm	OK	IP0: 24078	(4.67 V/m)	Digital: 0XFF
23/10/2017 15:36:33	   112.301 MHz	  3.9 V/m	-18.7 dBm	OK	IP0: 23931	(4.60 V/m)	Digital: 0XFF
23/10/2017 15:36:38	   112.862 MHz	  3.7 V/m	-18.6 dBm	OK	IP0: 23916	(4.69 V/m)	Digital: 0XFF
23/10/2017 15:36:44	   113.426 MHz	  3.5 V/m	-18.7 dBm	OK	IP0: 23786	(4.69 V/m)	Digital: 0XFF
