17/10/2017 14:38:51	    80.000 MHz	 10.6 V/m	 -8.3 dBm	OK	IP0: 30153	(10.98 V/m)	Digital: 0XFF
17/10/2017 14:38:56	    80.400 MHz	 10.8 V/m	 -8.3 dBm	OK	IP0: 30067	(11.13 V/m)	Digital: 0XFF
17/10/2017 14:39:02	    80.802 MHz	 10.6 V/m	 -8.2 dBm	OK	IP0: 30079	(11.19 V/m)	Digital: 0XFF
17/10/2017 14:39:08	    81.206 MHz	 10.4 V/m	 -8.4 dBm	OK	IP0: 29947	(11.20 V/m)	Digital: 0XFF
17/10/2017 14:39:14	    81.612 MHz	 10.3 V/m	 -8.5 dBm	OK	IP0: 29906	(11.11 V/m)	Digital: 0XFF
17/10/2017 14:39:20	    82.020 MHz	 10.1 V/m	 -8.6 dBm	OK	IP0: 29743	(11.17 V/m)	Digital: 0XFF
17/10/2017 14:39:26	    82.430 MHz	 10.1 V/m	 -8.7 dBm	OK	IP0: 29732	(11.12 V/m)	Digital: 0XFF
17/10/2017 14:39:32	    82.842 MHz	  9.9 V/m	 -8.8 dBm	OK	IP0: 29612	(11.05 V/m)	Digital: 0XFF
17/10/2017 14:39:38	    83.257 MHz	  9.9 V/m	 -9.0 dBm	OK	IP0: 29491	(11.17 V/m)	Digital: 0XFF
17/10/2017 14:39:44	    83.673 MHz	  9.9 V/m	 -9.0 dBm	OK	IP0: 29448	(11.13 V/m)	Digital: 0XFF
17/10/2017 14:39:50	    84.091 MHz	  9.9 V/m	 -9.1 dBm	OK	IP0: 29371	(11.18 V/m)	Digital: 0XFF
17/10/2017 14:39:56	    84.512 MHz	  9.9 V/m	 -9.2 dBm	OK	IP0: 29271	(11.14 V/m)	Digital: 0XFF
17/10/2017 14:40:02	    84.934 MHz	 10.0 V/m	 -9.1 dBm	OK	IP0: 29218	(11.08 V/m)	Digital: 0XFF
17/10/2017 14:40:08	    85.359 MHz	 10.1 V/m	 -9.1 dBm	OK	IP0: 29215	(11.12 V/m)	Digital: 0XFF
17/10/2017 14:40:14	    85.786 MHz	 10.0 V/m	 -9.2 dBm	OK	IP0: 29099	(11.14 V/m)	Digital: 0XFF
17/10/2017 14:40:20	    86.215 MHz	 10.3 V/m	 -9.0 dBm	OK	IP0: 29118	(11.18 V/m)	Digital: 0XFF
17/10/2017 14:40:26	    86.646 MHz	 10.3 V/m	 -9.0 dBm	OK	IP0: 29011	(11.16 V/m)	Digital: 0XFF
