16/10/2017 15:20:27	    80.000 MHz	 21.9 V/m	 -5.3 dBm	OK	IP0: 31171	(10.82 V/m)	Digital: 0XFF
16/10/2017 15:20:31	    80.400 MHz	 21.3 V/m	 -5.3 dBm	OK	IP0: 31157	(10.94 V/m)	Digital: 0XFF
16/10/2017 15:20:35	    80.802 MHz	 20.7 V/m	 -5.3 dBm	OK	IP0: 31185	(11.09 V/m)	Digital: 0XFF
16/10/2017 15:20:42	    81.206 MHz	 14.5 V/m	 -8.4 dBm	OK	IP0: 29960	(11.16 V/m)	Digital: 0XFF
16/10/2017 15:20:48	    81.612 MHz	 14.3 V/m	 -8.5 dBm	OK	IP0: 29858	(11.15 V/m)	Digital: 0XFF
16/10/2017 15:20:53	    82.020 MHz	 14.7 V/m	 -8.6 dBm	OK	IP0: 29794	(11.13 V/m)	Digital: 0XFF
16/10/2017 15:20:59	    82.430 MHz	 14.3 V/m	 -8.7 dBm	OK	IP0: 29742	(11.19 V/m)	Digital: 0XFF
16/10/2017 15:21:05	    82.842 MHz	 14.1 V/m	 -8.9 dBm	OK	IP0: 29625	(11.18 V/m)	Digital: 0XFF
16/10/2017 15:21:11	    83.257 MHz	 13.9 V/m	 -9.0 dBm	OK	IP0: 29497	(11.16 V/m)	Digital: 0XFF
16/10/2017 15:21:17	    83.673 MHz	 13.7 V/m	 -9.1 dBm	OK	IP0: 29448	(11.13 V/m)	Digital: 0XFF
16/10/2017 15:21:23	    84.091 MHz	 13.4 V/m	 -9.3 dBm	OK	IP0: 29350	(11.07 V/m)	Digital: 0XFF
16/10/2017 15:21:29	    84.512 MHz	 13.3 V/m	 -9.3 dBm	OK	IP0: 29266	(11.12 V/m)	Digital: 0XFF
16/10/2017 15:21:35	    84.934 MHz	 13.3 V/m	 -9.3 dBm	OK	IP0: 29229	(11.10 V/m)	Digital: 0XFF
16/10/2017 15:21:41	    85.359 MHz	 13.4 V/m	 -9.3 dBm	OK	IP0: 29212	(11.11 V/m)	Digital: 0XFF
16/10/2017 15:21:47	    85.786 MHz	 13.4 V/m	 -9.4 dBm	OK	IP0: 29137	(11.15 V/m)	Digital: 0XFF
16/10/2017 15:21:53	    86.215 MHz	 13.6 V/m	 -9.4 dBm	OK	IP0: 29032	(11.09 V/m)	Digital: 0XFF
16/10/2017 15:21:59	    86.646 MHz	 13.9 V/m	 -9.3 dBm	OK	IP0: 29013	(11.09 V/m)	Digital: 0XFF
16/10/2017 15:22:05	    87.079 MHz	 14.2 V/m	 -9.2 dBm	OK	IP0: 28979	(11.14 V/m)	Digital: 0XFF
16/10/2017 15:22:11	    87.514 MHz	 14.3 V/m	 -9.2 dBm	OK	IP0: 28870	(11.10 V/m)	Digital: 0XFF
16/10/2017 15:22:17	    87.952 MHz	 14.5 V/m	 -9.0 dBm	OK	IP0: 28875	(11.19 V/m)	Digital: 0XFF
16/10/2017 15:22:23	    88.392 MHz	 14.3 V/m	 -9.1 dBm	OK	IP0: 28817	(11.13 V/m)	Digital: 0XFF
16/10/2017 15:22:29	    88.834 MHz	 14.8 V/m	 -9.1 dBm	OK	IP0: 28695	(11.15 V/m)	Digital: 0XFF
16/10/2017 15:22:34	    89.278 MHz	 16.1 V/m	 -9.1 dBm	OK	IP0: 28661	(11.09 V/m)	Digital: 0XFF
16/10/2017 15:22:40	    89.724 MHz	 15.7 V/m	 -9.1 dBm	OK	IP0: 28604	(11.14 V/m)	Digital: 0XFF
16/10/2017 15:22:45	    90.173 MHz	 16.4 V/m	 -9.2 dBm	OK	IP0: 28477	(11.11 V/m)	Digital: 0XFF
16/10/2017 15:22:50	    90.624 MHz	 17.1 V/m	 -9.2 dBm	OK	IP0: 28473	(11.11 V/m)	Digital: 0XFF
16/10/2017 15:22:56	    91.077 MHz	 16.4 V/m	 -9.3 dBm	OK	IP0: 28375	(11.15 V/m)	Digital: 0XFF
16/10/2017 15:23:01	    91.532 MHz	 17.1 V/m	 -9.4 dBm	OK	IP0: 28293	(11.11 V/m)	Digital: 0XFF
16/10/2017 15:23:07	    91.990 MHz	 16.7 V/m	 -9.5 dBm	OK	IP0: 28262	(11.13 V/m)	Digital: 0XFF
16/10/2017 15:23:13	    92.450 MHz	 17.0 V/m	 -9.4 dBm	OK	IP0: 28341	(11.20 V/m)	Digital: 0XFF
16/10/2017 15:23:19	    92.912 MHz	 17.1 V/m	 -9.2 dBm	OK	IP0: 28354	(11.20 V/m)	Digital: 0XFF
16/10/2017 15:23:25	    93.377 MHz	 17.1 V/m	 -9.0 dBm	OK	IP0: 28452	(11.16 V/m)	Digital: 0XFF
