16/10/2017 13:03:06	    80.000 MHz	 -1.0 V/m	 -8.4 dBm	OK	IP0: 30033	(10.82 V/m)	Digital: 0XFF
16/10/2017 13:03:10	    80.400 MHz	 -1.0 V/m	 -8.2 dBm	OK	IP0: 30112	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:03:14	    80.802 MHz	 -1.0 V/m	 -8.3 dBm	OK	IP0: 30051	(11.20 V/m)	Digital: 0XFF
16/10/2017 13:03:18	    81.206 MHz	 -1.0 V/m	 -8.5 dBm	OK	IP0: 29963	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:03:22	    81.612 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 29865	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:03:26	    82.020 MHz	 -1.0 V/m	 -8.7 dBm	OK	IP0: 29758	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:03:30	    82.430 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29673	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:03:34	    82.842 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29609	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:03:38	    83.257 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 29536	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:03:42	    83.673 MHz	 -1.0 V/m	 -9.1 dBm	OK	IP0: 29459	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:03:46	    84.091 MHz	 -1.0 V/m	 -9.2 dBm	OK	IP0: 29365	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:03:50	    84.512 MHz	 -1.0 V/m	 -9.3 dBm	OK	IP0: 29295	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:03:54	    84.934 MHz	 -1.0 V/m	 -9.3 dBm	OK	IP0: 29215	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:03:58	    85.359 MHz	 -1.0 V/m	 -9.3 dBm	OK	IP0: 29160	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:04:02	    85.786 MHz	 -1.0 V/m	 -9.2 dBm	OK	IP0: 29092	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:04:06	    86.215 MHz	 -1.0 V/m	 -9.1 dBm	OK	IP0: 29051	(11.09 V/m)	Digital: 0XFF
16/10/2017 13:04:10	    86.646 MHz	 -1.0 V/m	 -9.1 dBm	OK	IP0: 29012	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:04:14	    87.079 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 28959	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:04:18	    87.514 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 28887	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:04:22	    87.952 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 28856	(11.20 V/m)	Digital: 0XFF
16/10/2017 13:04:26	    88.392 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 28776	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:04:30	    88.834 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 28743	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:04:34	    89.278 MHz	 -1.0 V/m	 -8.9 dBm	OK	IP0: 28661	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:04:38	    89.724 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 28569	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:04:42	    90.173 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 28490	(11.11 V/m)	Digital: 0XFF
16/10/2017 13:04:46	    90.624 MHz	 -1.0 V/m	 -9.2 dBm	OK	IP0: 28394	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:04:50	    91.077 MHz	 -1.0 V/m	 -9.3 dBm	OK	IP0: 28341	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:04:54	    91.532 MHz	 -1.0 V/m	 -9.3 dBm	OK	IP0: 28310	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:04:58	    91.990 MHz	 -1.0 V/m	 -9.5 dBm	OK	IP0: 28267	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:05:02	    92.450 MHz	 -1.0 V/m	 -9.5 dBm	OK	IP0: 28259	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:05:06	    92.912 MHz	 -1.0 V/m	 -9.3 dBm	OK	IP0: 28342	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:05:10	    93.377 MHz	 -1.0 V/m	 -9.1 dBm	OK	IP0: 28455	(11.20 V/m)	Digital: 0XFF
16/10/2017 13:05:14	    93.843 MHz	 -1.0 V/m	 -9.1 dBm	OK	IP0: 28477	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:05:18	    94.313 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 28468	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:05:22	    94.784 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 28626	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:05:26	    95.258 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 28661	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:05:30	    95.734 MHz	 -1.0 V/m	 -8.7 dBm	OK	IP0: 28712	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:05:34	    96.213 MHz	 -1.0 V/m	 -8.7 dBm	OK	IP0: 28751	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:05:38	    96.694 MHz	 -1.0 V/m	 -8.5 dBm	OK	IP0: 28851	(11.18 V/m)	Digital: 0XFF
16/10/2017 13:05:42	    97.178 MHz	 -1.0 V/m	 -8.5 dBm	OK	IP0: 28927	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:05:46	    97.664 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 28967	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:05:50	    98.152 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 28982	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:05:54	    98.643 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 29072	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:05:58	    99.136 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 29156	(11.15 V/m)	Digital: 0XFF
16/10/2017 13:06:02	    99.632 MHz	 -1.0 V/m	 -8.6 dBm	OK	IP0: 29220	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:06:06	   100.130 MHz	 -1.0 V/m	 -8.7 dBm	OK	IP0: 29222	(11.14 V/m)	Digital: 0XFF
16/10/2017 13:06:10	   100.630 MHz	 -1.0 V/m	 -8.8 dBm	OK	IP0: 29171	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:06:14	   101.133 MHz	 -1.0 V/m	 -9.0 dBm	OK	IP0: 29171	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:06:19	   101.639 MHz	 -1.0 V/m	 -9.3 dBm	OK	IP0: 29091	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:06:23	   102.147 MHz	 -1.0 V/m	 -9.5 dBm	OK	IP0: 29022	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:06:27	   102.658 MHz	 -1.0 V/m	 -9.6 dBm	OK	IP0: 29000	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:06:32	   103.171 MHz	 -1.0 V/m	 -9.9 dBm	OK	IP0: 28952	(11.10 V/m)	Digital: 0XFF
16/10/2017 13:06:36	   103.687 MHz	 -1.0 V/m	-10.0 dBm	OK	IP0: 28876	(11.19 V/m)	Digital: 0XFF
16/10/2017 13:06:40	   104.206 MHz	 -1.0 V/m	-10.1 dBm	OK	IP0: 28875	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:06:45	   104.727 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28849	(11.09 V/m)	Digital: 0XFF
16/10/2017 13:06:49	   105.250 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28825	(11.13 V/m)	Digital: 0XFF
16/10/2017 13:06:53	   105.777 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28850	(11.12 V/m)	Digital: 0XFF
16/10/2017 13:06:57	   106.305 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28885	(11.17 V/m)	Digital: 0XFF
16/10/2017 13:07:01	   106.837 MHz	 -1.0 V/m	-10.3 dBm	OK	IP0: 28869	(11.16 V/m)	Digital: 0XFF
16/10/2017 13:07:05	   107.371 MHz	 -1.0 V/m	-10.4 dBm	OK	IP0: 28833	(11.13 V/m)	Digital: 0XFF
