30/10/2017 16:25:52	  2000.000 MHz	  2.4 V/m	 10.0 dBm	OK	IP0: 232	(-29.76 V/m)	Digital: 0XFF
30/10/2017 16:25:52	  2010.000 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 232	(-26.49 V/m)	Digital: 0XFF
30/10/2017 16:25:58	  2020.050 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 215	(-25.59 V/m)	Digital: 0XFF
30/10/2017 16:26:04	  2030.150 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 189	(-23.54 V/m)	Digital: 0XFF
30/10/2017 16:26:10	  2040.301 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 187	(-29.75 V/m)	Digital: 0XFF
30/10/2017 16:26:16	  2050.503 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 225	(-28.17 V/m)	Digital: 0XFF
30/10/2017 16:26:22	  2060.755 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 217	(-27.18 V/m)	Digital: 0XFF
30/10/2017 16:26:28	  2071.059 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 199	(-24.86 V/m)	Digital: 0XFF
30/10/2017 16:26:34	  2081.414 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 185	(-31.34 V/m)	Digital: 0XFF
30/10/2017 16:26:40	  2091.821 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 188	(-30.60 V/m)	Digital: 0XFF
30/10/2017 16:26:46	  2102.280 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 202	(-30.98 V/m)	Digital: 0XFF
30/10/2017 16:26:52	  2112.792 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 228	(-29.19 V/m)	Digital: 0XFF
30/10/2017 16:26:58	  2123.356 MHz	  2.5 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 225	(-26.00 V/m)	Digital: 0XFF
30/10/2017 16:27:04	  2133.972 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 184	(-25.49 V/m)	Digital: 0XFF
30/10/2017 16:27:10	  2144.642 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 208	(-29.16 V/m)	Digital: 0XFF
30/10/2017 16:27:16	  2155.365 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 231	(-24.32 V/m)	Digital: 0XFF
30/10/2017 16:27:22	  2166.142 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 222	(-30.94 V/m)	Digital: 0XFF
30/10/2017 16:27:28	  2176.973 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 210	(-27.98 V/m)	Digital: 0XFF
30/10/2017 16:27:34	  2187.858 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 196	(-26.54 V/m)	Digital: 0XFF
30/10/2017 16:27:40	  2198.797 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 183	(-25.03 V/m)	Digital: 0XFF
30/10/2017 16:27:46	  2209.791 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 194	(-23.54 V/m)	Digital: 0XFF
30/10/2017 16:27:52	  2220.840 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 218	(-22.49 V/m)	Digital: 0XFF
30/10/2017 16:27:58	  2231.944 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 230	(-22.94 V/m)	Digital: 0XFF
30/10/2017 16:28:04	  2243.104 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 229	(-22.22 V/m)	Digital: 0XFF
30/10/2017 16:28:10	  2254.320 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 199	(-17.74 V/m)	Digital: 0XFF
30/10/2017 16:28:16	  2265.591 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 188	(-19.68 V/m)	Digital: 0XFF
30/10/2017 16:28:22	  2276.919 MHz	  2.4 V/m	 10.0 dBm	FAIL (LIMIT)	IP0: 215	(-22.25 V/m)	Digital: 0XFF
