31/10/2017 14:36:25	    80.000 MHz	 19.1 V/m	 -5.6 dBm	OK	IP0: 31192	(10.89 V/m)	Digital: 0XFF
31/10/2017 14:36:31	    80.400 MHz	 19.4 V/m	 -5.6 dBm	OK	IP0: 31162	(10.99 V/m)	Digital: 0XFF
31/10/2017 14:36:38	    80.802 MHz	 20.1 V/m	 -5.6 dBm	OK	IP0: 31149	(11.10 V/m)	Digital: 0XFF
31/10/2017 14:36:47	    81.206 MHz	 14.9 V/m	 -8.5 dBm	OK	IP0: 29966	(11.10 V/m)	Digital: 0XFF
31/10/2017 14:36:55	    81.612 MHz	 15.1 V/m	 -8.6 dBm	OK	IP0: 29889	(11.14 V/m)	Digital: 0XFF
31/10/2017 14:37:03	    82.020 MHz	 15.2 V/m	 -8.8 dBm	OK	IP0: 29764	(11.11 V/m)	Digital: 0XFF
31/10/2017 14:37:11	    82.430 MHz	 15.4 V/m	 -8.9 dBm	OK	IP0: 29724	(11.17 V/m)	Digital: 0XFF
31/10/2017 14:37:19	    82.842 MHz	 15.4 V/m	 -9.0 dBm	OK	IP0: 29579	(11.15 V/m)	Digital: 0XFF
31/10/2017 14:37:27	    83.257 MHz	 15.6 V/m	 -9.1 dBm	OK	IP0: 29565	(11.19 V/m)	Digital: 0XFF
31/10/2017 14:37:35	    83.673 MHz	 15.5 V/m	 -9.4 dBm	OK	IP0: 29357	(11.05 V/m)	Digital: 0XFF
31/10/2017 14:37:43	    84.091 MHz	 15.7 V/m	 -9.3 dBm	OK	IP0: 29390	(11.12 V/m)	Digital: 0XFF
31/10/2017 14:37:51	    84.512 MHz	 15.6 V/m	 -9.4 dBm	OK	IP0: 29248	(11.14 V/m)	Digital: 0XFF
31/10/2017 14:37:59	    84.934 MHz	 15.5 V/m	 -9.4 dBm	OK	IP0: 29262	(11.11 V/m)	Digital: 0XFF
31/10/2017 14:38:07	    85.359 MHz	 15.2 V/m	 -9.4 dBm	OK	IP0: 29196	(11.15 V/m)	Digital: 0XFF
31/10/2017 14:38:15	    85.786 MHz	 14.9 V/m	 -9.5 dBm	OK	IP0: 29109	(11.14 V/m)	Digital: 0XFF
31/10/2017 14:38:23	    86.215 MHz	 14.7 V/m	 -9.4 dBm	OK	IP0: 29037	(11.08 V/m)	Digital: 0XFF
31/10/2017 14:38:31	    86.646 MHz	 14.5 V/m	 -9.3 dBm	OK	IP0: 29060	(11.20 V/m)	Digital: 0XFF
31/10/2017 14:38:39	    87.079 MHz	 14.1 V/m	 -9.3 dBm	OK	IP0: 28986	(11.14 V/m)	Digital: 0XFF
31/10/2017 14:38:47	    87.514 MHz	 13.6 V/m	 -9.3 dBm	OK	IP0: 28905	(11.11 V/m)	Digital: 0XFF
31/10/2017 14:38:55	    87.952 MHz	 13.4 V/m	 -9.2 dBm	OK	IP0: 28817	(11.08 V/m)	Digital: 0XFF
31/10/2017 14:39:03	    88.392 MHz	 13.3 V/m	 -9.2 dBm	OK	IP0: 28755	(11.09 V/m)	Digital: 0XFF
31/10/2017 14:39:11	    88.834 MHz	 13.3 V/m	 -9.1 dBm	OK	IP0: 28746	(11.10 V/m)	Digital: 0XFF
31/10/2017 14:39:19	    89.278 MHz	 13.1 V/m	 -9.1 dBm	OK	IP0: 28658	(11.10 V/m)	Digital: 0XFF
31/10/2017 14:39:27	    89.724 MHz	 13.0 V/m	 -9.2 dBm	OK	IP0: 28581	(11.11 V/m)	Digital: 0XFF
31/10/2017 14:39:35	    90.173 MHz	 12.9 V/m	 -9.2 dBm	OK	IP0: 28514	(11.12 V/m)	Digital: 0XFF
31/10/2017 14:39:43	    90.624 MHz	 12.9 V/m	 -9.2 dBm	OK	IP0: 28437	(11.11 V/m)	Digital: 0XFF
31/10/2017 14:39:51	    91.077 MHz	 12.9 V/m	 -9.3 dBm	OK	IP0: 28367	(11.11 V/m)	Digital: 0XFF
31/10/2017 14:39:59	    91.532 MHz	 13.0 V/m	 -9.3 dBm	OK	IP0: 28303	(11.11 V/m)	Digital: 0XFF
31/10/2017 14:40:07	    91.990 MHz	 13.3 V/m	 -9.2 dBm	OK	IP0: 28254	(11.16 V/m)	Digital: 0XFF
31/10/2017 14:40:15	    92.450 MHz	 13.7 V/m	 -9.0 dBm	OK	IP0: 28302	(11.15 V/m)	Digital: 0XFF
31/10/2017 14:40:21	    92.912 MHz	 14.9 V/m	 -8.7 dBm	OK	IP0: 28374	(11.16 V/m)	Digital: 0XFF
31/10/2017 14:40:28	    93.377 MHz	 14.9 V/m	 -8.5 dBm	OK	IP0: 28440	(11.16 V/m)	Digital: 0XFF
31/10/2017 14:40:35	    93.843 MHz	 15.2 V/m	 -8.2 dBm	OK	IP0: 28457	(11.16 V/m)	Digital: 0XFF
31/10/2017 14:40:41	    94.313 MHz	 16.4 V/m	 -8.0 dBm	OK	IP0: 28523	(11.20 V/m)	Digital: 0XFF
31/10/2017 14:40:49	    94.784 MHz	 16.2 V/m	 -7.7 dBm	OK	IP0: 28605	(11.20 V/m)	Digital: 0XFF
31/10/2017 14:40:56	    95.258 MHz	 17.2 V/m	 -7.7 dBm	OK	IP0: 28631	(11.11 V/m)	Digital: 0XFF
31/10/2017 14:41:04	    95.734 MHz	 17.1 V/m	 -7.6 dBm	OK	IP0: 28699	(11.12 V/m)	Digital: 0XFF
31/10/2017 14:41:12	    96.213 MHz	 17.5 V/m	 -7.7 dBm	OK	IP0: 28743	(11.10 V/m)	Digital: 0XFF
31/10/2017 14:41:21	    96.694 MHz	 18.0 V/m	 -7.7 dBm	OK	IP0: 28900	(11.06 V/m)	Digital: 0XFF
31/10/2017 14:41:28	    97.178 MHz	 18.8 V/m	 -7.8 dBm	OK	IP0: 28897	(11.19 V/m)	Digital: 0XFF
31/10/2017 14:41:36	    97.664 MHz	 18.5 V/m	 -7.9 dBm	OK	IP0: 28966	(11.16 V/m)	Digital: 0XFF
31/10/2017 14:41:44	    98.152 MHz	 19.0 V/m	 -8.0 dBm	OK	IP0: 29064	(11.18 V/m)	Digital: 0XFF
31/10/2017 14:41:52	    98.643 MHz	 19.3 V/m	 -8.2 dBm	OK	IP0: 29119	(11.18 V/m)	Digital: 0XFF
31/10/2017 14:42:00	    99.136 MHz	 19.5 V/m	 -8.3 dBm	OK	IP0: 29174	(11.19 V/m)	Digital: 0XFF
31/10/2017 14:42:08	    99.632 MHz	 19.8 V/m	 -8.5 dBm	OK	IP0: 29212	(11.18 V/m)	Digital: 0XFF
31/10/2017 14:42:16	   100.130 MHz	 20.0 V/m	 -8.6 dBm	OK	IP0: 29227	(11.18 V/m)	Digital: 0XFF
31/10/2017 14:42:24	   100.630 MHz	 19.9 V/m	 -8.8 dBm	OK	IP0: 29227	(11.19 V/m)	Digital: 0XFF
31/10/2017 14:42:32	   101.133 MHz	 19.3 V/m	 -9.2 dBm	OK	IP0: 29151	(11.12 V/m)	Digital: 0XFF
31/10/2017 14:42:40	   101.639 MHz	 18.9 V/m	 -9.6 dBm	OK	IP0: 29090	(11.09 V/m)	Digital: 0XFF
