27/10/2017 14:11:38	    80.000 MHz	 15.5 V/m	 -8.4 dBm	OK	IP0: 30079	(10.80 V/m)	Digital: 0XFF
27/10/2017 14:11:43	    80.400 MHz	 16.1 V/m	 -8.2 dBm	OK	IP0: 30131	(11.18 V/m)	Digital: 0XFF
27/10/2017 14:11:49	    80.802 MHz	 15.6 V/m	 -8.3 dBm	OK	IP0: 30050	(11.17 V/m)	Digital: 0XFF
27/10/2017 14:11:54	    81.206 MHz	 15.8 V/m	 -8.4 dBm	OK	IP0: 29971	(11.16 V/m)	Digital: 0XFF
27/10/2017 14:12:00	    81.612 MHz	 15.3 V/m	 -8.6 dBm	OK	IP0: 29887	(11.15 V/m)	Digital: 0XFF
27/10/2017 14:12:06	    82.020 MHz	 15.2 V/m	 -8.7 dBm	OK	IP0: 29788	(11.15 V/m)	Digital: 0XFF
27/10/2017 14:12:11	    82.430 MHz	 15.6 V/m	 -8.8 dBm	OK	IP0: 29694	(11.16 V/m)	Digital: 0XFF
27/10/2017 14:12:17	    82.842 MHz	 15.1 V/m	 -8.9 dBm	OK	IP0: 29595	(11.14 V/m)	Digital: 0XFF
27/10/2017 14:12:23	    83.257 MHz	 15.1 V/m	 -8.9 dBm	OK	IP0: 29500	(11.11 V/m)	Digital: 0XFF
27/10/2017 14:12:29	    83.673 MHz	 15.1 V/m	 -9.0 dBm	OK	IP0: 29435	(11.14 V/m)	Digital: 0XFF
27/10/2017 14:12:35	    84.091 MHz	 15.1 V/m	 -9.1 dBm	OK	IP0: 29360	(11.16 V/m)	Digital: 0XFF
27/10/2017 14:12:41	    84.512 MHz	 15.2 V/m	 -9.1 dBm	OK	IP0: 29308	(11.13 V/m)	Digital: 0XFF
27/10/2017 14:12:47	    84.934 MHz	 15.2 V/m	 -9.2 dBm	OK	IP0: 29247	(11.12 V/m)	Digital: 0XFF
27/10/2017 14:12:53	    85.359 MHz	 15.2 V/m	 -9.2 dBm	OK	IP0: 29197	(11.13 V/m)	Digital: 0XFF
27/10/2017 14:12:59	    85.786 MHz	 15.3 V/m	 -9.2 dBm	OK	IP0: 29126	(11.11 V/m)	Digital: 0XFF
27/10/2017 14:13:05	    86.215 MHz	 15.3 V/m	 -9.2 dBm	OK	IP0: 29055	(11.10 V/m)	Digital: 0XFF
27/10/2017 14:13:10	    86.646 MHz	 15.8 V/m	 -9.1 dBm	OK	IP0: 28997	(11.10 V/m)	Digital: 0XFF
27/10/2017 14:13:15	    87.079 MHz	 16.1 V/m	 -9.1 dBm	OK	IP0: 28941	(11.10 V/m)	Digital: 0XFF
27/10/2017 14:13:21	    87.514 MHz	 15.7 V/m	 -9.0 dBm	OK	IP0: 28882	(11.09 V/m)	Digital: 0XFF
27/10/2017 14:13:27	    87.952 MHz	 15.9 V/m	 -8.9 dBm	OK	IP0: 28834	(11.10 V/m)	Digital: 0XFF
27/10/2017 14:13:33	    88.392 MHz	 16.0 V/m	 -8.9 dBm	OK	IP0: 28779	(11.12 V/m)	Digital: 0XFF
27/10/2017 14:13:39	    88.834 MHz	 16.1 V/m	 -8.9 dBm	OK	IP0: 28714	(11.12 V/m)	Digital: 0XFF
27/10/2017 14:13:45	    89.278 MHz	 16.1 V/m	 -8.9 dBm	OK	IP0: 28638	(11.12 V/m)	Digital: 0XFF
27/10/2017 14:13:51	    89.724 MHz	 16.2 V/m	 -9.0 dBm	OK	IP0: 28558	(11.12 V/m)	Digital: 0XFF
27/10/2017 14:13:57	    90.173 MHz	 16.2 V/m	 -9.0 dBm	OK	IP0: 28499	(11.12 V/m)	Digital: 0XFF
27/10/2017 14:14:03	    90.624 MHz	 16.2 V/m	 -9.1 dBm	OK	IP0: 28452	(11.12 V/m)	Digital: 0XFF
27/10/2017 14:14:09	    91.077 MHz	 16.1 V/m	 -9.2 dBm	OK	IP0: 28414	(11.13 V/m)	Digital: 0XFF
27/10/2017 14:14:15	    91.532 MHz	 15.9 V/m	 -9.4 dBm	OK	IP0: 28330	(11.15 V/m)	Digital: 0XFF
27/10/2017 14:14:21	    91.990 MHz	 15.7 V/m	 -9.6 dBm	OK	IP0: 28219	(11.14 V/m)	Digital: 0XFF
27/10/2017 14:14:26	    92.450 MHz	 16.3 V/m	 -9.3 dBm	OK	IP0: 28304	(11.18 V/m)	Digital: 0XFF
27/10/2017 14:14:31	    92.912 MHz	 16.7 V/m	 -9.2 dBm	OK	IP0: 28365	(11.18 V/m)	Digital: 0XFF
27/10/2017 14:14:37	    93.377 MHz	 16.7 V/m	 -9.0 dBm	OK	IP0: 28437	(11.19 V/m)	Digital: 0XFF
27/10/2017 14:14:43	    93.843 MHz	 16.7 V/m	 -9.0 dBm	OK	IP0: 28455	(11.12 V/m)	Digital: 0XFF
27/10/2017 14:14:49	    94.313 MHz	 17.1 V/m	 -8.8 dBm	OK	IP0: 28567	(11.20 V/m)	Digital: 0XFF
27/10/2017 14:14:55	    94.784 MHz	 17.0 V/m	 -8.8 dBm	OK	IP0: 28581	(11.12 V/m)	Digital: 0XFF
27/10/2017 14:15:01	    95.258 MHz	 17.3 V/m	 -8.6 dBm	OK	IP0: 28696	(11.20 V/m)	Digital: 0XFF
27/10/2017 14:15:07	    95.734 MHz	 17.3 V/m	 -8.7 dBm	OK	IP0: 28719	(11.14 V/m)	Digital: 0XFF
27/10/2017 14:15:13	    96.213 MHz	 17.3 V/m	 -8.7 dBm	OK	IP0: 28780	(11.11 V/m)	Digital: 0XFF
27/10/2017 14:15:19	    96.694 MHz	 17.3 V/m	 -8.7 dBm	OK	IP0: 28853	(11.13 V/m)	Digital: 0XFF
27/10/2017 14:15:25	    97.178 MHz	 17.3 V/m	 -8.7 dBm	OK	IP0: 28913	(11.14 V/m)	Digital: 0XFF
