27/10/2017 11:49:11	    83.000 MHz	 21.1 V/m	 -6.5 dBm	OK	IP0: 30709	(10.80 V/m)	Digital: 0XFF
27/10/2017 11:49:18	    83.415 MHz	 14.8 V/m	 -9.0 dBm	OK	IP0: 29452	(11.15 V/m)	Digital: 0XFF
27/10/2017 11:49:23	    83.832 MHz	 15.3 V/m	 -9.0 dBm	OK	IP0: 29372	(11.10 V/m)	Digital: 0XFF
27/10/2017 11:49:29	    84.251 MHz	 15.0 V/m	 -9.1 dBm	OK	IP0: 29378	(11.14 V/m)	Digital: 0XFF
27/10/2017 11:49:35	    84.672 MHz	 14.9 V/m	 -9.2 dBm	OK	IP0: 29249	(11.16 V/m)	Digital: 0XFF
27/10/2017 11:49:41	    85.096 MHz	 15.1 V/m	 -9.1 dBm	OK	IP0: 29231	(11.10 V/m)	Digital: 0XFF
27/10/2017 11:49:47	    85.521 MHz	 15.1 V/m	 -9.1 dBm	OK	IP0: 29156	(11.15 V/m)	Digital: 0XFF
27/10/2017 11:49:53	    85.949 MHz	 15.4 V/m	 -9.0 dBm	OK	IP0: 29149	(11.18 V/m)	Digital: 0XFF
27/10/2017 11:49:59	    86.379 MHz	 15.4 V/m	 -9.0 dBm	OK	IP0: 29056	(11.17 V/m)	Digital: 0XFF
27/10/2017 11:50:05	    86.811 MHz	 15.7 V/m	 -8.9 dBm	OK	IP0: 29011	(11.19 V/m)	Digital: 0XFF
27/10/2017 11:50:11	    87.245 MHz	 15.7 V/m	 -8.9 dBm	OK	IP0: 28976	(11.13 V/m)	Digital: 0XFF
27/10/2017 11:50:17	    87.681 MHz	 15.7 V/m	 -8.9 dBm	OK	IP0: 28823	(11.11 V/m)	Digital: 0XFF
27/10/2017 11:50:22	    88.119 MHz	 16.3 V/m	 -8.8 dBm	OK	IP0: 28852	(11.08 V/m)	Digital: 0XFF
27/10/2017 11:50:27	    88.560 MHz	 16.4 V/m	 -8.8 dBm	OK	IP0: 28776	(11.15 V/m)	Digital: 0XFF
27/10/2017 11:50:33	    89.003 MHz	 16.0 V/m	 -8.9 dBm	OK	IP0: 28658	(11.11 V/m)	Digital: 0XFF
27/10/2017 11:50:39	    89.448 MHz	 16.3 V/m	 -8.7 dBm	OK	IP0: 28657	(11.20 V/m)	Digital: 0XFF
27/10/2017 11:50:45	    89.895 MHz	 16.3 V/m	 -8.9 dBm	OK	IP0: 28619	(11.14 V/m)	Digital: 0XFF
27/10/2017 11:50:51	    90.344 MHz	 16.0 V/m	 -9.0 dBm	OK	IP0: 28506	(11.15 V/m)	Digital: 0XFF
27/10/2017 11:50:57	    90.796 MHz	 16.0 V/m	 -9.2 dBm	OK	IP0: 28398	(11.13 V/m)	Digital: 0XFF
27/10/2017 11:51:03	    91.250 MHz	 15.9 V/m	 -9.2 dBm	OK	IP0: 28342	(11.11 V/m)	Digital: 0XFF
27/10/2017 11:51:09	    91.706 MHz	 15.9 V/m	 -9.3 dBm	OK	IP0: 28303	(11.12 V/m)	Digital: 0XFF
27/10/2017 11:51:15	    92.165 MHz	 15.8 V/m	 -9.4 dBm	OK	IP0: 28283	(11.13 V/m)	Digital: 0XFF
27/10/2017 11:51:21	    92.626 MHz	 16.1 V/m	 -9.3 dBm	OK	IP0: 28345	(11.19 V/m)	Digital: 0XFF
27/10/2017 11:51:27	    93.089 MHz	 16.3 V/m	 -9.1 dBm	OK	IP0: 28360	(11.18 V/m)	Digital: 0XFF
27/10/2017 11:51:33	    93.554 MHz	 16.7 V/m	 -8.9 dBm	OK	IP0: 28494	(11.19 V/m)	Digital: 0XFF
27/10/2017 11:51:39	    94.022 MHz	 16.6 V/m	 -9.0 dBm	OK	IP0: 28504	(11.15 V/m)	Digital: 0XFF
27/10/2017 11:51:45	    94.492 MHz	 16.9 V/m	 -8.8 dBm	OK	IP0: 28541	(11.18 V/m)	Digital: 0XFF
27/10/2017 11:51:51	    94.965 MHz	 17.2 V/m	 -8.6 dBm	OK	IP0: 28703	(11.20 V/m)	Digital: 0XFF
27/10/2017 11:51:57	    95.439 MHz	 17.0 V/m	 -8.8 dBm	OK	IP0: 28657	(11.14 V/m)	Digital: 0XFF
27/10/2017 11:52:03	    95.917 MHz	 17.3 V/m	 -8.6 dBm	OK	IP0: 28756	(11.18 V/m)	Digital: 0XFF
27/10/2017 11:52:09	    96.396 MHz	 17.3 V/m	 -8.6 dBm	OK	IP0: 28858	(11.14 V/m)	Digital: 0XFF
27/10/2017 11:52:15	    96.878 MHz	 17.1 V/m	 -8.7 dBm	OK	IP0: 28844	(11.15 V/m)	Digital: 0XFF
27/10/2017 11:52:21	    97.363 MHz	 17.4 V/m	 -8.6 dBm	OK	IP0: 28964	(11.20 V/m)	Digital: 0XFF
27/10/2017 11:52:27	    97.849 MHz	 17.3 V/m	 -8.7 dBm	OK	IP0: 29034	(11.18 V/m)	Digital: 0XFF
27/10/2017 11:52:33	    98.339 MHz	 17.1 V/m	 -8.8 dBm	OK	IP0: 29011	(11.14 V/m)	Digital: 0XFF
27/10/2017 11:52:39	    98.830 MHz	 17.2 V/m	 -8.7 dBm	OK	IP0: 29141	(11.12 V/m)	Digital: 0XFF
27/10/2017 11:52:45	    99.324 MHz	 17.1 V/m	 -8.8 dBm	OK	IP0: 29190	(11.17 V/m)	Digital: 0XFF
27/10/2017 11:52:51	    99.821 MHz	 17.0 V/m	 -8.8 dBm	OK	IP0: 29190	(11.13 V/m)	Digital: 0XFF
