11/09/2017 15:59:42	    80.000 MHz	 15.3 V/m	 -8.6 dBm	OK	IP0: 30981	(10.51 V/m)	Digital: 0XFF
11/09/2017 15:59:46	    80.400 MHz	 15.6 V/m	 -8.6 dBm	OK	IP0: 30973	(10.50 V/m)	Digital: 0XFF
11/09/2017 15:59:50	    80.802 MHz	 15.9 V/m	 -8.6 dBm	OK	IP0: 30937	(10.66 V/m)	Digital: 0XFF
11/09/2017 15:59:54	    81.206 MHz	 16.0 V/m	 -8.6 dBm	OK	IP0: 30887	(10.75 V/m)	Digital: 0XFF
11/09/2017 15:59:58	    81.612 MHz	 16.1 V/m	 -8.6 dBm	OK	IP0: 30906	(10.81 V/m)	Digital: 0XFF
11/09/2017 16:00:02	    82.020 MHz	 16.1 V/m	 -8.6 dBm	OK	IP0: 30865	(11.05 V/m)	Digital: 0XFF
11/09/2017 16:00:06	    82.430 MHz	 16.1 V/m	 -8.6 dBm	OK	IP0: 30823	(11.14 V/m)	Digital: 0XFF
11/09/2017 16:00:10	    82.842 MHz	 16.1 V/m	 -8.6 dBm	OK	IP0: 30826	(11.24 V/m)	Digital: 0XFF
11/09/2017 16:00:15	    83.257 MHz	 16.1 V/m	 -8.6 dBm	OK	IP0: 30810	(11.46 V/m)	Digital: 0XFF
11/09/2017 16:00:20	    83.673 MHz	 15.8 V/m	 -8.8 dBm	OK	IP0: 30701	(11.56 V/m)	Digital: 0XFF
11/09/2017 16:00:24	    84.091 MHz	 15.8 V/m	 -8.8 dBm	OK	IP0: 30652	(11.55 V/m)	Digital: 0XFF
11/09/2017 16:00:28	    84.512 MHz	 15.8 V/m	 -8.8 dBm	OK	IP0: 30624	(11.54 V/m)	Digital: 0XFF
11/09/2017 16:00:32	    84.934 MHz	 15.7 V/m	 -8.8 dBm	OK	IP0: 30624	(11.59 V/m)	Digital: 0XFF
11/09/2017 16:00:38	    85.359 MHz	 15.0 V/m	 -9.1 dBm	OK	IP0: 30397	(11.42 V/m)	Digital: 0XFF
11/09/2017 16:00:43	    85.786 MHz	 14.9 V/m	 -9.1 dBm	OK	IP0: 30363	(11.23 V/m)	Digital: 0XFF
11/09/2017 16:00:48	    86.215 MHz	 14.7 V/m	 -9.1 dBm	OK	IP0: 30250	(11.27 V/m)	Digital: 0XFF
11/09/2017 16:00:52	    86.646 MHz	 14.8 V/m	 -9.1 dBm	OK	IP0: 30171	(11.10 V/m)	Digital: 0XFF
11/09/2017 16:00:58	    87.079 MHz	 14.3 V/m	 -9.1 dBm	OK	IP0: 30125	(11.02 V/m)	Digital: 0XFF
11/09/2017 16:01:03	    87.514 MHz	 14.1 V/m	 -9.1 dBm	OK	IP0: 30019	(11.02 V/m)	Digital: 0XFF
11/09/2017 16:01:08	    87.952 MHz	 13.9 V/m	 -9.1 dBm	OK	IP0: 29946	(10.87 V/m)	Digital: 0XFF
11/09/2017 16:01:12	    88.392 MHz	 13.9 V/m	 -9.1 dBm	OK	IP0: 29919	(10.85 V/m)	Digital: 0XFF
11/09/2017 16:01:16	    88.834 MHz	 13.9 V/m	 -9.1 dBm	OK	IP0: 29877	(10.94 V/m)	Digital: 0XFF
11/09/2017 16:01:20	    89.278 MHz	 13.9 V/m	 -9.1 dBm	OK	IP0: 29849	(10.99 V/m)	Digital: 0XFF
11/09/2017 16:01:24	    89.724 MHz	 14.1 V/m	 -9.1 dBm	OK	IP0: 29799	(11.08 V/m)	Digital: 0XFF
