31/03/2016 08:29:09	     0.100 MHz	 10.0 V/m	-13.2 dBm	OK
31/03/2016 08:29:13	     0.150 MHz	 10.0 V/m	-14.7 dBm	OK
31/03/2016 08:29:16	     0.200 MHz	 10.0 V/m	-15.6 dBm	OK
31/03/2016 08:29:19	     0.250 MHz	 10.0 V/m	-16.5 dBm	OK
31/03/2016 08:29:22	     0.300 MHz	 10.0 V/m	-17.0 dBm	OK
31/03/2016 08:29:25	     0.350 MHz	 10.0 V/m	-17.5 dBm	OK
31/03/2016 08:29:28	     0.400 MHz	 10.0 V/m	-17.9 dBm	OK
31/03/2016 08:29:30	     0.450 MHz	 10.0 V/m	-18.1 dBm	OK
31/03/2016 08:29:32	     0.500 MHz	 10.0 V/m	-18.2 dBm	OK
31/03/2016 08:29:34	     0.550 MHz	 10.0 V/m	-18.3 dBm	OK
31/03/2016 08:29:35	     0.600 MHz	 10.0 V/m	-18.3 dBm	OK
31/03/2016 08:29:36	     0.650 MHz	 10.0 V/m	-18.3 dBm	OK
31/03/2016 08:29:37	     0.700 MHz	 10.0 V/m	-18.3 dBm	OK
31/03/2016 08:29:38	     0.750 MHz	 10.0 V/m	-18.3 dBm	OK
31/03/2016 08:29:40	     0.800 MHz	 10.0 V/m	-18.3 dBm	OK
31/03/2016 08:29:41	     0.850 MHz	 10.0 V/m	-18.3 dBm	OK
31/03/2016 08:29:42	     0.900 MHz	 10.0 V/m	-18.3 dBm	OK
31/03/2016 08:29:44	     0.950 MHz	 10.0 V/m	-18.1 dBm	OK
31/03/2016 08:29:45	     1.000 MHz	 10.0 V/m	-18.1 dBm	OK
