31/03/2016 08:34:12	     0.100 MHz	 10.0 V/m	  1.0 dBm	FAIL (LIMIT)
31/03/2016 08:34:17	     0.150 MHz	 10.0 V/m	 -1.1 dBm	OK
31/03/2016 08:34:21	     0.200 MHz	 10.0 V/m	 -3.2 dBm	OK
31/03/2016 08:34:25	     0.250 MHz	 10.0 V/m	 -4.4 dBm	OK
31/03/2016 08:34:28	     0.300 MHz	 10.0 V/m	 -5.0 dBm	OK
31/03/2016 08:34:30	     0.350 MHz	 10.0 V/m	 -5.2 dBm	OK
31/03/2016 08:34:32	     0.400 MHz	 10.0 V/m	 -5.4 dBm	OK
31/03/2016 08:34:34	     0.450 MHz	 10.0 V/m	 -5.6 dBm	OK
31/03/2016 08:34:35	     0.500 MHz	 10.0 V/m	 -5.6 dBm	OK
31/03/2016 08:34:36	     0.550 MHz	 10.0 V/m	 -5.6 dBm	OK
31/03/2016 08:34:38	     0.600 MHz	 10.0 V/m	 -5.3 dBm	OK
31/03/2016 08:34:39	     0.650 MHz	 10.0 V/m	 -5.3 dBm	OK
31/03/2016 08:34:41	     0.700 MHz	 10.0 V/m	 -5.1 dBm	OK
31/03/2016 08:34:43	     0.750 MHz	 10.0 V/m	 -5.0 dBm	OK
31/03/2016 08:34:45	     0.800 MHz	 10.0 V/m	 -4.7 dBm	OK
31/03/2016 08:34:46	     0.850 MHz	 10.0 V/m	 -4.7 dBm	OK
31/03/2016 08:34:48	     0.900 MHz	 10.0 V/m	 -4.6 dBm	OK
31/03/2016 08:34:50	     0.950 MHz	 10.0 V/m	 -4.4 dBm	OK
31/03/2016 08:34:51	     1.000 MHz	 10.0 V/m	 -4.4 dBm	OK
