20/02/2018 11:25:03	     0.150 MHz	 11.0 V/m	-13.5 dBm	OK
20/02/2018 11:25:07	     0.160 MHz	 11.0 V/m	-13.7 dBm	OK
20/02/2018 11:25:11	     0.170 MHz	 11.2 V/m	-13.9 dBm	OK
20/02/2018 11:25:16	     0.180 MHz	 11.2 V/m	-14.3 dBm	OK
20/02/2018 11:25:20	     0.190 MHz	 11.2 V/m	-14.5 dBm	OK
20/02/2018 11:25:24	     0.200 MHz	 11.2 V/m	-14.8 dBm	OK
20/02/2018 11:25:28	     0.210 MHz	 11.2 V/m	-15.0 dBm	OK
20/02/2018 11:25:32	     0.220 MHz	 11.2 V/m	-15.2 dBm	OK
20/02/2018 11:25:36	     0.230 MHz	 11.2 V/m	-15.4 dBm	OK
20/02/2018 11:25:39	     0.240 MHz	 11.2 V/m	-15.4 dBm	OK
20/02/2018 11:25:43	     0.250 MHz	 11.2 V/m	-15.6 dBm	OK
20/02/2018 11:25:46	     0.260 MHz	 11.2 V/m	-15.7 dBm	OK
20/02/2018 11:25:50	     0.270 MHz	 11.2 V/m	-15.8 dBm	OK
20/02/2018 11:25:54	     0.280 MHz	 11.2 V/m	-15.9 dBm	OK
20/02/2018 11:25:58	     0.290 MHz	 11.2 V/m	-16.0 dBm	OK
20/02/2018 11:26:02	     0.300 MHz	 11.2 V/m	-16.1 dBm	OK
20/02/2018 11:26:06	     0.310 MHz	 11.2 V/m	-16.2 dBm	OK
20/02/2018 11:26:09	     0.320 MHz	 11.2 V/m	-16.2 dBm	OK
20/02/2018 11:26:13	     0.330 MHz	 11.2 V/m	-16.3 dBm	OK
20/02/2018 11:26:16	     0.340 MHz	 11.2 V/m	-16.3 dBm	OK
20/02/2018 11:26:20	     0.350 MHz	 11.2 V/m	-16.4 dBm	OK
20/02/2018 11:26:23	     0.360 MHz	 11.2 V/m	-16.4 dBm	OK
20/02/2018 11:26:26	     0.370 MHz	 11.2 V/m	-16.4 dBm	OK
20/02/2018 11:26:30	     0.380 MHz	 11.2 V/m	-16.5 dBm	OK
20/02/2018 11:26:33	     0.390 MHz	 11.2 V/m	-16.5 dBm	OK
20/02/2018 11:26:36	     0.400 MHz	 11.2 V/m	-16.5 dBm	OK
20/02/2018 11:26:39	     0.410 MHz	 11.2 V/m	-16.5 dBm	OK
20/02/2018 11:26:42	     0.420 MHz	 11.2 V/m	-16.5 dBm	OK
20/02/2018 11:26:46	     0.430 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:26:49	     0.440 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:26:52	     0.450 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:26:55	     0.460 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:26:58	     0.470 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:27:01	     0.480 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:27:04	     0.490 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:27:07	     0.500 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:27:10	     0.510 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:27:13	     0.520 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:27:16	     0.530 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:27:19	     0.540 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:27:22	     0.550 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:27:25	     0.560 MHz	 11.2 V/m	-16.6 dBm	OK
20/02/2018 11:27:28	     0.570 MHz	 11.0 V/m	-16.6 dBm	OK
20/02/2018 11:27:31	     0.580 MHz	 11.0 V/m	-16.6 dBm	OK
20/02/2018 11:27:34	     0.590 MHz	 11.0 V/m	-16.6 dBm	OK
20/02/2018 11:27:37	     0.600 MHz	 11.0 V/m	-16.6 dBm	OK
20/02/2018 11:27:40	     0.610 MHz	 11.0 V/m	-16.6 dBm	OK
20/02/2018 11:27:43	     0.620 MHz	 11.0 V/m	-16.6 dBm	OK
20/02/2018 11:27:46	     0.630 MHz	 11.0 V/m	-16.6 dBm	OK
20/02/2018 11:27:49	     0.640 MHz	 11.0 V/m	-16.6 dBm	OK
20/02/2018 11:27:53	     0.650 MHz	 11.0 V/m	-16.5 dBm	OK
20/02/2018 11:27:56	     0.660 MHz	 11.0 V/m	-16.5 dBm	OK
20/02/2018 11:27:59	     0.670 MHz	 11.0 V/m	-16.5 dBm	OK
20/02/2018 11:28:03	     0.680 MHz	 11.0 V/m	-16.4 dBm	OK
20/02/2018 11:28:06	     0.690 MHz	 11.0 V/m	-16.4 dBm	OK
20/02/2018 11:28:09	     0.700 MHz	 11.0 V/m	-16.4 dBm	OK
20/02/2018 11:28:12	     0.710 MHz	 11.0 V/m	-16.4 dBm	OK
20/02/2018 11:28:16	     0.720 MHz	 11.2 V/m	-16.2 dBm	OK
20/02/2018 11:28:19	     0.730 MHz	 11.0 V/m	-16.2 dBm	OK
20/02/2018 11:28:22	     0.740 MHz	 11.0 V/m	-16.2 dBm	OK
20/02/2018 11:28:25	     0.750 MHz	 11.0 V/m	-16.2 dBm	OK
20/02/2018 11:28:28	     0.760 MHz	 11.0 V/m	-16.2 dBm	OK
20/02/2018 11:28:31	     0.770 MHz	 11.0 V/m	-16.2 dBm	OK
20/02/2018 11:28:34	     0.780 MHz	 11.0 V/m	-16.2 dBm	OK
20/02/2018 11:28:38	     0.790 MHz	 11.2 V/m	-16.0 dBm	OK
20/02/2018 11:28:41	     0.800 MHz	 11.0 V/m	-16.0 dBm	OK
20/02/2018 11:28:44	     0.810 MHz	 11.0 V/m	-16.0 dBm	OK
20/02/2018 11:28:47	     0.820 MHz	 11.0 V/m	-16.0 dBm	OK
20/02/2018 11:28:51	     0.830 MHz	 11.0 V/m	-16.0 dBm	OK
20/02/2018 11:28:54	     0.840 MHz	 11.0 V/m	-16.0 dBm	OK
20/02/2018 11:28:57	     0.850 MHz	 11.0 V/m	-16.0 dBm	OK
20/02/2018 11:29:00	     0.860 MHz	 11.0 V/m	-16.0 dBm	OK
20/02/2018 11:29:04	     0.870 MHz	 11.0 V/m	-15.8 dBm	OK
20/02/2018 11:29:07	     0.880 MHz	 11.0 V/m	-15.8 dBm	OK
20/02/2018 11:29:10	     0.890 MHz	 11.0 V/m	-15.8 dBm	OK
20/02/2018 11:29:13	     0.900 MHz	 11.0 V/m	-15.8 dBm	OK
20/02/2018 11:29:16	     0.910 MHz	 11.0 V/m	-15.8 dBm	OK
20/02/2018 11:29:19	     0.920 MHz	 11.0 V/m	-15.8 dBm	OK
20/02/2018 11:29:22	     0.930 MHz	 11.0 V/m	-15.8 dBm	OK
20/02/2018 11:29:26	     0.940 MHz	 11.0 V/m	-15.7 dBm	OK
20/02/2018 11:29:29	     0.950 MHz	 11.0 V/m	-15.7 dBm	OK
20/02/2018 11:29:32	     0.960 MHz	 11.0 V/m	-15.7 dBm	OK
20/02/2018 11:29:35	     0.970 MHz	 11.0 V/m	-15.7 dBm	OK
20/02/2018 11:29:39	     0.980 MHz	 11.0 V/m	-15.6 dBm	OK
20/02/2018 11:29:42	     0.990 MHz	 11.0 V/m	-15.6 dBm	OK
20/02/2018 11:29:45	     1.000 MHz	 11.0 V/m	-15.6 dBm	OK
