19/02/2018 16:04:43	    80.000 MHz	 14.4 V/m	 -8.7 dBm	OK	IP0: 30049	IP2: 92	IP3: 108	(10.85 V/m)	Digital: 0XEF
19/02/2018 16:04:49	    80.400 MHz	 14.7 V/m	 -8.5 dBm	OK	IP0: 30086	IP2: 83	IP3: 109	(11.18 V/m)	Digital: 0XEF
19/02/2018 16:04:55	    80.802 MHz	 14.6 V/m	 -8.5 dBm	OK	IP0: 30022	IP2: 98	IP3: 110	(11.13 V/m)	Digital: 0XEF
19/02/2018 16:05:01	    81.206 MHz	 14.3 V/m	 -8.7 dBm	OK	IP0: 29893	IP2: 87	IP3: 109	(11.10 V/m)	Digital: 0XEF
19/02/2018 16:05:07	    81.612 MHz	 14.3 V/m	 -8.8 dBm	OK	IP0: 29854	IP2: 85	IP3: 109	(11.12 V/m)	Digital: 0XEF
19/02/2018 16:05:13	    82.020 MHz	 14.3 V/m	 -8.9 dBm	OK	IP0: 29766	IP2: 90	IP3: 110	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:05:19	    82.430 MHz	 14.3 V/m	 -8.9 dBm	OK	IP0: 29683	IP2: 89	IP3: 111	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:05:25	    82.842 MHz	 14.4 V/m	 -9.0 dBm	OK	IP0: 29592	IP2: 86	IP3: 112	(11.16 V/m)	Digital: 0XEF
19/02/2018 16:05:31	    83.257 MHz	 14.5 V/m	 -9.1 dBm	OK	IP0: 29515	IP2: 93	IP3: 112	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:05:37	    83.673 MHz	 14.5 V/m	 -9.2 dBm	OK	IP0: 29433	IP2: 94	IP3: 112	(11.14 V/m)	Digital: 0XEF
19/02/2018 16:05:43	    84.091 MHz	 14.5 V/m	 -9.2 dBm	OK	IP0: 29348	IP2: 86	IP3: 110	(11.15 V/m)	Digital: 0XEF
19/02/2018 16:05:49	    84.512 MHz	 14.5 V/m	 -9.3 dBm	OK	IP0: 29282	IP2: 90	IP3: 110	(11.13 V/m)	Digital: 0XEF
