14/02/2018 09:06:09	     0.150 MHz	 11.0 V/m	-15.9 dBm	OK
14/02/2018 09:06:13	     0.160 MHz	 11.2 V/m	-16.1 dBm	OK
14/02/2018 09:06:17	     0.170 MHz	 11.0 V/m	-16.4 dBm	OK
14/02/2018 09:06:21	     0.180 MHz	 11.2 V/m	-16.5 dBm	OK
14/02/2018 09:06:25	     0.190 MHz	 11.2 V/m	-16.8 dBm	OK
14/02/2018 09:06:28	     0.200 MHz	 11.2 V/m	-16.8 dBm	OK
14/02/2018 09:06:32	     0.210 MHz	 11.2 V/m	-17.0 dBm	OK
14/02/2018 09:06:36	     0.220 MHz	 11.2 V/m	-17.2 dBm	OK
14/02/2018 09:06:40	     0.230 MHz	 11.2 V/m	-17.4 dBm	OK
14/02/2018 09:06:44	     0.240 MHz	 11.2 V/m	-17.7 dBm	OK
14/02/2018 09:06:47	     0.250 MHz	 11.2 V/m	-17.7 dBm	OK
14/02/2018 09:06:51	     0.260 MHz	 11.2 V/m	-17.9 dBm	OK
14/02/2018 09:06:55	     0.270 MHz	 11.2 V/m	-18.2 dBm	OK
14/02/2018 09:06:58	     0.280 MHz	 11.2 V/m	-18.2 dBm	OK
14/02/2018 09:07:02	     0.290 MHz	 11.2 V/m	-18.4 dBm	OK
14/02/2018 09:07:06	     0.300 MHz	 11.2 V/m	-18.5 dBm	OK
14/02/2018 09:07:10	     0.310 MHz	 11.2 V/m	-18.7 dBm	OK
14/02/2018 09:07:14	     0.320 MHz	 11.2 V/m	-18.8 dBm	OK
14/02/2018 09:07:18	     0.330 MHz	 11.0 V/m	-19.0 dBm	OK
14/02/2018 09:07:21	     0.340 MHz	 11.2 V/m	-19.0 dBm	OK
14/02/2018 09:07:25	     0.350 MHz	 11.2 V/m	-19.1 dBm	OK
14/02/2018 09:07:29	     0.360 MHz	 11.2 V/m	-19.3 dBm	OK
14/02/2018 09:07:32	     0.370 MHz	 11.2 V/m	-19.3 dBm	OK
14/02/2018 09:07:36	     0.380 MHz	 11.0 V/m	-19.6 dBm	OK
14/02/2018 09:07:39	     0.390 MHz	 11.2 V/m	-19.6 dBm	OK
14/02/2018 09:07:43	     0.400 MHz	 11.2 V/m	-19.7 dBm	OK
