14/02/2018 09:12:27	     1.000 MHz	 11.0 V/m	-20.7 dBm	OK
14/02/2018 09:12:31	     1.010 MHz	 11.0 V/m	-20.6 dBm	OK
14/02/2018 09:12:35	     1.020 MHz	 11.0 V/m	-20.5 dBm	OK
14/02/2018 09:12:38	     1.030 MHz	 11.0 V/m	-20.5 dBm	OK
14/02/2018 09:12:41	     1.041 MHz	 11.0 V/m	-20.5 dBm	OK
14/02/2018 09:12:45	     1.051 MHz	 11.0 V/m	-20.4 dBm	OK
14/02/2018 09:12:48	     1.062 MHz	 11.0 V/m	-20.4 dBm	OK
14/02/2018 09:12:51	     1.072 MHz	 11.0 V/m	-20.4 dBm	OK
14/02/2018 09:12:55	     1.083 MHz	 11.0 V/m	-20.2 dBm	OK
14/02/2018 09:12:58	     1.094 MHz	 11.0 V/m	-20.2 dBm	OK
14/02/2018 09:13:02	     1.105 MHz	 11.0 V/m	-20.2 dBm	OK
14/02/2018 09:13:05	     1.116 MHz	 11.0 V/m	-20.2 dBm	OK
14/02/2018 09:13:08	     1.127 MHz	 11.0 V/m	-20.2 dBm	OK
14/02/2018 09:13:12	     1.138 MHz	 11.2 V/m	-20.0 dBm	OK
14/02/2018 09:13:16	     1.149 MHz	 11.0 V/m	-20.0 dBm	OK
14/02/2018 09:13:19	     1.161 MHz	 11.0 V/m	-20.0 dBm	OK
14/02/2018 09:13:22	     1.173 MHz	 11.0 V/m	-20.0 dBm	OK
14/02/2018 09:13:25	     1.184 MHz	 11.0 V/m	-20.0 dBm	OK
14/02/2018 09:13:29	     1.196 MHz	 11.0 V/m	-19.8 dBm	OK
14/02/2018 09:13:32	     1.208 MHz	 11.0 V/m	-19.8 dBm	OK
14/02/2018 09:13:35	     1.220 MHz	 11.0 V/m	-19.8 dBm	OK
14/02/2018 09:13:38	     1.232 MHz	 11.0 V/m	-19.8 dBm	OK
14/02/2018 09:13:41	     1.245 MHz	 11.0 V/m	-19.8 dBm	OK
14/02/2018 09:13:45	     1.257 MHz	 11.0 V/m	-19.7 dBm	OK
14/02/2018 09:13:48	     1.270 MHz	 11.0 V/m	-19.7 dBm	OK
14/02/2018 09:13:52	     1.282 MHz	 11.0 V/m	-19.6 dBm	OK
14/02/2018 09:13:55	     1.295 MHz	 11.0 V/m	-19.6 dBm	OK
14/02/2018 09:13:59	     1.308 MHz	 11.0 V/m	-19.5 dBm	OK
14/02/2018 09:14:02	     1.321 MHz	 11.0 V/m	-19.5 dBm	OK
14/02/2018 09:14:05	     1.335 MHz	 11.0 V/m	-19.5 dBm	OK
14/02/2018 09:14:09	     1.348 MHz	 11.0 V/m	-19.4 dBm	OK
14/02/2018 09:14:12	     1.361 MHz	 11.0 V/m	-19.4 dBm	OK
14/02/2018 09:14:16	     1.375 MHz	 11.0 V/m	-19.3 dBm	OK
14/02/2018 09:14:19	     1.389 MHz	 11.0 V/m	-19.3 dBm	OK
14/02/2018 09:14:22	     1.403 MHz	 11.0 V/m	-19.3 dBm	OK
14/02/2018 09:14:26	     1.417 MHz	 11.0 V/m	-19.2 dBm	OK
14/02/2018 09:14:29	     1.431 MHz	 11.0 V/m	-19.2 dBm	OK
14/02/2018 09:14:33	     1.445 MHz	 11.0 V/m	-19.1 dBm	OK
14/02/2018 09:14:36	     1.460 MHz	 11.0 V/m	-19.1 dBm	OK
14/02/2018 09:14:40	     1.474 MHz	 11.0 V/m	-19.0 dBm	OK
14/02/2018 09:14:43	     1.489 MHz	 11.0 V/m	-19.0 dBm	OK
14/02/2018 09:14:47	     1.504 MHz	 11.0 V/m	-18.9 dBm	OK
14/02/2018 09:14:50	     1.519 MHz	 11.0 V/m	-18.9 dBm	OK
14/02/2018 09:14:53	     1.534 MHz	 11.0 V/m	-18.9 dBm	OK
14/02/2018 09:14:57	     1.549 MHz	 11.0 V/m	-18.8 dBm	OK
14/02/2018 09:15:01	     1.565 MHz	 11.0 V/m	-18.7 dBm	OK
14/02/2018 09:15:04	     1.580 MHz	 11.0 V/m	-18.7 dBm	OK
14/02/2018 09:15:07	     1.596 MHz	 11.0 V/m	-18.7 dBm	OK
14/02/2018 09:15:11	     1.612 MHz	 11.0 V/m	-18.6 dBm	OK
14/02/2018 09:15:14	     1.628 MHz	 11.0 V/m	-18.6 dBm	OK
14/02/2018 09:15:18	     1.645 MHz	 11.0 V/m	-18.5 dBm	OK
14/02/2018 09:15:22	     1.661 MHz	 11.0 V/m	-18.4 dBm	OK
14/02/2018 09:15:25	     1.678 MHz	 11.0 V/m	-18.4 dBm	OK
14/02/2018 09:15:29	     1.694 MHz	 11.0 V/m	-18.3 dBm	OK
14/02/2018 09:15:32	     1.711 MHz	 11.0 V/m	-18.3 dBm	OK
14/02/2018 09:15:36	     1.729 MHz	 11.0 V/m	-18.1 dBm	OK
14/02/2018 09:15:39	     1.746 MHz	 11.0 V/m	-18.1 dBm	OK
14/02/2018 09:15:42	     1.763 MHz	 11.0 V/m	-18.1 dBm	OK
14/02/2018 09:15:46	     1.781 MHz	 11.0 V/m	-18.0 dBm	OK
14/02/2018 09:15:50	     1.799 MHz	 11.0 V/m	-17.9 dBm	OK
14/02/2018 09:15:53	     1.817 MHz	 11.0 V/m	-17.9 dBm	OK
14/02/2018 09:15:57	     1.835 MHz	 11.0 V/m	-17.8 dBm	OK
14/02/2018 09:16:01	     1.853 MHz	 11.0 V/m	-17.6 dBm	OK
14/02/2018 09:16:04	     1.872 MHz	 11.0 V/m	-17.6 dBm	OK
14/02/2018 09:16:07	     1.890 MHz	 11.0 V/m	-17.6 dBm	OK
14/02/2018 09:16:11	     1.909 MHz	 11.0 V/m	-17.4 dBm	OK
14/02/2018 09:16:14	     1.928 MHz	 11.0 V/m	-17.4 dBm	OK
14/02/2018 09:16:18	     1.948 MHz	 11.0 V/m	-17.3 dBm	OK
14/02/2018 09:16:22	     1.967 MHz	 11.0 V/m	-17.2 dBm	OK
14/02/2018 09:16:26	     1.987 MHz	 11.0 V/m	-17.0 dBm	OK
14/02/2018 09:16:30	     2.007 MHz	 11.0 V/m	-17.0 dBm	OK
14/02/2018 09:16:34	     2.027 MHz	 11.0 V/m	-16.9 dBm	OK
14/02/2018 09:16:38	     2.047 MHz	 11.0 V/m	-16.8 dBm	OK
14/02/2018 09:16:42	     2.068 MHz	 11.2 V/m	-16.6 dBm	OK
14/02/2018 09:16:45	     2.088 MHz	 11.0 V/m	-16.6 dBm	OK
14/02/2018 09:16:49	     2.109 MHz	 11.2 V/m	-16.4 dBm	OK
