14/02/2018 10:07:58	     5.000 MHz	 11.0 V/m	-15.7 dBm	OK
14/02/2018 10:08:02	     5.025 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:08:05	     5.050 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:08:08	     5.075 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:08:11	     5.101 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:08:14	     5.126 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:08:17	     5.152 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:08:20	     5.178 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:08:23	     5.204 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:08:26	     5.230 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:08:29	     5.256 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:08:32	     5.282 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:08:35	     5.308 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:08:38	     5.335 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:08:41	     5.362 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:08:45	     5.388 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:08:48	     5.415 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:08:52	     5.442 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:08:55	     5.470 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:08:58	     5.497 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:01	     5.524 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:04	     5.552 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:07	     5.580 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:11	     5.608 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:14	     5.636 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:17	     5.664 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:20	     5.692 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:23	     5.721 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:26	     5.749 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:29	     5.778 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:32	     5.807 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:35	     5.836 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:39	     5.865 MHz	 11.2 V/m	-15.6 dBm	OK
14/02/2018 10:09:43	     5.895 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:09:46	     5.924 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:09:49	     5.954 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:09:52	     5.983 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:09:55	     6.013 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:09:58	     6.043 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:10:02	     6.074 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:10:05	     6.104 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:10:08	     6.134 MHz	 11.0 V/m	-15.6 dBm	OK
14/02/2018 10:10:12	     6.165 MHz	 11.0 V/m	-15.5 dBm	OK
14/02/2018 10:10:15	     6.196 MHz	 11.0 V/m	-15.5 dBm	OK
14/02/2018 10:10:18	     6.227 MHz	 11.0 V/m	-15.5 dBm	OK
14/02/2018 10:10:22	     6.258 MHz	 11.0 V/m	-15.4 dBm	OK
14/02/2018 10:10:25	     6.289 MHz	 11.0 V/m	-15.4 dBm	OK
14/02/2018 10:10:28	     6.321 MHz	 11.0 V/m	-15.4 dBm	OK
14/02/2018 10:10:32	     6.352 MHz	 11.0 V/m	-15.2 dBm	OK
14/02/2018 10:10:36	     6.384 MHz	 11.0 V/m	-15.2 dBm	OK
14/02/2018 10:10:39	     6.416 MHz	 11.0 V/m	-15.2 dBm	OK
14/02/2018 10:10:42	     6.448 MHz	 11.0 V/m	-15.2 dBm	OK
14/02/2018 10:10:46	     6.480 MHz	 11.0 V/m	-15.0 dBm	OK
14/02/2018 10:10:49	     6.513 MHz	 11.0 V/m	-15.0 dBm	OK
14/02/2018 10:10:53	     6.545 MHz	 11.0 V/m	-15.0 dBm	OK
14/02/2018 10:10:56	     6.578 MHz	 11.0 V/m	-15.0 dBm	OK
14/02/2018 10:11:00	     6.611 MHz	 11.0 V/m	-14.9 dBm	OK
14/02/2018 10:11:04	     6.644 MHz	 11.2 V/m	-14.7 dBm	OK
14/02/2018 10:11:08	     6.677 MHz	 11.0 V/m	-14.7 dBm	OK
14/02/2018 10:11:11	     6.711 MHz	 11.0 V/m	-14.7 dBm	OK
14/02/2018 10:11:15	     6.744 MHz	 11.0 V/m	-14.5 dBm	OK
14/02/2018 10:11:18	     6.778 MHz	 11.0 V/m	-14.5 dBm	OK
