13/02/2018 13:30:40	    80.000 MHz	 13.0 V/m	 -7.9 dBm	OK	IP0: 30143	IP2: 120	IP3: 118	(10.85 V/m)	Digital: 0XEF
13/02/2018 13:30:45	    80.400 MHz	 14.3 V/m	 -7.9 dBm	OK	IP0: 30066	IP2: 120	IP3: 126	(11.11 V/m)	Digital: 0XEF
13/02/2018 13:30:51	    80.802 MHz	 14.5 V/m	 -7.9 dBm	OK	IP0: 30074	IP2: 121	IP3: 122	(11.11 V/m)	Digital: 0XEF
13/02/2018 13:30:57	    81.206 MHz	 15.4 V/m	 -8.1 dBm	OK	IP0: 29960	IP2: 119	IP3: 125	(11.14 V/m)	Digital: 0XEF
13/02/2018 13:31:03	    81.612 MHz	 16.7 V/m	 -8.3 dBm	OK	IP0: 29836	IP2: 127	IP3: 123	(11.09 V/m)	Digital: 0XEF
13/02/2018 13:31:09	    82.020 MHz	 18.4 V/m	 -8.3 dBm	OK	IP0: 29860	IP2: 119	IP3: 119	(11.14 V/m)	Digital: 0XEF
13/02/2018 13:31:15	    82.430 MHz	 19.7 V/m	 -8.5 dBm	OK	IP0: 29763	IP2: 122	IP3: 127	(11.16 V/m)	Digital: 0XEF
13/02/2018 13:31:20	    82.842 MHz	 21.8 V/m	 -8.8 dBm	OK	IP0: 29616	IP2: 119	IP3: 122	(11.19 V/m)	Digital: 0XEF
13/02/2018 13:31:26	    83.257 MHz	 22.6 V/m	 -9.0 dBm	OK	IP0: 29547	IP2: 120	IP3: 123	(11.09 V/m)	Digital: 0XEF
13/02/2018 13:31:32	    83.673 MHz	 23.8 V/m	 -9.2 dBm	OK	IP0: 29507	IP2: 122	IP3: 119	(11.15 V/m)	Digital: 0XEF
13/02/2018 13:31:38	    84.091 MHz	 23.6 V/m	 -9.5 dBm	OK	IP0: 29317	IP2: 122	IP3: 115	(11.09 V/m)	Digital: 0XEF
13/02/2018 13:31:44	    84.512 MHz	 23.6 V/m	 -9.5 dBm	OK	IP0: 29346	IP2: 125	IP3: 118	(11.14 V/m)	Digital: 0XEF
13/02/2018 13:31:50	    84.934 MHz	 22.7 V/m	 -9.5 dBm	OK	IP0: 29296	IP2: 124	IP3: 122	(11.09 V/m)	Digital: 0XEF
13/02/2018 13:31:56	    85.359 MHz	 21.3 V/m	 -9.5 dBm	OK	IP0: 29175	IP2: 121	IP3: 120	(11.11 V/m)	Digital: 0XEF
13/02/2018 13:32:02	    85.786 MHz	 20.1 V/m	 -9.5 dBm	OK	IP0: 29135	IP2: 122	IP3: 123	(11.11 V/m)	Digital: 0XEF
13/02/2018 13:32:08	    86.215 MHz	 19.4 V/m	 -9.3 dBm	OK	IP0: 29176	IP2: 122	IP3: 121	(11.18 V/m)	Digital: 0XEF
13/02/2018 13:32:14	    86.646 MHz	 18.6 V/m	 -9.3 dBm	OK	IP0: 29029	IP2: 123	IP3: 120	(11.09 V/m)	Digital: 0XEF
