15/02/2018 10:49:28	     0.150 MHz	 11.0 V/m	-12.4 dBm	OK
15/02/2018 10:49:34	     0.160 MHz	 11.2 V/m	-13.3 dBm	OK
15/02/2018 10:49:39	     0.170 MHz	 11.2 V/m	-13.8 dBm	OK
15/02/2018 10:49:43	     0.180 MHz	 11.2 V/m	-14.0 dBm	OK
15/02/2018 10:49:47	     0.190 MHz	 11.2 V/m	-14.2 dBm	OK
15/02/2018 10:49:51	     0.200 MHz	 11.2 V/m	-14.4 dBm	OK
15/02/2018 10:49:55	     0.210 MHz	 11.2 V/m	-14.6 dBm	OK
15/02/2018 10:49:59	     0.220 MHz	 11.2 V/m	-14.8 dBm	OK
15/02/2018 10:50:03	     0.230 MHz	 11.2 V/m	-15.0 dBm	OK
15/02/2018 10:50:07	     0.240 MHz	 11.2 V/m	-15.2 dBm	OK
15/02/2018 10:50:10	     0.250 MHz	 11.2 V/m	-15.2 dBm	OK
15/02/2018 10:50:14	     0.260 MHz	 11.2 V/m	-15.4 dBm	OK
15/02/2018 10:50:18	     0.270 MHz	 11.2 V/m	-15.5 dBm	OK
15/02/2018 10:50:21	     0.280 MHz	 11.2 V/m	-15.5 dBm	OK
15/02/2018 10:50:25	     0.290 MHz	 11.2 V/m	-15.6 dBm	OK
15/02/2018 10:50:29	     0.300 MHz	 11.2 V/m	-15.8 dBm	OK
15/02/2018 10:50:32	     0.310 MHz	 11.2 V/m	-15.8 dBm	OK
15/02/2018 10:50:35	     0.320 MHz	 11.2 V/m	-15.8 dBm	OK
15/02/2018 10:50:39	     0.330 MHz	 11.0 V/m	-16.0 dBm	OK
15/02/2018 10:50:42	     0.340 MHz	 11.2 V/m	-16.0 dBm	OK
15/02/2018 10:50:46	     0.350 MHz	 11.2 V/m	-16.0 dBm	OK
15/02/2018 10:50:49	     0.360 MHz	 11.2 V/m	-16.0 dBm	OK
15/02/2018 10:50:52	     0.370 MHz	 11.2 V/m	-16.0 dBm	OK
15/02/2018 10:50:55	     0.380 MHz	 11.2 V/m	-16.0 dBm	OK
15/02/2018 10:50:59	     0.390 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:02	     0.400 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:05	     0.410 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:08	     0.420 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:11	     0.430 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:14	     0.440 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:18	     0.450 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:21	     0.460 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:24	     0.470 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:27	     0.480 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:30	     0.490 MHz	 11.2 V/m	-16.2 dBm	OK
15/02/2018 10:51:33	     0.500 MHz	 11.2 V/m	-16.2 dBm	OK
